Article,,Article_col,Sentence,Tokens,Borderline_metaphor,Real_metaphors,Frame_label,Token_lemma,is_target,distance_from_target
0,0,0,0,a,0,0,_,a,False,-15
0,1,0,0,meaning,0,0,_,mean,False,-14
0,2,0,0,to,1,0,_,to,False,-13
0,3,0,0,this,1,0,_,this,False,-12
0,4,0,0,manifestation,0,0,Sign,manifestation,False,-11
0,5,0,0,.,0,0,_,.,False,-10
0,6,0,1,I,0,0,_,I,False,-9
0,7,0,1,turned,0,0,_,turn,False,-8
0,8,0,1,to,0,0,_,to,False,-7
0,9,0,1,the,0,0,_,the,False,-6
0,10,0,1,Polish,0,0,Origin,polish,False,-5
0,11,0,1,violinist,0,0,_,violinist,False,-4
0,12,0,1,",",0,0,_,",",False,-3
0,13,0,1,who,0,0,_,who,False,-2
0,14,0,1,was,0,0,_,be,False,-1
0,15,0,1,burning,1,1,Fire_burning,burn,True,0
0,16,0,1,with,1,0,_,with,False,1
0,17,0,1,anger,0,0,Emotion_directed,anger,False,2
0,18,0,1,",",0,0,_,",",False,3
0,19,0,1,and,0,0,_,and,False,4
0,20,0,1,I,0,0,_,I,False,5
0,21,0,1,said,0,0,Statement,say,False,6
0,22,0,1,to,1,0,_,to,False,7
0,23,0,1,him,0,0,_,he,False,8
0,24,0,1,",",0,0,_,",",False,9
0,25,0,1,laughing,0,0,Make_noise,laugh,False,10
0,26,0,1,:,0,0,_,:,False,11
0,27,0,1,#,0,0,_,#,False,12
0,28,0,1,``,0,0,_,`,False,13
0,29,0,1,What,0,0,_,what,False,14
0,30,0,1,happiness,0,0,Experiencer_focus,happiness,False,15
1,31,1,0,male,0,0,_,male,False,-15
1,32,1,0,),0,0,_,),False,-14
1,33,1,0,lover,0,0,Personal_relationship,lover,False,-13
1,34,1,0,rather,0,0,_,rather,False,-12
1,35,1,0,than,0,0,_,than,False,-11
1,36,1,0,the,0,0,_,the,False,-10
1,37,1,0,(,0,0,_,(,False,-9
1,38,1,0,female,0,0,_,female,False,-8
1,39,1,0,),0,0,_,),False,-7
1,40,1,0,beloved,0,0,Experiencer_focus,beloved,False,-6
1,41,1,0,.,0,0,_,.,False,-5
1,42,1,1,It,0,0,_,it,False,-4
1,43,1,1,is,0,0,_,be,False,-3
1,44,1,1,she,0,0,_,she,False,-2
1,45,1,1,who,0,0,_,who,False,-1
1,46,1,1,burns,1,1,Fire_burning,burn,True,0
1,47,1,1,with,1,0,_,with,False,1
1,48,1,1,desire,0,0,Desiring,desire,False,2
1,49,1,1,for,0,0,_,for,False,3
1,50,1,1,her,0,0,_,she,False,4
1,51,1,1,lover,0,0,Personal_relationship,lover,False,5
1,52,1,1,",",0,0,_,",",False,6
1,53,1,1,and,0,0,_,and,False,7
1,54,1,1,it,0,0,_,it,False,8
1,55,1,1,is,0,0,_,be,False,9
1,56,1,1,her,0,0,_,she,False,10
1,57,1,1,love,0,0,Personal_relationship,love,False,11
1,58,1,1,that,0,0,_,that,False,12
