,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
0,difficult,catch,2019,MAG,Bleacher Report,"As Brian Baldinger of NFL.com pointed out, it was that Williams made every difficult catch look easy. # Brian Baldinger BaldyNFL # . MiamiDolphins josh3rosen to Thresort was a","As Brian Baldinger of NFL.com pointed out, it was that Williams made every difficult catch look easy. # Brian Baldinger BaldyNFL # . MiamiDolphins josh3rosen to Thresort was a",9f3e159251fe76730c06dfeaa2497340
1,difficult,catch,2019,NEWS,Baltimore Sun,", with Trey Mancini going back to the warning track in right field for difficult catches to end the first and third innings to fittingly frame left fielder Dwight Smith Jr",", with Trey Mancini going back to the warning track in right field for difficult catches to end the first and third innings to fittingly frame left fielder Dwight Smith Jr",21931213c266bec141cfe08d157d2797
2,difficult,catch,2018,NEWS,Chicago Sun-Times,"a receiver. Big hands, great footwork and a knack for making the difficult catch. # He says: "" I'm very versatile. I can play inside","a receiver. Big hands, great footwork and a knack for making the difficult catch. # He says: "" I'm very versatile. I can play inside",3f5033ed1246082bf65ccbed2dade5d3
3,difficult,catch,2017,NEWS,Los Angeles Times,"# With Tavon Austin sidelined while recovering from wrist surgery, Thomas made several difficult catches and avoided the drops that plagued him as a rookie. # "" It's","# With Tavon Austin sidelined while recovering from wrist surgery, Thomas made several difficult catches and avoided the drops that plagued him as a rookie. # "" It's",9ff4c7681de09113464915eea8db0ad9
4,difficult,catch,2012,BLOG,nflgridirongab.com,"his potential offensively (his hands are not reliable -- he'll make a difficult catch and drop an easy one), but he's developed into a very good","his potential offensively (his hands are not reliable -- he'll make a difficult catch and drop an easy one), but he's developed into a very good",47d05fe8361efb235ecf37f999dba281
5,difficult,catch,2006,TV,Grey's Anatomy,"She had a lot to say. Yes, Sir. It was a difficult catch. Nicely handled. Good work. Welcome back, Dr. Stevens. I","She had a lot to say. Yes, Sir. It was a difficult catch. Nicely handled. Good work. Welcome back, Dr. Stevens. I",c3592fbca9344d2b617c81c8b19a9b6e
6,difficult,catch,2004,MAG,SkyTelescope,elongated spindle similar to NGC 4388 but considerably dimmer. It is a very difficult catch for the little refractor. The larger reflector shows a nearly uniform glow with barely,elongated spindle similar to NGC 4388 but considerably dimmer. It is a very difficult catch for the little refractor. The larger reflector shows a nearly uniform glow with barely,bd9badb9d3ec989baf69cd58108f07d6
7,difficult,catch,1998,MAG,SportingNews,"missed the earlier game with an injury, providing stability and Rod Smith making difficult catches, the Broncos' receivers were much steadier this time. Stewart had a career","missed the earlier game with an injury, providing stability and Rod Smith making difficult catches, the Broncos' receivers were much steadier this time. Stewart had a career",4dde6532cf564c11f48577f53e22c777
8,difficult,catch,1996,NEWS,Houston,"urinary tract disorder. # Wong spent a grand on him - after a difficult catch -and kept him. # "" "" I chased him into a neighboring complex.","urinary tract disorder. # Wong spent a grand on him - after a difficult catch -and kept him. # "" "" I chased him into a neighboring complex.",3b9e637dc7d65e46a77156ad5e595ca8
9,temporal,region,2019,FIC,Analog,"metallic spider's web. "" This model excites the parietal, occipital, and temporal regions to activate deeper neurons. "" She looked at Gwen. "" To answer","metallic spider's web. "" This model excites the parietal, occipital, and temporal regions to activate deeper neurons. "" She looked at Gwen. "" To answer",a6b24e1f4410a985dc1c40d2736fb8af
10,temporal,region,2016,MAG,Nerdist,"to stuttering, one being relative deactivation in the left hemisphere auditory areas and frontal temporal region during speech. When we sing, though, we use the right side","to stuttering, one being relative deactivation in the left hemisphere auditory areas and frontal temporal region during speech. When we sing, though, we use the right side",a1e30f55259c71a92748a7df41f05bd4
11,temporal,region,2014,ACAD,CanadianJournal,"25. Nakajima H, Imanishi N, Minabe T. The arterial anatomy of the temporal region and the vascular basis of various temporal flaps. Br J Plast Surg 1995","25. Nakajima H, Imanishi N, Minabe T. The arterial anatomy of the temporal region and the vascular basis of various temporal flaps. Br J Plast Surg 1995",2832008dcf6e7de3a403a5375127bf77
12,temporal,region,2012,ACAD,JSpeechLanguage,". # Corsi, P. M. (1972). Human memory and the medial temporal region of the brain. Dissertation Abstracts International: Section B. Sciences and Engineering,",". # Corsi, P. M. (1972). Human memory and the medial temporal region of the brain. Dissertation Abstracts International: Section B. Sciences and Engineering,",ee4d0810dd8005f5fecfaf98aefc4b7d
13,temporal,region,2012,WEB,plosbiology.org,"follow a ventral "" what "" pathway, with an antero-lateral gradient along the superior temporal region 5, 9, 10, 11 where stimulus selectivity increases from pure tones","follow a ventral "" what "" pathway, with an antero-lateral gradient along the superior temporal region 5, 9, 10, 11 where stimulus selectivity increases from pure tones",c2851d2898bd2f782532a210b482c85e
14,temporal,region,2012,WEB,plosone.org,"to each other and included inferior left frontal cortex, inferior parietal, and posterior temporal regions, whereas the remaining seven participants had few voxels in these anterior locations among","to each other and included inferior left frontal cortex, inferior parietal, and posterior temporal regions, whereas the remaining seven participants had few voxels in these anterior locations among",b58cc83983a2145b7f076f5c381f66f3
