,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
0,back,time,2015,FIC,Ploughshares,"#upon you; it did not help, this turning back of time. You would have needed weeks, months, not a single","#upon you; it did not help, this turning back of time. You would have needed weeks, months, not a single",a95ad482bd3dfc390610ad544cc98cfe
1,back,time,2012,WEB,amazon.com,"#revealed. # In a supreme irony, the folding back of time, at the end, finds the gansta rap son of Ruth","#revealed. # In a supreme irony, the folding back of time, at the end, finds the gansta rap son of Ruth",6ea387591ace12569174cefd39a1b870
2,back,time,1990,FIC,VirginiaQRev,"#is very nice, how you get up on the back of time and ride and you don't know where it will go or","#is very nice, how you get up on the back of time and ride and you don't know where it will go or",c1c3470ef639329aefa1daf522e480a4
3,area,existence,2012,BLOG,...documentaryfilms.com,#. Perhapse science will evolve beyond the known areas of existence. Who knows what will come # But I do nt blame him for,#. Perhapse science will evolve beyond the known areas of existence. Who knows what will come # But I do nt blame him for,a719464486e167bd6c1210940d5a0b38
4,area,existence,1996,FIC,Tikkun,"#only semi-voluntarily, placed this man in an area of existence too terrible to contemplate. Even when he teased me, smiling kindly,","#only semi-voluntarily, placed this man in an area of existence too terrible to contemplate. Even when he teased me, smiling kindly,",0d4e4ff3527c0a69db6e283d9455fb7b
5,area,existence,1992,MAG,ChristCentury,#religious attitude based on that tradition to all areas of existence. Thus religious education should stimulate that sense of wonder and the need to,#religious attitude based on that tradition to all areas of existence. Thus religious education should stimulate that sense of wonder and the need to,afba788568ab80b79cf302f83bbe9b83
6,place,existence,2012,BLOG,mandatory.com,#in a different (and hopefully better) place of existence where we'd have no desire to return to our prior LIFE. #,#in a different (and hopefully better) place of existence where we'd have no desire to return to our prior LIFE. #,4f4a5782804766acc2de79f167cf697b
7,place,existence,2012,BLOG,...discovermagazine.com,"#.) But in our assumptive God's place of existence, where perhaps time as we know it is not a dimension,.","#.) But in our assumptive God's place of existence, where perhaps time as we know it is not a dimension,.",3df93033d17097e0852340cd0084dba6
8,region,existence,2012,BLOG,lesswrong.com,#that; it becomes the responsibility of your region of existence to give them a happy future. You can't hand them back by,#that; it becomes the responsibility of your region of existence to give them a happy future. You can't hand them back by,fd9922ba0830b393aa00342cf8116d59
9,region,existence,1997,ACAD,AmerStudies,"#"" radical mystery "" with "" the problematic regions of existence "" by way of "" Mozart: An Overture. "" Likewise, the","#"" radical mystery "" with "" the problematic regions of existence "" by way of "" Mozart: An Overture. "" Likewise, the",cfe1e6335c366e3178994885f6fed1e5
10,place,is,2012,WEB,bible.cc,"#which word the LXX., both in the place of Is. 55:3, and in many others, use for that which is in the","#which word the LXX., both in the place of Is. 55:3, and in many others, use for that which is in the",cec2d36720830a115ed7add9f1a81938
11,area,time,2018,SPOK,PBS_Newshour,"#from the way I would interpret it, that that area of time has to be shielded from the NDA that existed during her time","#from the way I would interpret it, that that area of time has to be shielded from the NDA that existed during her time",fea8730cf64c1ae17234bdf2e4acd674
12,area,time,2017,SPOK,NPR_FreshAir,"#took that to heart. TERRY-GROSS# You know, that area of Times Square has always had a lot of movie marquees, you know","#took that to heart. TERRY-GROSS# You know, that area of Times Square has always had a lot of movie marquees, you know",20d009beadc7865fb63ef2803a9d1a23
13,area,time,2017,ACAD,Sport Marketing Quarterly,"#) noted for public FBS college athletic departments, the areas of time, enrollment, football success, and conference affiliation are useful in","#) noted for public FBS college athletic departments, the areas of time, enrollment, football success, and conference affiliation are useful in",0327a6b57ea79ec62616d945f8368f73
14,area,time,2012,WEB,mindtools.com,"#. The following is a quick summary of the main areas of time management that were explored in the quiz, and a guide to","#. The following is a quick summary of the main areas of time management that were explored in the quiz, and a guide to",983b7f8a071d1b6c5fe1b81ae34ee7f1
15,area,time,2012,WEB,amazon.com,"#between authors and philosophical themes, stretching over a vast area of time and subject. This rich book gives one a path through much","#between authors and philosophical themes, stretching over a vast area of time and subject. This rich book gives one a path through much",40d9b446d8f80a026f33422f97ad2b84
16,area,time,2009,ACAD,Education,"#was teaching. The tension emerged most clearly in the area of time management, with professors struggling to find time for their scholarly pursuits","#was teaching. The tension emerged most clearly in the area of time management, with professors struggling to find time for their scholarly pursuits",4f7e9e3b10d44f6ec156359dc26ea3ff
17,area,time,2003,SPOK,CNN_Politics,"#, or is it just a close -- a specified area of Times Square? HINOJOSA: No, no, no, no.","#, or is it just a close -- a specified area of Times Square? HINOJOSA: No, no, no, no.",ef50c8a50c262b6007b4738f64412b21
18,area,time,1996,SPOK,CNN_Talkback,"#I left court, they were just focusing on the area of time when O.J. Simpson said he recut his hand while in a Chicago","#I left court, they were just focusing on the area of time when O.J. Simpson said he recut his hand while in a Chicago",a951af57d92f085554f0165369de0bdc
19,area,time,1993,MAG,PsychToday,#? SR: My personal focus these days is this area of time and health. I'm currently working on a book on the,#? SR: My personal focus these days is this area of time and health. I'm currently working on a book on the,7b567e5058610b6dbdfdc35c813951db
20,area,time,1990,NEWS,NYTimes,"#next convention is because efforts to create legislation in the areas of time management, cost reduction and limitations in the recruiting process have been","#next convention is because efforts to create legislation in the areas of time management, cost reduction and limitations in the recruiting process have been",5ad066f2a303a9db57f164e72b410ee2
21,area,time,1990,ACAD,CanadaLaw,#classic case demonstrating the United States' inability in this area of time competition is the inception and production of the VCR. VCRs used,#classic case demonstrating the United States' inability in this area of time competition is the inception and production of the VCR. VCRs used,52861f7b49715b3e2c1ae835bf068d0d
22,setting,time,2012,WEB,webexhibits.org,"#Government decided not proceed with the bill, and the setting of time zones and daylight saving remains the responsibility of the state and territory","#Government decided not proceed with the bill, and the setting of time zones and daylight saving remains the responsibility of the state and territory",10575f022519554ee176819489d993ee
