,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
0,back,time,2018,MAG,Phys.Org,the past. Credit: Caitlyn Witkowski # Earth scientists are able to travel far back in time to reconstruct the geological past and paleoclimate to make better predictions about future,the past. Credit: Caitlyn Witkowski # Earth scientists are able to travel far back in time to reconstruct the geological past and paleoclimate to make better predictions about future,50164d2fcb686200b8431b9ecbfc4b19
1,back,time,2018,MAG,News-Medical.net,former colleagues who wanted to create virtual reality films that allow patients to go' back in time'. # Preterm birth is a dangerous condition that often goes undiagnosed,former colleagues who wanted to create virtual reality films that allow patients to go' back in time'. # Preterm birth is a dangerous condition that often goes undiagnosed,b57d22c3a50e7df9bb15e61133bb7a97
2,back,time,2018,MAG,News-Medical.net (4),colleagues who wanted to create virtual reality films that allow patients to go' back in time'.  Other Useful Links # News-Medical.Net provides this medical information service,colleagues who wanted to create virtual reality films that allow patients to go' back in time'. Other Useful Links # News-Medical.Net provides this medical information service,f5967b7409b7997f5906554d5925fdce
3,back,time,2017,NEWS,Chicago Sun-Times (3),"the very least, his teammates respect his approach. # EXTRA POINTS # Back in time # Before the Bears coveted quarterback Mitch Trubisky, it was Carson Wentz","the very least, his teammates respect his approach. # EXTRA POINTS # Back in time # Before the Bears coveted quarterback Mitch Trubisky, it was Carson Wentz",bf6275b3bf0a934f09b6f24a180b778d
4,back,time,2017,TV,Hap and Leonard,"I lay eyes on him. Why do I feel like I'm goin' back in time? That's because things change, Hap. People don't.","I lay eyes on him. Why do I feel like I'm goin' back in time? That's because things change, Hap. People don't.",594a529b9eaae87f6b96cafa952dedba
5,back,time,2016,MAG,Gizmodo,"at Boris Karloff) is as close as Sam ever gets to really traveling far back in time, since he can't actually leap beyond the years he's been","at Boris Karloff) is as close as Sam ever gets to really traveling far back in time, since he can't actually leap beyond the years he's been",909a878f4e344a34df346a6d164b3e05
6,back,time,2015,SPOK,CBS: News Sunday Morning,", hymns and the stories behind them. Feel free to hum along. CHARLES-OSGOOD# Back in time is the story of one man's devotion to a symbol of faith",", hymns and the stories behind them. Feel free to hum along. CHARLES-OSGOOD# Back in time is the story of one man's devotion to a symbol of faith",7346350c2e86ca39088dd9721f617ada
7,back,time,2015,MAG,Astronomy,"Telescope Science Institute, was inspired to use the instrument to "" go deep "" back in time. For 10 consecutive days in December 1995, Hubble stared at a","Telescope Science Institute, was inspired to use the instrument to "" go deep "" back in time. For 10 consecutive days in December 1995, Hubble stared at a",56175630a1761160d8235e8408d181fa
8,back,time,2015,NEWS,Austin,". "" Grade: D+. PG-13. 126 min. John Connor sends Kyle Reese back in time to protect Sarah Connor, but when he arrives in 1984, nothing",". "" Grade: D+. PG-13. 126 min. John Connor sends Kyle Reese back in time to protect Sarah Connor, but when he arrives in 1984, nothing",e195ce123a24fab549e26a34c9b9636d
9,back,time,2014,SPOK,CBS: 60 Minutes (1),"get to us from distant objects, the farther away ALMA sees the farther back in time it looks. Soon, they will be able to get close to","get to us from distant objects, the farther away ALMA sees the farther back in time it looks. Soon, they will be able to get close to",09a25d2c1b9c9ca12b93de09ad8e3bd0
