,lemma_1,lemma_2,year,genre,source,text,clean_text
0,power,expansive,2004,ACAD,Environment,"between the two: Nuclear power is compact and quiet, whereas wind power is expansive and obvious. Reflecting on this difference, resistance to nuclear power accumulated slowly only","between the two: Nuclear power is compact and quiet, whereas wind power is expansive and obvious. Reflecting on this difference, resistance to nuclear power accumulated slowly only"
1,feeling,hurt,2018,FIC,Ploughshares,"like a lover in a movie. When he didn't, her feelings were hurt -- absurdly, she knew: rarely did anything she saw in the movies seem","like a lover in a movie. When he didn't, her feelings were hurt -- absurdly, she knew: rarely did anything she saw in the movies seem"
2,feeling,hurt,2012,WEB,squidoo.com,". Doing things apart helps you to appreciate one another. If your feelings are hurt anytime he doesn't include you, be careful, he may begin to feel",". Doing things apart helps you to appreciate one another. If your feelings are hurt anytime he doesn't include you, be careful, he may begin to feel"
3,feeling,hurt,2012,BLOG,firebrandal.com,"to give Chip a little bit different perspective on his whole' my feelings are hurt' routine. The fact is, outside of this passing mention in my response","to give Chip a little bit different perspective on his whole' my feelings are hurt' routine. The fact is, outside of this passing mention in my response"
4,feeling,hurt,2012,BLOG,...ekgirl.wordpress.com,"n't a geek! # I didn't mean to imply that my feelings were hurt -- I was just pointing out where I found it, and that it was","n't a geek! # I didn't mean to imply that my feelings were hurt -- I was just pointing out where I found it, and that it was"
5,feeling,hurt,2006,SPOK,CNN_Dobbs,"you want documentation? Rosa! Please! I'm hurt. My feelings are hurt -- Dan. DAN STEIN, PRESIDENT, FAIR: There's no question this","you want documentation? Rosa! Please! I'm hurt. My feelings are hurt -- Dan. DAN STEIN, PRESIDENT, FAIR: There's no question this"
6,feeling,hurt,2003,SPOK,CNN_Talkback,"don't need to get into the special interests, oh, my feelings are hurt politics that Dee has started down the road of. We're the last people","don't need to get into the special interests, oh, my feelings are hurt politics that Dee has started down the road of. We're the last people"
7,feeling,agonizing,2012,WEB,psychologytoday.com,"other communication network. Talking to someone who doesn't reciprocate your romantic feelings is agonizing, especially when it seems that the ex has moved on before you. So","other communication network. Talking to someone who doesn't reciprocate your romantic feelings is agonizing, especially when it seems that the ex has moved on before you. So"
8,effect,powerful,2019,MAG,Medical Xpress,"Having an unhealthy microbiome prior to breast cancer increased both, and the effect was powerful and sustained. "" Disrupting the microbiome resulted in long-term inflammation within the tissue and","Having an unhealthy microbiome prior to breast cancer increased both, and the effect was powerful and sustained. "" Disrupting the microbiome resulted in long-term inflammation within the tissue and"
9,effect,powerful,2014,MAG,MensHealth,"(even groceries count). It may sound simple, but the effect is powerful; each time you practice the movements, you reinforce neurologic pathways that lead to","(even groceries count). It may sound simple, but the effect is powerful; each time you practice the movements, you reinforce neurologic pathways that lead to"
10,effect,powerful,2014,NEWS,CSMonitor,"movement to transform the public education system. A generation later, its effects are powerful. The excoriation of American schooling is what most people remember, but its actual","movement to transform the public education system. A generation later, its effects are powerful. The excoriation of American schooling is what most people remember, but its actual"
11,effect,powerful,2012,WEB,amazon.com,", melancholy vocals, with only muted, atmospheric background accompaniment. The effect is powerful. Despite that song's understated tones (and others'), the new",", melancholy vocals, with only muted, atmospheric background accompaniment. The effect is powerful. Despite that song's understated tones (and others'), the new"
12,effect,powerful,2012,WEB,darkendeavors.com,for several natural camera shots of the group when singing. The visual effect was powerful and subtle; it furthered the impression given by each member playing several different instruments,for several natural camera shots of the group when singing. The visual effect was powerful and subtle; it furthered the impression given by each member playing several different instruments
13,effect,powerful,2002,ACAD,ArmedForces,"negative finding here must be considered tentative. Third, the hasty marriage effect is powerful and clearly evident for WWII, but not for later wars. And finally,","negative finding here must be considered tentative. Third, the hasty marriage effect is powerful and clearly evident for WWII, but not for later wars. And finally,"
14,glee,brilliant,2012,WEB,imdb.com,"then released a statement voicing her approval: "" I thought the Madonna episode of Glee was brilliant on every level. The dialogue and the entire script was genius.","then released a statement voicing her approval: "" I thought the Madonna episode of Glee was brilliant on every level. The dialogue and the entire script was genius."
15,capital,liquid,2012,BLOG,...aftkpam.blogspot.com,"of capital sitting on the sidelines will probably go to another economy. Capital is liquid, after all. Maybe some will come back--if the President comes up with a","of capital sitting on the sidelines will probably go to another economy. Capital is liquid, after all. Maybe some will come back--if the President comes up with a"
16,capital,liquid,1996,ACAD,LatinAmResRev,"specifically Brazilian levers that give them additional bargaining strength. First, financial capital is liquid, being easily drained away to foreign economies. In dealing with capital in general","specifically Brazilian levers that give them additional bargaining strength. First, financial capital is liquid, being easily drained away to foreign economies. In dealing with capital in general"
17,amount,small,2016,MAG,Business Insider,"mystery company has been wiped out over the past year. # The write off amount is small relative to Yahoo's overall business, which generated over $1 billion in","mystery company has been wiped out over the past year. # The write off amount is small relative to Yahoo's overall business, which generated over $1 billion in"
18,amount,small,2015,FIC,KenyonRev,", they say, shaking their heads. a na va pas comment? That amount is small. Mille francs. Mille francs! You joke. You pay six",", they say, shaking their heads. a na va pas comment? That amount is small. Mille francs. Mille francs! You joke. You pay six"
19,amount,small,2015,ACAD,ACPJrnlClub,"Any amount of weight gain is not welcome in obese patients, although the actual amount was small (0.42 kg). This is probably not a clinically significant increase","Any amount of weight gain is not welcome in obese patients, although the actual amount was small (0.42 kg). This is probably not a clinically significant increase"
20,amount,small,2014,NEWS,Austin,"than $16 million in repayments for performing unnecessary procedures. Although a spokeswoman said the amount was small because Trueblood had been pushed out of business, she had actually opened","than $16 million in repayments for performing unnecessary procedures. Although a spokeswoman said the amount was small because Trueblood had been pushed out of business, she had actually opened"
21,amount,small,2012,WEB,wiki.answers.com,"to get the number of teaspoons. You would want to do this if the amount is smaller than a tablespoon, or you don't have a tablespoon. #","to get the number of teaspoons. You would want to do this if the amount is smaller than a tablespoon, or you don't have a tablespoon. #"
22,amount,small,2012,WEB,...arackobamamuslim.com,"ability to repay the money on the next pay day. Though the total loan amounts are small, they are enough to seal the financial leaks that come before payday","ability to repay the money on the next pay day. Though the total loan amounts are small, they are enough to seal the financial leaks that come before payday"
23,amount,small,2012,WEB,cbsnews.com,"money on the table since it launched during the dot-com boom. And while the amounts are small per order, they could be very large when all taken together.","money on the table since it launched during the dot-com boom. And while the amounts are small per order, they could be very large when all taken together."
24,amount,small,2012,BLOG,patheos.com,"several different communities. I think it doesn't attract dumpers or hoarders because the amounts are small. You could try "" Bring one thing, take one thing ""","several different communities. I think it doesn't attract dumpers or hoarders because the amounts are small. You could try "" Bring one thing, take one thing """
25,amount,small,2012,BLOG,jwsoundgroup.net,"of government funding means a new start for many local directors, even if the amounts are small by international standards. # Under the government program, funding for full-length","of government funding means a new start for many local directors, even if the amounts are small by international standards. # Under the government program, funding for full-length"
