,lemma_1,lemma_2,year,genre,source,text,clean_text
0,time,location,2004,ACAD,ChurchHistory,"before the locomotive age "" universal time "" did not even exist; time was location specific and set according to solar readings. Railway companies found this utterly unmanageable,","before the locomotive age "" universal time "" did not even exist; time was location specific and set according to solar readings. Railway companies found this utterly unmanageable,"
1,time,neighborhood,2005,SPOK,CBS_Morning,"from the first. Ms-PARKER: (Voiceover) The Soulsville USA neighborhood at that time was neighborhood that was transitioning, and this was becoming a predominantly African-American neighborhood. By virtue","from the first. Ms-PARKER: (Voiceover) The Soulsville USA neighborhood at that time was neighborhood that was transitioning, and this was becoming a predominantly African-American neighborhood. By virtue"
2,idea,food,2018,SPOK,NBC_Today,"it's too cute. HODA-KOTB) : Here with some of our favorite ideas is food expert and style expert, just all around expert -- KATHIE-LEE-GIFFORD) : Everything. HODA-KOTB)","it's too cute. HODA-KOTB) : Here with some of our favorite ideas is food expert and style expert, just all around expert -- KATHIE-LEE-GIFFORD) : Everything. HODA-KOTB)"
3,idea,food,2012,WEB,wikihow.com,"your movie night. # 2 # Ensure that you have snacks. Ideas are food such as popcorn (of course), chips and dip, cookies, candies","your movie night. # 2 # Ensure that you have snacks. Ideas are food such as popcorn (of course), chips and dip, cookies, candies"
4,idea,sugar,2012,BLOG,whereamiwearing.com,"giving a free pair of shoes to someone in poverty. The whole idea is sugar coated in emotions, fashion, and good intentions. It is funny that this","giving a free pair of shoes to someone in poverty. The whole idea is sugar coated in emotions, fashion, and good intentions. It is funny that this"
5,thought,food,2019,FIC,SouthernRev,"s what I did, until Ann got sick. # My first thought was food poisoning and I had identified a culprit, a Thai restaurant where I went for","s what I did, until Ann got sick. # My first thought was food poisoning and I had identified a culprit, a Thai restaurant where I went for"
6,cause,food,2012,BLOG,chriskresser.com,WELL. # My thinking is that being obese is not bad for health if cause is food reward from non toxic sources (Or micro-nutrient deficiency or infection).,WELL. # My thinking is that being obese is not bad for health if cause is food reward from non toxic sources (Or micro-nutrient deficiency or infection).
7,cause,food,2012,BLOG,...eparty.wordpress.com,". The mess in the house is increasing as well, with the most common cause being food fights or Mac's tornado furry around the house. Amidst the crazy",". The mess in the house is increasing as well, with the most common cause being food fights or Mac's tornado furry around the house. Amidst the crazy"
8,cause,food,2006,MAG,Parenting,"important to call if you have a baby under 1 with diarrhea. Whether the cause is food poisoning or something else, it needs attention. Sources: Althea Zanecosky","important to call if you have a baby under 1 with diarrhea. Whether the cause is food poisoning or something else, it needs attention. Sources: Althea Zanecosky"
9,desire,hunger,2012,WEB,justsomelyrics.com,"now baby here as I am pull me close, try and understand desire is hunger is the fire I breathe love is a banquet on which we feed # Come","now baby here as I am pull me close, try and understand desire is hunger is the fire I breathe love is a banquet on which we feed # Come"
10,desire,hunger,2010,SPOK,NPR_FreshAir,"here as I am. Pull me close, try and understand. Desire is hunger is the fire I breathe, love is a banquet on which we feed.","here as I am. Pull me close, try and understand. Desire is hunger is the fire I breathe, love is a banquet on which we feed."
11,resource,water,1998,ACAD,IntlAffairs,"that battles over resource scarcities will otherwise intensify in the long run, whether those resources are water, land, oil or other natural resources. # In other sectors","that battles over resource scarcities will otherwise intensify in the long run, whether those resources are water, land, oil or other natural resources. # In other sectors"
12,resource,water,1990,MAG,Wilderness,"People talk now about the timber in these forests when really their most important natural resource was water. "" # In 1907 no forest reserves, as they were then","People talk now about the timber in these forests when really their most important natural resource was water. "" # In 1907 no forest reserves, as they were then"
13,feeling,go,2000,SPOK,CNN_King,"that capsule, you have close to a chance of a cure. And my feeling is go for the cure. And remember, even radiation treatment, that --","that capsule, you have close to a chance of a cure. And my feeling is go for the cure. And remember, even radiation treatment, that --"
