,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
0,time,back,2018,TV,The Alienist,"sorry to disappoint you. Dr. Dillman, was there a patient here some time back who suffered from a facial tic, one with intermittent and violent contractions around the","sorry to disappoint you. Dr. Dillman, was there a patient here some time back who suffered from a facial tic, one with intermittent and violent contractions around the",9c2d90387cfb60692dfe14229b611cc5
1,time,back,2016,SPOK,NBC: Today Show,of two boys. One is only four -- BRIT-MORIN# This is my first time back post -- DYLAN-DREYER# -- four months old? BRIT-MORIN# Two under two. Two under,of two boys. One is only four -- BRIT-MORIN# This is my first time back post -- DYLAN-DREYER# -- four months old? BRIT-MORIN# Two under two. Two under,132eb19803e5f3586757093b32930708
2,time,back,2016,FIC,Nature,"hoped to intercede as little as possible. Logically, this area colonized some time back aroused less interest in Baroni's dog. He hardly sniffed around, and the","hoped to intercede as little as possible. Logically, this area colonized some time back aroused less interest in Baroni's dog. He hardly sniffed around, and the",b0f05c84f9254f7eba301df2c3015de5
3,time,back,2013,MAG,MotherJones,"range and stabbed while driving, both times by other addicts. By the time Back arrested him, he was drifting from trailer to trailer in Laurel County, welcomed","range and stabbed while driving, both times by other addicts. By the time Back arrested him, he was drifting from trailer to trailer in Laurel County, welcomed",cec658e29bcea9bce3975ad0a2851c52
4,time,back,2012,WEB,...rongwiththeworld.net,s political views). I remember listening to a Jeremiah Wright speech some time back (I think it was at the National Press Club) where he went into,s political views). I remember listening to a Jeremiah Wright speech some time back (I think it was at the National Press Club) where he went into,2ceff910327b4e6b49e38877282f1d35
5,time,back,2012,WEB,usatoday.com,"657400  Reinstated Broncos LB will have' to earn his playing time back' # Lindsay H. Jones, USA TODAY Sports Share # Comments # Denver Broncos","657400 Reinstated Broncos LB will have' to earn his playing time back' # Lindsay H. Jones, USA TODAY Sports Share # Comments # Denver Broncos",d1c2016f9d575b777a3b68ff88541441
6,time,back,2012,WEB,...discovermagazine.com,Lukacs is making a mistake resembling that which I accused Paul Davies of some time back -- demanding that properties of as-yet-known physical theories conform to... # Cosmic Variance is,Lukacs is making a mistake resembling that which I accused Paul Davies of some time back -- demanding that properties of as-yet-known physical theories conform to... # Cosmic Variance is,8d68e9fd79d4aa3de482e5c314a558de
7,time,back,2012,WEB,...ehouse.blogs.cnn.com,generate a profit for an estimated 20 years. The Alberta government will in time back development of up-graders and refineries in Alberta don't worry about that.... Keystone is,generate a profit for an estimated 20 years. The Alberta government will in time back development of up-graders and refineries in Alberta don't worry about that.... Keystone is,502d6576a7420a2ad4fc1c483585fc37
8,time,back,2012,WEB,...msaying.blogspot.com,", i'm sure, will pass - though whether i'll get the time back remains to be seen. but the business os trying to get a tape player",", i'm sure, will pass - though whether i'll get the time back remains to be seen. but the business os trying to get a tape player",76d91be2ee472d195147ddc86b64d086
9,time,back,2012,BLOG,freethoughtblogs.com,mental health and illness. Sadie is the blogger that moved to Amsterdam some time back isn't she? Unless I'm thinking of someone else. Either way I,mental health and illness. Sadie is the blogger that moved to Amsterdam some time back isn't she? Unless I'm thinking of someone else. Either way I,5d3f683c7663ccf562c5e60374209785
10,time,back,2012,BLOG,mysticsaint.info,"his are of great value. # Martin Luther King, Jr. long time back said, "" Nothing in the world is more dangerous than sincere ignorance and conscientious","his are of great value. # Martin Luther King, Jr. long time back said, "" Nothing in the world is more dangerous than sincere ignorance and conscientious",cff672ab6cbaadd1779c86469191056c
11,time,back,2012,BLOG,blogs.windows.com,ability to change the time on several images but telling it to set the time back 1h or 5m. It's very useful for me if I am in a,ability to change the time on several images but telling it to set the time back 1h or 5m. It's very useful for me if I am in a,e9c9457425edef241742886afe803dcb
12,time,back,2010,SPOK,ABC_Nightline,as well. MARIANNE-KIRBY-1C# Hi. JUJU-CHANG-1-ABC-# (Voiceover) The panelists meet for the first time back stage. CRYSTAL-RENN-1PLU# I think this will be probably one of the proudest days of,as well. MARIANNE-KIRBY-1C# Hi. JUJU-CHANG-1-ABC-# (Voiceover) The panelists meet for the first time back stage. CRYSTAL-RENN-1PLU# I think this will be probably one of the proudest days of,d1c135b53d1344a0b16b2884bee5885b
13,time,back,2008,MAG,SportingNews,"back in the NFL Is typically no place for old men. By the time backs hit 30, legs are tired and bodies are aching. But thanks to a","back in the NFL Is typically no place for old men. By the time backs hit 30, legs are tired and bodies are aching. But thanks to a",ad31c03f84016f3c69fc16d74c73d35a
14,time,back,2005,MAG,OutdoorLife,enjoys. But with the exception of an abortive attempt to hunt elk some time back -- a comedy of errors that deserves its own story -- we have never chased,enjoys. But with the exception of an abortive attempt to hunt elk some time back -- a comedy of errors that deserves its own story -- we have never chased,6ab1e6ae41ccb93e89e082412aad61be
15,time,back,2004,TV,CSI: Miami,"found the blood on the console. And Alexx said he was shot three times back to front, left to right. The trajectory's inconsistent. There is no","found the blood on the console. And Alexx said he was shot three times back to front, left to right. The trajectory's inconsistent. There is no",a13c735b49b7ba4bf6847df21af20ffa
16,time,back,1998,SPOK,CNN_King,"years young. He continues to co-host ABC's "" 20/20. "" Some time back wrote a wonderful book called "" Fifty to Forever ""; and the seemingly ageless","years young. He continues to co-host ABC's "" 20/20. "" Some time back wrote a wonderful book called "" Fifty to Forever ""; and the seemingly ageless",fb72668eff9ef8277912a9ec2501a16a
17,time,back,1997,TV,Power Rangers Turbo,"DIVATOX: Clockster, eh? Do you know what to do? Reverse time back back, back, back until the freeze key unexplodes back into one piece.","DIVATOX: Clockster, eh? Do you know what to do? Reverse time back back, back, back until the freeze key unexplodes back into one piece.",657783a8a94fcf3c085ef6f58f7ae643
18,time,back,1995,SPOK,Ind_Geraldo,"haven't seen Wendy in years. Me and Vikki were married quite some time back -- about five years ago. RIVERA: Now, Vikki, you've been","haven't seen Wendy in years. Me and Vikki were married quite some time back -- about five years ago. RIVERA: Now, Vikki, you've been",55e54b31791db49ea29dda3acaea97ba
19,time,back,1994,MAG,Skiing,""" ur final destination-a ski hill called Whitewater-required yet another i megadrive, this time back soutEi, toward the U.S. 1 border. We arrived in Nelson so late even",""" ur final destination-a ski hill called Whitewater-required yet another i megadrive, this time back soutEi, toward the U.S. 1 border. We arrived in Nelson so late even",8eccbf1cb6b5a1fe0f702d4222c3460e
20,time,back,1994,NEWS,Atlanta,"# Watching the special "" Gangs in the' Burbs "" on TV some time back produced a chilling association. Yes, even sleepy little towns like Hapeville are not","# Watching the special "" Gangs in the' Burbs "" on TV some time back produced a chilling association. Yes, even sleepy little towns like Hapeville are not",4d0297ee1bbcaa34c1952ada3a0b44b1
21,time,site,2016,MAG,A.V. Club,"crime fighter. "" # The entire piece, which is over on the Times site, is more than worth everyone's time, though you might want to make","crime fighter. "" # The entire piece, which is over on the Times site, is more than worth everyone's time, though you might want to make",be8a583437b026546ad712e43345a3d1
22,time,site,2012,WEB,apartmenttherapy.com,"n't reprinting articles, just commenting on them (and driving folks to the Times site as a result). And isn't that what lots of other blogs do","n't reprinting articles, just commenting on them (and driving folks to the Times site as a result). And isn't that what lots of other blogs do",317c7562bca1debd03e6b7a6b9c0cb15
23,time,site,2012,WEB,apartmenttherapy.com,"a NY-er or anywhere near there, I would never ever visit the NY Times site if it weren't for AT. Doesn't hurt me if I never see","a NY-er or anywhere near there, I would never ever visit the NY Times site if it weren't for AT. Doesn't hurt me if I never see",f81ac7b1631ff057de7f682ca464bbb2
24,time,site,2012,WEB,apartmenttherapy.com,"AT or other aggregators provide little or no incentive for people to peruse the Times site because they sift through it for them, they undermine the Times potential to profit","AT or other aggregators provide little or no incentive for people to peruse the Times site because they sift through it for them, they undermine the Times potential to profit",e96a6784536dc102b7296d3723e4b3b8
25,time,site,2012,WEB,apartmenttherapy.com,"and is prohibited. "" # To those that have never been to the Times site until seeing the content on AT, and now vow never to visit the Times","and is prohibited. "" # To those that have never been to the Times site until seeing the content on AT, and now vow never to visit the Times",8282d8d60caef9fbfe19403eed35ca5a
26,time,site,2012,WEB,apartmenttherapy.com,"until seeing the content on AT, and now vow never to visit the Times site again. So what, it's an indication of a lack of understanding of","until seeing the content on AT, and now vow never to visit the Times site again. So what, it's an indication of a lack of understanding of",913191d945357eef6246d08e7d1903b6
27,time,site,2012,WEB,afflictor.com,"and kid gloves. I recently found her 1961 obituary on the New York Times site. Here it is: # "" Bowery Mourns Mazie Phillips, Faithful Friend of","and kid gloves. I recently found her 1961 obituary on the New York Times site. Here it is: # "" Bowery Mourns Mazie Phillips, Faithful Friend of",6b232a6603b5bbf11b3913c6bc89a979
28,time,site,2012,WEB,answers.com,of Russian bloggers are being translated into English and published at The New York Times site among comments from English readers. 77 78  Pricing # Facing falling print advertising,of Russian bloggers are being translated into English and published at The New York Times site among comments from English readers. 77 78 Pricing # Facing falling print advertising,50db6bf72253da02d987c3e701090353
29,time,site,2012,WEB,...earchenginewatch.com,level look at analytics in the Traffic Sources>Overview will show that most of the time sites retrieve the lion's share of traffic from organic search. The only time this,level look at analytics in the Traffic Sources>Overview will show that most of the time sites retrieve the lion's share of traffic from organic search. The only time this,301e84ae644ef58429fa5a738887d14f
30,time,site,2012,BLOG,seomoz.org,Site A didn't start developing their SEO and Link building until the same time Site B began - 2008. Therefore they registered their website in 2001 but they did,Site A didn't start developing their SEO and Link building until the same time Site B began - 2008. Therefore they registered their website in 2001 but they did,76fd363593ec94595634359e0d0568ac
31,time,site,2012,BLOG,seomoz.org,"n't actually start performing link building, and on page optimization until the same time Site B did. # In that situation (which I've observed many times)","n't actually start performing link building, and on page optimization until the same time Site B did. # In that situation (which I've observed many times)",c0bdad6d5ce359dbeddf89adafca2824
32,time,site,2012,BLOG,...earchenginewatch.com,"like "" my city news "" and "" my state school. "" Many times sites like your Chamber of Commerce will lead you to other great local authority sites through","like "" my city news "" and "" my state school. "" Many times sites like your Chamber of Commerce will lead you to other great local authority sites through",cd9184f78eedde47732a6e98fd1282db
