Unnamed: 0,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
0,backward,time,2019,FIC,Analog,"too-forward. Maybe the only allowed way; no past travel. # Fiction features backward time travel, adventures in the past. Writers prefer that; they can't","too-forward. Maybe the only allowed way; no past travel. # Fiction features backward time travel, adventures in the past. Writers prefer that; they can't",816c5fb126b4ea37f2d347fd59cfe27e
1,backward,time,2019,ACAD,Tehnicki Vjesnik,"There are three general approaches to detecting moving objects: background extraction, forward or backward time difference, and motion vectors. Among them, background extraction is a very","There are three general approaches to detecting moving objects: background extraction, forward or backward time difference, and motion vectors. Among them, background extraction is a very",d99fd3c45f8020c8888d004f8ca5bfea
2,backward,time,2017,MAG,Nerdist,"was born to play. She's outspoken and feminist as all hell in a backward time and place. And now on the brink of premiere, the pilot positions","was born to play. She's outspoken and feminist as all hell in a backward time and place. And now on the brink of premiere, the pilot positions",4eae9e7b36c4bba60eb912768bff2fc0
3,backward,time,2012,ACAD,PhysicsToday,"are locally the regions of most strongly diverging flow. Performing the same procedure in backward time, one identifies regions with high backward-time FTLE values. Those regions of strongest","are locally the regions of most strongly diverging flow. Performing the same procedure in backward time, one identifies regions with high backward-time FTLE values. Those regions of strongest",a7eefd8fe53c8378c76cd4d89ad58f4e
4,backward,time,2012,ACAD,PhysicsToday,one identifies regions with high backward-time FTLE values. Those regions of strongest divergence in backward time are the regions of strongest local convergence in ordinary forward time. # In,one identifies regions with high backward-time FTLE values. Those regions of strongest divergence in backward time are the regions of strongest local convergence in ordinary forward time. # In,a9b7c8d7f4f9a0d6fa8f29ed3589d185
5,backward,time,2012,ACAD,PhysicsToday,"in fact, indicators of repelling LCSs in forward time and of attracting LCSs in backward time. The ridges were initially believed to be almost Lagrangian--that is, the flux","in fact, indicators of repelling LCSs in forward time and of attracting LCSs in backward time. The ridges were initially believed to be almost Lagrangian--that is, the flux",3b34e5cfd21bf7843d693fb4840cf454
6,backward,time,2012,ACAD,PhysicsToday,will be to follow the evolution of LCSs as they are advected in forward or backward time by the fluid flow. That's more than simply locating a repelling or,will be to follow the evolution of LCSs as they are advected in forward or backward time by the fluid flow. That's more than simply locating a repelling or,e0bf1030df7976f66a6f20d19b59c518
7,backward,time,2012,WEB,debate.org,"say that forward time travel has been proven possible. But no evidence shows that backward time travel is possible. # Proposed possibilities include Worm Holes, but no worm","say that forward time travel has been proven possible. But no evidence shows that backward time travel is possible. # Proposed possibilities include Worm Holes, but no worm",bdf53de7c57c509ab7809af5ecfa5a13
8,backward,time,2012,WEB,debate.org,of space is fragile and violently shaking according to M-Theory) # I argue that backward time travel either is impossible or sufficient time will pass before it is that the,of space is fragile and violently shaking according to M-Theory) # I argue that backward time travel either is impossible or sufficient time will pass before it is that the,e1143f0870b4db8563acb41b2050ca9b
9,backward,time,2012,BLOG,...dinary-gentlemen.com,managed better If you'd had it planned Now why'd you choose such a backward time And such a strange land? # If you'd come today You could,managed better If you'd had it planned Now why'd you choose such a backward time And such a strange land? # If you'd come today You could,8ef9e60308bc95ce719420014343f7ce
10,backward,time,2011,ACAD,Communications,"practice, the particle advec-tion approach allows implementa-tion of the algorithm in both forward and backward time, meaning the flow segments are the same regardless of which direction the flow","practice, the particle advec-tion approach allows implementa-tion of the algorithm in both forward and backward time, meaning the flow segments are the same regardless of which direction the flow",74265bbb271439ed65e813bd4271aa06
11,backward,time,2007,TV,The Universe,to actually transport information backward in time... or people backward in time. But backward time travel raises disturbing paradoxes. Could one actually voyage to the past and change,to actually transport information backward in time... or people backward in time. But backward time travel raises disturbing paradoxes. Could one actually voyage to the past and change,c95bba8786657d969b6f11372ed3d582
12,backward,time,2007,TV,The Universe,"... and perhaps, one day, they may come knocking on your door. Backward time travel has ignited a myriad of science fiction scenarios. If that machine can","... and perhaps, one day, they may come knocking on your door. Backward time travel has ignited a myriad of science fiction scenarios. If that machine can",0c6e8036d45ec4fe3cb1e92a372503c3
13,backward,time,2007,TV,The Universe,"changing history? One possibility is that the laws of physics... allowyou to do backward time travel... as long as it leads to a self-consistent universe... that,","changing history? One possibility is that the laws of physics... allowyou to do backward time travel... as long as it leads to a self-consistent universe... that,",80356c557d307a4be71eb5e3aa2a7e97
14,backward,time,2007,TV,The Universe,"place... for example, in the grandfather paradox. For now, forward or backward time travel... through a wormhole remains in question. And some scientists think...","place... for example, in the grandfather paradox. For now, forward or backward time travel... through a wormhole remains in question. And some scientists think...",fca9095a612839344e8b6b1475d9756f
15,backward,time,1995,FIC,ContempFic,", sammenstod (Distances, Collisions, 1979, poems), Baglaens tid (Backward Time, 1983, poems), Kragevending: landsbydigte (As the Crow Turns",", sammenstod (Distances, Collisions, 1979, poems), Baglaens tid (Backward Time, 1983, poems), Kragevending: landsbydigte (As the Crow Turns",65ecf73a0f8306e647741e71db68aa24
16,back,time,2018,FIC,Fan Fic,"the house on Castle Lake every summer, driving that same stretch to Bangor and back time after time. Shaving miles and more miles, and miles after that.","the house on Castle Lake every summer, driving that same stretch to Bangor and back time after time. Shaving miles and more miles, and miles after that.",5ffe75bcac871f2bf6148aee679a4541
17,back,time,2017,TV,Abstract: The Art of...,"bit, and instead of taking it and absorbing it, I give it right back times a thousand, and I normally yell at their face. [loudly] Amazing!","bit, and instead of taking it and absorbing it, I give it right back times a thousand, and I normally yell at their face. [loudly] Amazing!",f4e18419dc1429f66c80558eda64bda2
18,back,time,2016,FIC,World Literature Today,"ruins your life as you knew it. # But a broken foot gives you back time. Today, for instance, instead of going to a Barre Method class","ruins your life as you knew it. # But a broken foot gives you back time. Today, for instance, instead of going to a Barre Method class",503991c1e15e7c86fef12baf43552f6f
19,back,time,2007,SPOK,NPR_TellMore,"grocery store is full of things that are already done for you to buy you back time, and that's why "" Semi-Homemade "" has been so successful and is","grocery store is full of things that are already done for you to buy you back time, and that's why "" Semi-Homemade "" has been so successful and is",6950af003f27468c2caa190caa0e781f
20,back,time,2003,TV,Malcolm in the Middle,"Sure. Oble? of the Earth around the table and, like Superman and back time for a moment before as We thought fail for like. Are still being","Sure. Oble? of the Earth around the table and, like Superman and back time for a moment before as We thought fail for like. Are still being",0c2c1af98f3208b12122769f8e28c7c8
21,back,time,1996,MAG,Backpacker,"bit before hitting the trail. Then start hiking slowly to give your legs and back time to warm up. Stretch again on your first break, then gradually increase","bit before hitting the trail. Then start hiking slowly to give your legs and back time to warm up. Stretch again on your first break, then gradually increase",c52bff52c65118651c9b1fe8540532fc
22,setting,time,2012,BLOG,danariely.com,often and the other partner wishes to have intimacy more often. Can you imagine setting times for intimacy working? # My family is fairly busy -- we don't,often and the other partner wishes to have intimacy more often. Can you imagine setting times for intimacy working? # My family is fairly busy -- we don't,59582e62dc64aaf95f5dce3713390582
23,setting,time,2007,FIC,FantasySciFi,"ordinary person, remote viewing combined with precognition might seem not much more remarkable than setting time transceiver coordinates mentally while in a selfinduced state of trance. But several dozen","ordinary person, remote viewing combined with precognition might seem not much more remarkable than setting time transceiver coordinates mentally while in a selfinduced state of trance. But several dozen",847d1366b4d73194937bc3128daaa5da
24,setting,time,1999,MAG,SkyTelescope,"this table: Finally, the Moon's rapid orbital motion alters lunar rising and setting times slightly if your longitude differs from 90deg west. The Moon rises and sets","this table: Finally, the Moon's rapid orbital motion alters lunar rising and setting times slightly if your longitude differs from 90deg west. The Moon rises and sets",ef66888eb965b5456943c56de1557cd8
25,setting,time,1995,ACAD,RehabResrch,total contact cast was applied. Weightbearing was not allowed for 3 to 4 hrs setting time to assure sufficient hardening of the plaster inner shell. The subject then walked,total contact cast was applied. Weightbearing was not allowed for 3 to 4 hrs setting time to assure sufficient hardening of the plaster inner shell. The subject then walked,7288875b02d2a27ada0ef6b0220a3e5d
26,setting,time,1991,MAG,Compute,"ask for your location in longitude and latitude, not only to figure rising and setting times, but also to calculate the appearance of solar and lunar eclipses. You","ask for your location in longitude and latitude, not only to figure rising and setting times, but also to calculate the appearance of solar and lunar eclipses. You",371fa0ad133a27e12ce12eac3a65b913
27,outside,relationship,2014,ACAD,CollegeStud,"(Mietzner, 2005). An important defense against loneliness can be support from outside relationships, such as family and friends (Sadava & Matejcic, 1987).","(Mietzner, 2005). An important defense against loneliness can be support from outside relationships, such as family and friends (Sadava & Matejcic, 1987).",50818b3621b8f0ef145706a8756fc3a8
