Unnamed: 0,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
0,time,location,2004,ACAD,ChurchHistory,"before the locomotive age "" universal time "" did not even exist; time was location specific and set according to solar readings. Railway companies found this utterly unmanageable,","before the locomotive age "" universal time "" did not even exist; time was location specific and set according to solar readings. Railway companies found this utterly unmanageable,",ba8766f0c84ec64f89b41b92ab1fa5b7
1,time,neighborhood,2005,SPOK,CBS_Morning,"from the first. Ms-PARKER: (Voiceover) The Soulsville USA neighborhood at that time was neighborhood that was transitioning, and this was becoming a predominantly African-American neighborhood. By virtue","from the first. Ms-PARKER: (Voiceover) The Soulsville USA neighborhood at that time was neighborhood that was transitioning, and this was becoming a predominantly African-American neighborhood. By virtue",eaf87024d551feba40c3009e54aac54e
2,idea,food,2018,SPOK,NBC_Today,"it's too cute. HODA-KOTB) : Here with some of our favorite ideas is food expert and style expert, just all around expert -- KATHIE-LEE-GIFFORD) : Everything. HODA-KOTB)","it's too cute. HODA-KOTB) : Here with some of our favorite ideas is food expert and style expert, just all around expert -- KATHIE-LEE-GIFFORD) : Everything. HODA-KOTB)",93aa7bbd3e75d45e99d6aed3385399f5
3,idea,food,2012,WEB,wikihow.com,"your movie night. # 2 # Ensure that you have snacks. Ideas are food such as popcorn (of course), chips and dip, cookies, candies","your movie night. # 2 # Ensure that you have snacks. Ideas are food such as popcorn (of course), chips and dip, cookies, candies",6b832a551340904fd9cdc93152f78840
4,idea,sugar,2012,BLOG,whereamiwearing.com,"giving a free pair of shoes to someone in poverty. The whole idea is sugar coated in emotions, fashion, and good intentions. It is funny that this","giving a free pair of shoes to someone in poverty. The whole idea is sugar coated in emotions, fashion, and good intentions. It is funny that this",a0cfc302f2246d166f370b303203e663
5,thought,food,2019,FIC,SouthernRev,"s what I did, until Ann got sick. # My first thought was food poisoning and I had identified a culprit, a Thai restaurant where I went for","s what I did, until Ann got sick. # My first thought was food poisoning and I had identified a culprit, a Thai restaurant where I went for",d9083cb0da207028c771bad2911e77ad
6,cause,food,2012,BLOG,chriskresser.com,WELL. # My thinking is that being obese is not bad for health if cause is food reward from non toxic sources (Or micro-nutrient deficiency or infection).,WELL. # My thinking is that being obese is not bad for health if cause is food reward from non toxic sources (Or micro-nutrient deficiency or infection).,4cca816f36f61590d187af6532f6fe54
7,cause,food,2012,BLOG,...eparty.wordpress.com,". The mess in the house is increasing as well, with the most common cause being food fights or Mac's tornado furry around the house. Amidst the crazy",". The mess in the house is increasing as well, with the most common cause being food fights or Mac's tornado furry around the house. Amidst the crazy",36fce025d9bfe7ea56a5d3796344bf02
8,cause,food,2006,MAG,Parenting,"important to call if you have a baby under 1 with diarrhea. Whether the cause is food poisoning or something else, it needs attention. Sources: Althea Zanecosky","important to call if you have a baby under 1 with diarrhea. Whether the cause is food poisoning or something else, it needs attention. Sources: Althea Zanecosky",8269ffd4a5ba0589a4a7472cd0c3cb16
9,desire,hunger,2012,WEB,justsomelyrics.com,"now baby here as I am pull me close, try and understand desire is hunger is the fire I breathe love is a banquet on which we feed # Come","now baby here as I am pull me close, try and understand desire is hunger is the fire I breathe love is a banquet on which we feed # Come",224c178f36107f1dd11bb85044e4db59
