Unnamed: 0,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
0,difficulty,catch,2015,ACAD,ReadingImprovement,"Some children enter kindergarten with few early literacy skills, which can result in significant difficulty catching up to typically developing peers without some type of intensive intervention (Good,","Some children enter kindergarten with few early literacy skills, which can result in significant difficulty catching up to typically developing peers without some type of intensive intervention (Good,",9a98da31a99e90b1a976899931cadbcf
1,difficulty,catch,2012,NEWS,WashPost,". Mets starter R.A. Dickey seemed like the obvious choice to start the game but difficulty catching his knuckleball may have cost him. NATIONAL LEAGUE RESERVES Pitchers Aroldis Chapman,",". Mets starter R.A. Dickey seemed like the obvious choice to start the game but difficulty catching his knuckleball may have cost him. NATIONAL LEAGUE RESERVES Pitchers Aroldis Chapman,",66efb72798db242494357d3d62fe1b07
2,difficulty,catch,2012,WEB,...iftun.deviantart.com,"s ability to walk in a straight line was somewhat impaired, Spike had little difficulty catching up to the meandering unicorn. He slowed his pace once he caught up","s ability to walk in a straight line was somewhat impaired, Spike had little difficulty catching up to the meandering unicorn. He slowed his pace once he caught up",dbf8d5a464dcd93ee1756b9c6a75bea2
3,difficulty,catch,2011,MAG,PCWorld,at least 80 percent of attacks. This indicates that the program may have some difficulty catching brand-new malware for which a signature file doesn't yet exist. On the,at least 80 percent of attacks. This indicates that the program may have some difficulty catching brand-new malware for which a signature file doesn't yet exist. On the,a527cf216809f2df053fed533201827c
4,difficulty,catch,2005,SPOK,NPR_Science,"subtle... FLATOW: Right. Dr-KARAS:... and can really just be some difficulty catching her breath, feeling a bit sick to her stomach, a bit nauseous","subtle... FLATOW: Right. Dr-KARAS:... and can really just be some difficulty catching her breath, feeling a bit sick to her stomach, a bit nauseous",7e93abe45f187ebe17da7f308aaf37d5
5,difficulty,catch,2003,TV,Survivor,that we don't want the fish. It's that we're having great difficulty catching them. This is the most I've ever eat beans in my whole,that we don't want the fish. It's that we're having great difficulty catching them. This is the most I've ever eat beans in my whole,2c457e1bac9715f7578f1175dd172dd5
6,difficulty,catch,2002,NEWS,NYTimes,body you want. We were most impressed with his hands. He had little difficulty catching the football and his hands were surprisingly soft. He had good quickness and,body you want. We were most impressed with his hands. He had little difficulty catching the football and his hands were surprisingly soft. He had good quickness and,ee3e6cc238b633bcef93cd8835114e1e
7,difficulty,catch,1999,MAG,MotherJones,"couldn't believe what was happening. "" # The lowland children had much greater difficulty catching a ball or dropping a raisin into a bottle cap -- both tests of","couldn't believe what was happening. "" # The lowland children had much greater difficulty catching a ball or dropping a raisin into a bottle cap -- both tests of",639b55471e08fee1e1182eef15ec6c89
8,difficulty,catch,1998,ACAD,PhysicalEduc,"Basketball Association Dissolves Before it Begins # Regardless, women's professional basketball still had difficulty catching on in America. In 1991, 10 years after the demise of the","Basketball Association Dissolves Before it Begins # Regardless, women's professional basketball still had difficulty catching on in America. In 1991, 10 years after the demise of the",7573e44a1e4b992f4014abcc2fa4eb2a
9,difficulty,catch,1997,MOV,Seven Years in Tibet,Shanghai so even if you make it to the Chinese border... you may have difficulty catching up with them. I don' t care if they're repelled all,Shanghai so even if you make it to the Chinese border... you may have difficulty catching up with them. I don' t care if they're repelled all,d715c73bfbb1de81718fd3eea4c24aa2
10,difficulty,catch,1995,FIC,BkJuv:Arkadians,"a little glint of wry amusement. At sight of her, Lucian felt some difficulty catching his breath. Despite a sudden giddiness, he straightened up, squared his","a little glint of wry amusement. At sight of her, Lucian felt some difficulty catching his breath. Despite a sudden giddiness, he straightened up, squared his",aff5ac03715e7a4689097b21d3c28de3
11,crisis,catch,2017,NEWS,Virginian-Pilot,a developmental disorder as well as other mental health diagnoses. # featured  Mental crises catch man and family in revolving door of medication and psych care # Sherita Martin,a developmental disorder as well as other mental health diagnoses. # featured Mental crises catch man and family in revolving door of medication and psych care # Sherita Martin,cc3f2e08cc890acd3d754fc248f851fc
12,crisis,catch,2012,ACAD,MiddleEastQ,"Echo, Oct. 26, 2009. # 5 Svante E. Cornell, "" Iranian Crisis Catches the Turkish Government off Guard, "" Turkey Analyst, June 19, 2009","Echo, Oct. 26, 2009. # 5 Svante E. Cornell, "" Iranian Crisis Catches the Turkish Government off Guard, "" Turkey Analyst, June 19, 2009",084d4a314f59a2b0f011db5c34ba12e7
13,crisis,catch,2012,ACAD,MiddleEastQ,""" Turkey Analyst, Feb. 7, 2011. # 51 Cornell, "" Iranian Crisis Catches the Turkish Government off Guard. "" # 52 World Bulletin (Istanbul)",""" Turkey Analyst, Feb. 7, 2011. # 51 Cornell, "" Iranian Crisis Catches the Turkish Government off Guard. "" # 52 World Bulletin (Istanbul)",2d8aeb4ad6bdc68f5e04b2be9ae3eed1
14,crisis,catch,2012,WEB,dealbook.nytimes.com,"short-term profits, that's what you get, and that's how the financial crisis caught fire. "" # Not all institutional investors are unhappy. Bill Ackman,","short-term profits, that's what you get, and that's how the financial crisis caught fire. "" # Not all institutional investors are unhappy. Bill Ackman,",d675f4c767522576cc4d545fccb250ef
15,crisis,catch,2012,WEB,ryancaseybooks.com,through your list of ideas. Does the one about the vicar in a mid-life crisis catch your eye? Then note it down on another piece of paper. Throw,through your list of ideas. Does the one about the vicar in a mid-life crisis catch your eye? Then note it down on another piece of paper. Throw,32a6f2e77745f7d916d32a16f1120f41
16,crisis,catch,2005,SPOK,CNN_Next,"Brookfield Zoo staff realized they got an unforgettable lesson in public relations, that a crisis caught on tape could teach the world more about these gentle giants than words alone","Brookfield Zoo staff realized they got an unforgettable lesson in public relations, that a crisis caught on tape could teach the world more about these gentle giants than words alone",b50e1b7c7f39e26cf34b96162676c7ce
17,crisis,catch,2002,SPOK,CBS_Rather,"An agonizing lesson, imagines from inside, scene for the first time, a crisis caught on tape that in some ways brought comfort. ! KRISTEN-KOSTIW-VI:","An agonizing lesson, imagines from inside, scene for the first time, a crisis caught on tape that in some ways brought comfort. ! KRISTEN-KOSTIW-VI:",ed803c22ac4351b227fba9725ffd1e20
18,crisis,catch,1990,SPOK,ABC_Business,"might be fairly critical VANOCUR voice- over But, despite its renowned reputation, the crisis caught ESA off guard. Its founder went off to a secluded honeymoon and was","might be fairly critical VANOCUR voice- over But, despite its renowned reputation, the crisis caught ESA off guard. Its founder went off to a secluded honeymoon and was",66d8bfab7621a228f64e17e740a159ab
19,crisis,overwhelm,2019,NEWS,The Boston Globe,"SSTAR has been looking to expand for more than three years, as the opioid crisis overwhelmed its two existing facilities, both in Fall River. About one in five","SSTAR has been looking to expand for more than three years, as the opioid crisis overwhelmed its two existing facilities, both in Fall River. About one in five",117a5e5e00789db94b9bbe52cac01120
20,crisis,overwhelm,2012,BLOG,bullfax.com,"rescue from the European Union and the International Monetary Fund in November as a banking crisis overwhelmed the government. The European Commission in Brussels said the downgrade "" contrasts very","rescue from the European Union and the International Monetary Fund in November as a banking crisis overwhelmed the government. The European Commission in Brussels said the downgrade "" contrasts very",9296e5e396aba2021010f0c13e60cf83
21,crisis,overwhelm,2008,ACAD,IntlAffairs,"impacts of climate change, and the action agenda is to find solutions before this crisis overwhelms us and causes irreversible damage. Our best guess is that these impacts may","impacts of climate change, and the action agenda is to find solutions before this crisis overwhelms us and causes irreversible damage. Our best guess is that these impacts may",0ed8a12fc625a885f8dcb2b009894c94
22,crisis,overwhelm,2006,MAG,Fortune,"Japan's economic fate depends on Koizumi's successors getting back in reform mode before crisis overwhelms them. In Japan Sinks, the do-nothing cabinet ministers board a plane and","Japan's economic fate depends on Koizumi's successors getting back in reform mode before crisis overwhelms them. In Japan Sinks, the do-nothing cabinet ministers board a plane and",6f87bc3cc93d6c77eb84cb2e40f39616
23,crisis,overwhelm,1993,ACAD,ArabStudies,"unknown. Certainly, however, the flood of displaced refugees in Jordan during the Crisis overwhelmed economic, political and social institutions. # The Palestinian and Jordanian work force","unknown. Certainly, however, the flood of displaced refugees in Jordan during the Crisis overwhelmed economic, political and social institutions. # The Palestinian and Jordanian work force",1922506f267420812d92cd42c5c4bcc2
24,difficulty,impede,2012,WEB,www1.umn.edu,) as well as the activities undertaken under this programme. # C. Factors and difficulties impeding further progress in the implementation of the Convention # 9. The Committee notes,) as well as the activities undertaken under this programme. # C. Factors and difficulties impeding further progress in the implementation of the Convention # 9. The Committee notes,92840cde9b3c0dfbd99a38476138019c
25,time,back,2017,NEWS,Colorado Springs Gazette,the conditions needed to continue enjoying sanctions relief under the deal and has both times backed away from a showdown. # But U.S. President Donald Trump more recently has said,the conditions needed to continue enjoying sanctions relief under the deal and has both times backed away from a showdown. # But U.S. President Donald Trump more recently has said,3307b3c324ffe37db91017c5d616e9f6
26,time,back,2013,NEWS,NYTimes,"a middle-of-the-road deal maker, sometimes siding with the teachers' union and other times backing Mr. Deasy. He has often been the swing vote on issues that have divided","a middle-of-the-road deal maker, sometimes siding with the teachers' union and other times backing Mr. Deasy. He has often been the swing vote on issues that have divided",1977f5da975617aac016ac6629ce554c
27,time,back,2012,WEB,mormonsforobama.org,"not agree with everything either candidate says, but I have a real tough time backing President Obama when he is in favor of gay marriage and abortion. God is","not agree with everything either candidate says, but I have a real tough time backing President Obama when he is in favor of gay marriage and abortion. God is",ba6201d117572b18d16bbaad234beea7
28,time,back,2012,WEB,michellemalkin.com,owl. Who believes that another top-down government exercise in species engineering -- this time backed with bullets -- will do the trick? When the government picks winners and losers,owl. Who believes that another top-down government exercise in species engineering -- this time backed with bullets -- will do the trick? When the government picks winners and losers,a4c1d8bb13e029da4de6b4f21e9db812
29,time,back,2012,BLOG,...shere93.blogspot.com,"the current bedroom bce. # Fsc used and come dishes, coffeemaker. Time backs him meanwhile to, but suguru has enough second managed all heat to substitute.","the current bedroom bce. # Fsc used and come dishes, coffeemaker. Time backs him meanwhile to, but suguru has enough second managed all heat to substitute.",5574e64fd17ce67c4fd8704e6ba7908a
30,time,back,2011,SPOK,ABC_ThisWeek,"still talking, I'm still talking, "" and Rick Perry the first time backed off. This time, Rick Perry kept talking. And, I mean,","still talking, I'm still talking, "" and Rick Perry the first time backed off. This time, Rick Perry kept talking. And, I mean,",544e9df48b55c19bb517b25ed75dcd29
31,time,back,2008,NEWS,Denver,"and hissing fumaroles (steam vents). We spent quite a bit of time backing away from bison, who like the thermal pools and geyser areas not because they","and hissing fumaroles (steam vents). We spent quite a bit of time backing away from bison, who like the thermal pools and geyser areas not because they",fb2b1f79b4f40fd6e21965d5afcf599d
32,time,back,2008,ACAD,MechanicalEng,"a unique design to meet customer needs. Engineer Mark Resler had a hard time backing down from such a challenge, but this one, he said, was a","a unique design to meet customer needs. Engineer Mark Resler had a hard time backing down from such a challenge, but this one, he said, was a",9e65290643ef6a57189e70f4633ed0ec
33,time,back,2003,NEWS,WashPost,found that Harlow in some cases failed to root out improper accounting and other times backed down when Sunbeam's management disagreed with his findings. Private securities attorneys said that,found that Harlow in some cases failed to root out improper accounting and other times backed down when Sunbeam's management disagreed with his findings. Private securities attorneys said that,f86496389f97a572e401a114a4f775b8
34,time,back,1998,NEWS,NYTimes,". Mr. Truscott certainly remembers it that way, and news reports from the time back him up. # Although the bookstore carried the novel, active duty officers were",". Mr. Truscott certainly remembers it that way, and news reports from the time back him up. # Although the bookstore carried the novel, active duty officers were",f00fe54ca6dda721d13e641f7b215748
35,time,back,1995,FIC,Bk:LadderYears,""" she said. She dabbed at his muzzle ineptly, at the same time backing off a bit. The front door opened, and Adrian said, "" Finally",""" she said. She dabbed at his muzzle ineptly, at the same time backing off a bit. The front door opened, and Adrian said, "" Finally",b1a943ea45e14d562ba308d669919adc
36,time,back,1993,FIC,Mov:BeingHuman,HECTOR # They won't let me leave here... # The Policeman this time backs him up. # # POLICEMAN # That's true. # The Son backs,HECTOR # They won't let me leave here... # The Policeman this time backs him up. # # POLICEMAN # That's true. # The Son backs,58b95bec8bfae88da8af78986d405fa8
37,time,back,1992,NEWS,USAToday,"em all, "" he told his critics again Monday, at the same time backing down from his threat to stay on. He said he just wanted to expose","em all, "" he told his critics again Monday, at the same time backing down from his threat to stay on. He said he just wanted to expose",2deef56753a4c016f7def85092eee9de
38,time,back,1991,MAG,TIME,"his revolution across the gulf. That was one reason the U.S. at the time backed Khomeini's enemy, Saddam Hussein. Last fall the CIA warned the White House","his revolution across the gulf. That was one reason the U.S. at the time backed Khomeini's enemy, Saddam Hussein. Last fall the CIA warned the White House",92819390194b53e8f3b8b11240f3abf9
39,time,back,1991,NEWS,Atlanta," # He will be back in the Supreme Court on Wednesday, this time backing up another attorney who will argue that Rhode Island junior high school students have the","# He will be back in the Supreme Court on Wednesday, this time backing up another attorney who will argue that Rhode Island junior high school students have the",cc9ec807686665e9d6ccc97756c9ea6b
