Unnamed: 0,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
0,overwhelm,distress,2012,WEB,bible.cc,", which we can not make to God. When our spirits are overwhelmed by distress, and filled with discouragement; when we see snares laid for us on every",", which we can not make to God. When our spirits are overwhelmed by distress, and filled with discouragement; when we see snares laid for us on every",8d9e515ed24c9d6f03d696b0df73b659
1,overwhelm,hardship,1992,ACAD,AnthropolQ,"the occupants. # Even the local section of the diocesan organisation was overwhelmed by hardship. In 1879 the big landowner Matthijs van Lieshout, one of its pillars,","the occupants. # Even the local section of the diocesan organisation was overwhelmed by hardship. In 1879 the big landowner Matthijs van Lieshout, one of its pillars,",772f32ecfc311ad8596c3d0cd1f41573
2,overwhelm,adversity,2014,MOV,Sequoia,", yeah. It's hard to find the part where you're overwhelmed with adversity. - Well, i am. - Yeah. Yeah. So what overwhelms",", yeah. It's hard to find the part where you're overwhelmed with adversity. - Well, i am. - Yeah. Yeah. So what overwhelms",5af9ee2ff1e9fd93246fb6580172f147
3,overwhelm,crisis,2010,NEWS,Houston,", Houston had no layoffs or furloughs. As the federal government became overwhelmed with crises after Hurricane Katrina, Houston absorbed more than 200,000 people from Louisiana. # When",", Houston had no layoffs or furloughs. As the federal government became overwhelmed with crises after Hurricane Katrina, Houston absorbed more than 200,000 people from Louisiana. # When",b61c661d49e02011c5dcdc56788a7c6f
4,overwhelm,distress,2012,BLOG,theblaze.com,"It works every time -- even on Chris Christie, who was so overwhelmed with distress that he didn't even know what hit him. # No, sorry Blaze","It works every time -- even on Chris Christie, who was so overwhelmed with distress that he didn't even know what hit him. # No, sorry Blaze",b9c4a5cd157ffb90e14dfe6f0d4b68ce
5,back,time,2001,TV,Malcolm in the Middle,"! Well, let's bring the boys home and then your dad and I back in time to your operation, right?. Dewey... You're wearing my","! Well, let's bring the boys home and then your dad and I back in time to your operation, right?. Dewey... You're wearing my",11ea6c739e2f722ed6824d1ee834545b
6,back,time,2000,FIC,Bk:OceansEternity,"told of the teeth gnawing, quiet and relentless. The Event had sent thousands back through time, but every one of them still slid down the slippery slope of","told of the teeth gnawing, quiet and relentless. The Event had sent thousands back through time, but every one of them still slid down the slippery slope of",3815ec8ef27a3b507b14421de7a52fa6
7,place,time,2014,MAG,NatGeog,girl with no doll but 47 horses. And it gave context to -- it placed in time -- something that Curly's great-granddaughter Johnna told me. Just as Narsis,girl with no doll but 47 horses. And it gave context to -- it placed in time -- something that Curly's great-granddaughter Johnna told me. Just as Narsis,2d4fff7b971ab88c86b31945bf549d0f
8,place,time,2014,ACAD,EducTreatmenChildren,"). After several episodes of problem behavior and contingent reprimand, Teva was frequently placed in time out (i.e., received escape) where a paraprofessional was assigned to","). After several episodes of problem behavior and contingent reprimand, Teva was frequently placed in time out (i.e., received escape) where a paraprofessional was assigned to",4e59607fbed6f8a8a29d014c28b4c87a
9,place,time,2012,BLOG,...raments.blogspot.com,". # I'm currently reading Berry's new collection of short stories, A Place in Time, which is lovely. I'm also reading When Helping Hurts about",". # I'm currently reading Berry's new collection of short stories, A Place in Time, which is lovely. I'm also reading When Helping Hurts about",07a9b31607aafbb417700fde7704f2c7
10,place,time,2012,BLOG,...medford.blogspot.com,"Umbria next summer and spots are limited. # Learn to capture a moment and place in time on canvas. # We won't just be working, we'll","Umbria next summer and spots are limited. # Learn to capture a moment and place in time on canvas. # We won't just be working, we'll",a597ec55afc08bea92d22559fe3581d3
11,place,time,2012,BLOG,...helastword.msnbc.com,"and timely investment needed. Prudent and timely, means that ample investments, well place in time, and delivering energy where is needed, sometime taking years of tactics","and timely investment needed. Prudent and timely, means that ample investments, well place in time, and delivering energy where is needed, sometime taking years of tactics",136cfe437239e7b62052a49ce59503e2
12,place,time,2010,ACAD,AfricanArts,"portraits thus represent a collision and condensation of individual identity, physical place, and place in time. The studio setting, with all its accoutrements, comes to represent","portraits thus represent a collision and condensation of individual identity, physical place, and place in time. The studio setting, with all its accoutrements, comes to represent",a02f3a3f9a852087609ccdb54bcd943e
13,place,time,2009,ACAD,TheologStud,"the order of the parts of space "" are unchangeable. "" All things are placed in time with reference to order of succession and in space with reference to order","the order of the parts of space "" are unchangeable. "" All things are placed in time with reference to order of succession and in space with reference to order",9bd234ce943925323997f43598f9aa45
14,place,time,2006,NEWS,WashPost,"overused. There are so many more, each hitched to some distant point and place in time, such as the Aviateur Bleriot, bred in France around the time","overused. There are so many more, each hitched to some distant point and place in time, such as the Aviateur Bleriot, bred in France around the time",163e5e3b5f195764932ef7029c5c8730
15,place,time,1997,ACAD,AmerStudies,"U P, 1980); Darrett B. Rutman and Anita H. Rutman, A Place in Time: Middlesex County, Virginia, 1650-1720 (New York: W. W.","U P, 1980); Darrett B. Rutman and Anita H. Rutman, A Place in Time: Middlesex County, Virginia, 1650-1720 (New York: W. W.",4f0a1a004bff955e2def188f344e61ee
16,place,time,1993,ACAD,AmerStudies,", Okla., 1969); Darrett B. Rutman and Anita H. Rutman, A Place in Time: Middlesex County, Virginia, 1650-1750 (New York, 1984)",", Okla., 1969); Darrett B. Rutman and Anita H. Rutman, A Place in Time: Middlesex County, Virginia, 1650-1750 (New York, 1984)",7f43d7cdb483bcbfc0e6b6096bedac78
17,locate,time,2012,WEB,mommypoppins.com,free (assuming you leave without buying something). Three of our favorites are located in Times Square. M &M's; World at 48th Street is a chocolate lovers',free (assuming you leave without buying something). Three of our favorites are located in Times Square. M &M's; World at 48th Street is a chocolate lovers',2e09983632aaba8d53e02de29ba9917b
18,locate,time,2012,WEB,plato.stanford.edu,"the appearances, as Kant now calls them, which the synthesis of apprehension has located in time. At first glance, the synthesis of reproduction looks very much like","the appearances, as Kant now calls them, which the synthesis of apprehension has located in time. At first glance, the synthesis of reproduction looks very much like",4166a80b47fe38520abc1c2514821c82
19,locate,time,2006,MAG,TIME,"makes it "" more likely that killers like these 9/11 hijackers will be identified and located in time. "" G.O.P. strategists argue that Democrats have little leeway to attack on","makes it "" more likely that killers like these 9/11 hijackers will be identified and located in time. "" G.O.P. strategists argue that Democrats have little leeway to attack on",995d18dfbff4a9aa59b404fd8373a836
20,locate,time,2005,SPOK,NPR_ATCW,"authorized make it more likely that killers like these 9/11 hijackers will be identified and located in time, and the activities conducted under this authorization have helped detect and prevent","authorized make it more likely that killers like these 9/11 hijackers will be identified and located in time, and the activities conducted under this authorization have helped detect and prevent",0079453c0562f0314349f514e4a8d449
