,lemma_1,lemma_2,year,genre,source,text,clean_text
0,overwhelm,distress,2012,WEB,bible.cc,", which we can not make to God. When our spirits are overwhelmed by distress, and filled with discouragement; when we see snares laid for us on every",", which we can not make to God. When our spirits are overwhelmed by distress, and filled with discouragement; when we see snares laid for us on every"
1,overwhelm,hardship,1992,ACAD,AnthropolQ,"the occupants. # Even the local section of the diocesan organisation was overwhelmed by hardship. In 1879 the big landowner Matthijs van Lieshout, one of its pillars,","the occupants. # Even the local section of the diocesan organisation was overwhelmed by hardship. In 1879 the big landowner Matthijs van Lieshout, one of its pillars,"
2,overwhelm,adversity,2014,MOV,Sequoia,", yeah. It's hard to find the part where you're overwhelmed with adversity. - Well, i am. - Yeah. Yeah. So what overwhelms",", yeah. It's hard to find the part where you're overwhelmed with adversity. - Well, i am. - Yeah. Yeah. So what overwhelms"
3,overwhelm,crisis,2010,NEWS,Houston,", Houston had no layoffs or furloughs. As the federal government became overwhelmed with crises after Hurricane Katrina, Houston absorbed more than 200,000 people from Louisiana. # When",", Houston had no layoffs or furloughs. As the federal government became overwhelmed with crises after Hurricane Katrina, Houston absorbed more than 200,000 people from Louisiana. # When"
4,overwhelm,distress,2012,BLOG,theblaze.com,"It works every time -- even on Chris Christie, who was so overwhelmed with distress that he didn't even know what hit him. # No, sorry Blaze","It works every time -- even on Chris Christie, who was so overwhelmed with distress that he didn't even know what hit him. # No, sorry Blaze"
5,back,time,2001,TV,Malcolm in the Middle,"! Well, let's bring the boys home and then your dad and I back in time to your operation, right?. Dewey... You're wearing my","! Well, let's bring the boys home and then your dad and I back in time to your operation, right?. Dewey... You're wearing my"
6,back,time,2000,FIC,Bk:OceansEternity,"told of the teeth gnawing, quiet and relentless. The Event had sent thousands back through time, but every one of them still slid down the slippery slope of","told of the teeth gnawing, quiet and relentless. The Event had sent thousands back through time, but every one of them still slid down the slippery slope of"
7,place,time,2014,MAG,NatGeog,girl with no doll but 47 horses. And it gave context to -- it placed in time -- something that Curly's great-granddaughter Johnna told me. Just as Narsis,girl with no doll but 47 horses. And it gave context to -- it placed in time -- something that Curly's great-granddaughter Johnna told me. Just as Narsis
8,place,time,2014,ACAD,EducTreatmenChildren,"). After several episodes of problem behavior and contingent reprimand, Teva was frequently placed in time out (i.e., received escape) where a paraprofessional was assigned to","). After several episodes of problem behavior and contingent reprimand, Teva was frequently placed in time out (i.e., received escape) where a paraprofessional was assigned to"
9,place,time,2012,BLOG,...raments.blogspot.com,". # I'm currently reading Berry's new collection of short stories, A Place in Time, which is lovely. I'm also reading When Helping Hurts about",". # I'm currently reading Berry's new collection of short stories, A Place in Time, which is lovely. I'm also reading When Helping Hurts about"
10,place,time,2012,BLOG,...medford.blogspot.com,"Umbria next summer and spots are limited. # Learn to capture a moment and place in time on canvas. # We won't just be working, we'll","Umbria next summer and spots are limited. # Learn to capture a moment and place in time on canvas. # We won't just be working, we'll"
11,place,time,2012,BLOG,...helastword.msnbc.com,"and timely investment needed. Prudent and timely, means that ample investments, well place in time, and delivering energy where is needed, sometime taking years of tactics","and timely investment needed. Prudent and timely, means that ample investments, well place in time, and delivering energy where is needed, sometime taking years of tactics"
12,place,time,2010,ACAD,AfricanArts,"portraits thus represent a collision and condensation of individual identity, physical place, and place in time. The studio setting, with all its accoutrements, comes to represent","portraits thus represent a collision and condensation of individual identity, physical place, and place in time. The studio setting, with all its accoutrements, comes to represent"
13,place,time,2009,ACAD,TheologStud,"the order of the parts of space "" are unchangeable. "" All things are placed in time with reference to order of succession and in space with reference to order","the order of the parts of space "" are unchangeable. "" All things are placed in time with reference to order of succession and in space with reference to order"
14,place,time,2006,NEWS,WashPost,"overused. There are so many more, each hitched to some distant point and place in time, such as the Aviateur Bleriot, bred in France around the time","overused. There are so many more, each hitched to some distant point and place in time, such as the Aviateur Bleriot, bred in France around the time"
15,place,time,1997,ACAD,AmerStudies,"U P, 1980); Darrett B. Rutman and Anita H. Rutman, A Place in Time: Middlesex County, Virginia, 1650-1720 (New York: W. W.","U P, 1980); Darrett B. Rutman and Anita H. Rutman, A Place in Time: Middlesex County, Virginia, 1650-1720 (New York: W. W."
16,place,time,1993,ACAD,AmerStudies,", Okla., 1969); Darrett B. Rutman and Anita H. Rutman, A Place in Time: Middlesex County, Virginia, 1650-1750 (New York, 1984)",", Okla., 1969); Darrett B. Rutman and Anita H. Rutman, A Place in Time: Middlesex County, Virginia, 1650-1750 (New York, 1984)"
17,locate,time,2012,WEB,mommypoppins.com,free (assuming you leave without buying something). Three of our favorites are located in Times Square. M &M's; World at 48th Street is a chocolate lovers',free (assuming you leave without buying something). Three of our favorites are located in Times Square. M &M's; World at 48th Street is a chocolate lovers'
18,locate,time,2012,WEB,plato.stanford.edu,"the appearances, as Kant now calls them, which the synthesis of apprehension has located in time. At first glance, the synthesis of reproduction looks very much like","the appearances, as Kant now calls them, which the synthesis of apprehension has located in time. At first glance, the synthesis of reproduction looks very much like"
19,locate,time,2006,MAG,TIME,"makes it "" more likely that killers like these 9/11 hijackers will be identified and located in time. "" G.O.P. strategists argue that Democrats have little leeway to attack on","makes it "" more likely that killers like these 9/11 hijackers will be identified and located in time. "" G.O.P. strategists argue that Democrats have little leeway to attack on"
20,locate,time,2005,SPOK,NPR_ATCW,"authorized make it more likely that killers like these 9/11 hijackers will be identified and located in time, and the activities conducted under this authorization have helped detect and prevent","authorized make it more likely that killers like these 9/11 hijackers will be identified and located in time, and the activities conducted under this authorization have helped detect and prevent"
21,locate,time,2002,ACAD,October,"abolition of public space. Describing a 1973 Portman proposal for a hotel to be located in Times Square, one commentator wrote that the visitor "" is contained in a","abolition of public space. Describing a 1973 Portman proposal for a hotel to be located in Times Square, one commentator wrote that the visitor "" is contained in a"
22,locate,time,1995,MAG,ArtAmerica,"distinguish different versions, and in recognition of the importance to him of particular experiences located in time, many of the titles give seasons and times of day. But","distinguish different versions, and in recognition of the importance to him of particular experiences located in time, many of the titles give seasons and times of day. But"
23,locate,time,1995,ACAD,IBMR&D,"in effective areal density. # We can also analyze how accurately the peaks are located in time or space to determine the timing error ("" jitter "").","in effective areal density. # We can also analyze how accurately the peaks are located in time or space to determine the timing error ("" jitter "")."
24,locate,time,1993,ACAD,AcademicQs,"ambiguous or equivocal meanings; authors are not disembodied literary souls but are human beings located in time, class, and society; scientific certainty is a rarity, paradigms","ambiguous or equivocal meanings; authors are not disembodied literary souls but are human beings located in time, class, and society; scientific certainty is a rarity, paradigms"
25,locate,time,1993,ACAD,AmerEthnicHis,Anthropologists have characteristically talked about cultures as more or less bounded units which could be located in time and space and sometimes ranked with respect to one another. These older,Anthropologists have characteristically talked about cultures as more or less bounded units which could be located in time and space and sometimes ranked with respect to one another. These older
