source,target,index,year,genre,source,,,,text,,,,,,,,,,,,,,,,,target,count
burn,fire,1,2018,MOV,Alterscape,,,,". Illusions fed, lo and behold. My mind is free forever. I burn with fire and ice and then I melt. My thoughts in dire reflection.",,,,,,,,,,,,,,,,,,
burn,fire,2,2015,MAG,NewStatesman,,,,"village was destroyed by the Janjaweed, an Arab-supremacist militia. "" They were all burned with fire, "" he says of his fellow villagers, without flinching. His",,,,,,,,,,,,,,,,,,
burn,fire,3,2014,MOV,...an Princess: A Royal Family Tale,,,,"She never sleeps Only roams in darkness? One look from her And you'll burn with fire? Bring me proof of your success, and all that the Swan",,,,,,,,,,,,,,,,,,
burn,fire,4,2014,MOV,...an Princess: A Royal Family Tale,,,,She never sleeps Only roams in darkness? One look from her And you'll burn with fire? She'll choke will her tails and head for the cakes?,,,,,,,,,,,,,,,,,,
burn,fire,5,2012,WEB,bible.cc,,,,"all her boasted knowledge and wisdom. And into perdition, or the lake which burns with fire and brimstone, which is the second death, she goes herself,",,,,,,,,,,,,,,,,,,
burn,fire,6,2012,WEB,accesstoinsight.org,,,,"a Buddha, to determine exactly the number of times our bodies have thus been burned with fire as we have passed from birth to birth in the round of existences",,,,,,,,,,,,,,,,,,
burn,fire,7,2012,WEB,truthnet.org,,,,"into blood # 8Then the second angel sounded: And something like a great mountain burning with fire was thrown into the sea, and a third of the sea became",,,,,,,,,,,,,,,,,,
burn,fire,8,2012,WEB,2012apocalypse.net,,,,"8:8) And the second angel sounded, and as it were a great mountain burning with fire was cast into the sea: and the third part of the sea",,,,,,,,,,,,,,,,,,
burn,fire,9,2012,WEB,bible.cc,,,,"a tempest of destruction. The second angel sounded, and a great mountain, burning with fire, was cast into the sea; and the third part of the",,,,,,,,,,,,,,,,,,
burn,fire,10,2012,WEB,bible.cc,,,,"of souls to hell; these shall be taken and cast into the lake which burns with fire and brimstone. The Jews (g) have a saying, that",,,,,,,,,,,,,,,,,,
burn,fire,11,2012,WEB,spiritlessons.com,,,,"arts, and idolaters, and all liars- their lot is in the lake that burns with fire and sulfur. This is the second death. "" # Next,",,,,,,,,,,,,,,,,,,
burn,fire,13,2012,WEB,bible.cc (1),,,,"You have not come to a mountain that can be touched and that is burning with fire; to darkness, gloom and storm; Hebrews 12:19 to a trumpet",,,,,,,,,,,,,,,,,,
burn,fire,14,2012,WEB,lookup.org,,,,"sorcerers and idolaters and all liars, their part will be in the lake that burns with fire and brimstone, which is the second death. "" # From these",,,,,,,,,,,,,,,,,,
burn,fire,15,2012,WEB,bible.cc,,,,"with him, they are with devils and damned spirits, in the lake which burns with fire and brimstone: and it is also manifest that souls do not sleep",,,,,,,,,,,,,,,,,,
burn,fire,16,2012,WEB,bible.cc,,,,"midst of a bush: and he looked, and, behold, the bush burned with fire, and the bush was not consumed. # American King James Version",,,,,,,,,,,,,,,,,,0
burn,fire,19,2012,WEB,bible.cc (2),,,,"midst of a thorn-bush: and he looked, and behold, the thorn-bush burned with fire, and the thorn-bush was not being consumed. # English Revised Version",,,,,,,,,,,,,,,,,,0
burn,fire,20,2012,WEB,bible.cc,,,,"midst of a bush: and he looked, and, behold, the bush burned with fire, and the bush was not consumed. # Webster's Bible Translation",,,,,,,,,,,,,,,,,,
burn,fire,21,2012,WEB,bible.cc,,,,"the midst of a bush: and he looked, and behold, the bush burned with fire, and the bush was not consumed. # World English Bible The",,,,,,,,,,,,,,,,,,
