source,target,index,year,genre,source,,,,text,,,,,,,,,,,,,,,,,target,count
burn,anger,19,1991,ACAD,Symposium,,,,"a meaning to this manifestation. I turned to the Polish violinist, who was burning with anger, and I said to him, laughing: # "" What happiness",,,,,,,,,,,,,,,,,,
burn,desire,13,1997,ACAD,HispanicRev,,,,"male) lover rather than the (female) beloved. It is she who burns with desire for her lover, and it is her love that goes unrequited.",,,,,,,,,,,,,,,,,,
burn,desire,14,1996,ACAD,AmerIndianQ,,,,by Pueblos for whom making such knowledge public was a sacrilege or by white folks burning with desire to know sacred secrets. The result was that only we scholars with,,,,,,,,,,,,,,,,,,
burn,desire,16,1995,ACAD,Symposium,,,,"at the same time requires his sperm: a "" famished stomach, a belly burning with desire, a hollow and lazy thing that draws on masculine strength, devouring",,,,,,,,,,,,,,,,,,
burn,passion,3,2012,ACAD,JournalAmerican,,,,"? - and did the dust Of these fair solitudes once stir with life And burn with passion? Let the mighty mounds That overlook the rivers, or that rise",,,,,,,,,,,,,,,,,,
burn,passion,13,1992,ACAD,Symposium,,,,"opportunity to chat "" woman to woman. "" When Lucrece confesses that she is burning with passion, Dona Anna expresses in an aside her shock at a lady using",,,,,,,,,,,,,,,,,,
burn,love,1,2019,ACAD,Scandinavian Studies,,,,"heart of the knight, causing such severe distress that his entire mind and heart burn in love's fire through the affliction of his heart. Here, as in",,,,,,,,,,,,,,,,,,
burn,love,3,1997,ACAD,ArabStudies,,,,Eye of the Sun (Tr. Desmond Stewart) and I am Born and Burnt in Love; Lament for the June Sun; Love under the Rain (Tr,,,,,,,,,,,,,,,,,,
burn,love,4,1997,ACAD,ArabStudies,,,,"80-82. rpt. in AK: 109-111. # --. "" I am Born and Burnt in Love. "" Tr. G. Masri. UR (Autumn 1979):",,,,,,,,,,,,,,,,,,
burn,love,5,1997,ACAD,ArabStudies,,,,(Tr. Desmond Stewart) Love under the Rain; I am Born and Burnt in Love (Tr. George Masri); Lament for the June Sun.,,,,,,,,,,,,,,,,,,
burn,zeal,1,2018,ACAD,Church History,,,,who possesses an incredible gift of “ boundless Divine Monition and Prophecy ” and who burns with zeal to share it with the whole world.69 He then proceeds to impart some,,,,,,,,,,,,,,,,,,
burn,lust,2,1990,ACAD,ArabStudies,,,,"Discipline makes them strangers to women: for want of conversation with them, they burn in lust one towards another. # This passion is not only among the young",,,,,,,,,,,,,,,,,,
burn,nervousness,1,2009,ACAD,Writer,,,,"When you' re feeling anxious, getting up out of your chair can literally burn off nervousness. Writers have busy brains, and it' s easy to over",,,,,,,,,,,,,,,,,,
burn,courage,1,2018,ACAD,...Asian Journal of Popular Culture,,,,"who falls from the sky and they search for Laputa, beginning a journey that burns with courage and love... Go Pazu! Protect Sheeta...' (Studio Ghibli",,,,,,,,,,,,,,,,,,
burn,shame,10,2012,BLOG,...planet.wordpress.com,,,,"remain silent, when I and so many of my sisters were disappointed -- or burned with shame -- that we could no longer participate in such a silly little game",,,,,,,,,,,,,,,,,,0
