lemma_1,lemma_2,year,genre,source,data
difficult,catch,2019,MAG,Bleacher Report,"As Brian Baldinger of NFL.com pointed out, it was that Williams made every difficult catch look easy. # Brian Baldinger BaldyNFL # . MiamiDolphins josh3rosen to Thresort was a"
difficult,catch,2019,NEWS,Baltimore Sun,", with Trey Mancini going back to the warning track in right field for difficult catches to end the first and third innings to fittingly frame left fielder Dwight Smith Jr"
difficult,catch,2018,NEWS,Chicago Sun-Times,"a receiver. Big hands, great footwork and a knack for making the difficult catch. # He says: "" I'm very versatile. I can play inside"
difficult,catch,2017,NEWS,Los Angeles Times,"# With Tavon Austin sidelined while recovering from wrist surgery, Thomas made several difficult catches and avoided the drops that plagued him as a rookie. # "" It's"
difficult,catch,2012,BLOG,nflgridirongab.com,"his potential offensively (his hands are not reliable -- he'll make a difficult catch and drop an easy one), but he's developed into a very good"
difficult,catch,2006,TV,Grey's Anatomy,"She had a lot to say. Yes, Sir. It was a difficult catch. Nicely handled. Good work. Welcome back, Dr. Stevens. I"
difficult,catch,2004,MAG,SkyTelescope,elongated spindle similar to NGC 4388 but considerably dimmer. It is a very difficult catch for the little refractor. The larger reflector shows a nearly uniform glow with barely
difficult,catch,1998,MAG,SportingNews,"missed the earlier game with an injury, providing stability and Rod Smith making difficult catches, the Broncos' receivers were much steadier this time. Stewart had a career"
difficult,catch,1996,NEWS,Houston,"urinary tract disorder. # Wong spent a grand on him - after a difficult catch -and kept him. # "" "" I chased him into a neighboring complex."
temporal,region,2019,FIC,Analog,"metallic spider's web. "" This model excites the parietal, occipital, and temporal regions to activate deeper neurons. "" She looked at Gwen. "" To answer"
temporal,region,2016,MAG,Nerdist,"to stuttering, one being relative deactivation in the left hemisphere auditory areas and frontal temporal region during speech. When we sing, though, we use the right side"
temporal,region,2014,ACAD,CanadianJournal,"25. Nakajima H, Imanishi N, Minabe T. The arterial anatomy of the temporal region and the vascular basis of various temporal flaps. Br J Plast Surg 1995"
temporal,region,2012,ACAD,JSpeechLanguage,". # Corsi, P. M. (1972). Human memory and the medial temporal region of the brain. Dissertation Abstracts International: Section B. Sciences and Engineering,"
temporal,region,2012,WEB,plosbiology.org,"follow a ventral "" what "" pathway, with an antero-lateral gradient along the superior temporal region 5, 9, 10, 11 where stimulus selectivity increases from pure tones"
temporal,region,2012,WEB,plosone.org,"to each other and included inferior left frontal cortex, inferior parietal, and posterior temporal regions, whereas the remaining seven participants had few voxels in these anterior locations among"
temporal,region,2012,WEB,...psyc.jamanetwork.com,"a number of cross-sectional studies have found that cortical thickness, particularly in frontal and temporal regions, is thinner in patients with childhood-onset, 4 first-episode, 5 and chronic"
