lemma_1,lemma_2,year,genre,source,data
back,time,2018,MAG,Phys.Org,the past. Credit: Caitlyn Witkowski # Earth scientists are able to travel far back in time to reconstruct the geological past and paleoclimate to make better predictions about future
back,time,2018,MAG,News-Medical.net,former colleagues who wanted to create virtual reality films that allow patients to go' back in time'. # Preterm birth is a dangerous condition that often goes undiagnosed
back,time,2018,MAG,News-Medical.net (4),colleagues who wanted to create virtual reality films that allow patients to go' back in time'.  Other Useful Links # News-Medical.Net provides this medical information service
back,time,2017,NEWS,Chicago Sun-Times (3),"the very least, his teammates respect his approach. # EXTRA POINTS # Back in time # Before the Bears coveted quarterback Mitch Trubisky, it was Carson Wentz"
back,time,2017,TV,Hap and Leonard,"I lay eyes on him. Why do I feel like I'm goin' back in time? That's because things change, Hap. People don't."
back,time,2016,MAG,Gizmodo,"at Boris Karloff) is as close as Sam ever gets to really traveling far back in time, since he can't actually leap beyond the years he's been"
back,time,2015,SPOK,CBS: News Sunday Morning,", hymns and the stories behind them. Feel free to hum along. CHARLES-OSGOOD# Back in time is the story of one man's devotion to a symbol of faith"
back,time,2015,MAG,Astronomy,"Telescope Science Institute, was inspired to use the instrument to "" go deep "" back in time. For 10 consecutive days in December 1995, Hubble stared at a"
back,time,2015,NEWS,Austin,". "" Grade: D+. PG-13. 126 min. John Connor sends Kyle Reese back in time to protect Sarah Connor, but when he arrives in 1984, nothing"
back,time,2014,SPOK,CBS: 60 Minutes (1),"get to us from distant objects, the farther away ALMA sees the farther back in time it looks. Soon, they will be able to get close to"
back,time,2014,MAG,Astronomy,"if verified -- is still an indirect observation of primordial gravitational waves. The furthest back in time scientists can see so far is the CMB. "" There' s"
back,time,2014,MAG,Futurist,"# If these observations are corroborated by subsequent experiments, this will be the farthest back in time we've ever managed to explore. We are witnessing events that occurred"
back,time,2014,MAG,PopScience,"crime in (and under) New York City, and the X-Men send Wolverine back in time to prevent a robot uprising. In all three films, mutation unleashes"
back,time,2013,MAG,Astronomy,", and thus astronomers can see only as far away (and thus as far back in time) as the light takes to reach us. Our observable universe is"
back,time,2012,MAG,Astronomy,"but not with the Doppler effect. The more distant a galaxy, the farther back in time we see it. The redshifts of galaxies are proportional to their distance"
back,time,2012,MAG,Astronomy,"m, 350 m, and 500 m -- and each color indicates how far back in time Herschel sees rather than the dusts temperature. A more distant era is"
back,time,2012,WEB,...onthemoon.tumblr.com,"25 years per generation would come out to 5,250 years. That's how far back in time you people have to go. # A child, Chris, is"
back,time,2012,WEB,elvis-collectors.com,"shame it's only two songs, again the sound could be better. # Back in time three days and Elvis is in Jackson, MS 5th September 1976 evening"
back,time,2012,WEB,goodreads.com,the secret but instead Cass learns the secret because Yo-Yoji and Max-Ernest send Lord Pharaoh back in time with time travel chocolate. The falling action is when they go home
back,time,2012,WEB,wattsupwiththat.com,"they are in the future, just as temperature and paleo data grow more uncertain back in time. We all know that a weather forecast for two weeks ahead is"
back,time,2012,WEB,english.illinois.edu,"unlike Eliot's Waste Land spring lines, which are all memory, a meditating back in time, "" The contagious hospital "" is remarkably devoid of memory. It"
back,time,2012,WEB,imdb.com,", upon viewing a cut of the film, Huey got the inspiration for "" Back in Time "". # Crispin Glover based his performance as 47 year old George"
back,time,2012,WEB,genomebiology.com,"axis of variation. # Theoretically, there are no limitations as to how far back in time one can get good estimates of admixture time with WT coefficients. The"
back,time,2012,WEB,...othefuture.wikia.com,"Marty arrives too late, and sees Doc being shot and himself driving the DeLorean back in time while the terrorists crash into a photo booth. Marty rushes down to"
back,time,2012,WEB,climateaudit.org,from the instrumental record. She then wants to develop a model to project the back in time (hindcast) so she can make claims about whether it is hotter
back,time,2012,WEB,tvtropes.org,"Matters of Faith Sets one up with the Angel Lelial, sending Shinji and Unit-01 back in time to the Big Bang, and reveals that ADAM is actually Shinji and"
back,time,2012,WEB,tvtropes.org,"the lone scientist in the lab to hide in a machine, which sends Hector back in time an hour, causing him to become "" Hector 2 "" while """
back,time,2012,WEB,redlettermedia.com,"them in that burning house? Why go to the trouble of sending old Joe back in time? If you have to use time travel, why not send old"
back,time,2012,WEB,tor.com,"fighting, and the weapons of the time were greatly different. Imagine sending Patton back in time to fight Alexander. Now imagine that instead of Patton, he's"
back,time,2012,WEB,...unity.secondlife.com,you need the rollback. # Which region it is. # Precisely how far back in time you need to go to repair the situation. # Tip: It
back,time,2012,WEB,eeoc.gov,"), arrests, charges, or other criminal incidents were reported; how far back in time the reports reached (e.g., the last five, ten, or"
back,time,2012,WEB,tvtropes.org," TO THE LAWS OF THE OONIVERSE, CHOO'RE NOW DEFF OF GOIN' BACK IN TIME' N' MURDERIN' CHORESELF. "" But what exactly the relevant"
