lemma_1,lemma_2,year,genre,source,data
difficulty,catch,2015,ACAD,ReadingImprovement,"Some children enter kindergarten with few early literacy skills, which can result in significant difficulty catching up to typically developing peers without some type of intensive intervention (Good,"
difficulty,catch,2012,NEWS,WashPost,". Mets starter R.A. Dickey seemed like the obvious choice to start the game but difficulty catching his knuckleball may have cost him. NATIONAL LEAGUE RESERVES Pitchers Aroldis Chapman,"
difficulty,catch,2012,WEB,...iftun.deviantart.com,"s ability to walk in a straight line was somewhat impaired, Spike had little difficulty catching up to the meandering unicorn. He slowed his pace once he caught up"
difficulty,catch,2011,MAG,PCWorld,at least 80 percent of attacks. This indicates that the program may have some difficulty catching brand-new malware for which a signature file doesn't yet exist. On the
difficulty,catch,2005,SPOK,NPR_Science,"subtle... FLATOW: Right. Dr-KARAS:... and can really just be some difficulty catching her breath, feeling a bit sick to her stomach, a bit nauseous"
difficulty,catch,2003,TV,Survivor,that we don't want the fish. It's that we're having great difficulty catching them. This is the most I've ever eat beans in my whole
difficulty,catch,2002,NEWS,NYTimes,body you want. We were most impressed with his hands. He had little difficulty catching the football and his hands were surprisingly soft. He had good quickness and
difficulty,catch,1999,MAG,MotherJones,"couldn't believe what was happening. "" # The lowland children had much greater difficulty catching a ball or dropping a raisin into a bottle cap -- both tests of"
difficulty,catch,1998,ACAD,PhysicalEduc,"Basketball Association Dissolves Before it Begins # Regardless, women's professional basketball still had difficulty catching on in America. In 1991, 10 years after the demise of the"
difficulty,catch,1997,MOV,Seven Years in Tibet,Shanghai so even if you make it to the Chinese border... you may have difficulty catching up with them. I don' t care if they're repelled all
difficulty,catch,1995,FIC,BkJuv:Arkadians,"a little glint of wry amusement. At sight of her, Lucian felt some difficulty catching his breath. Despite a sudden giddiness, he straightened up, squared his"
crisis,catch,2017,NEWS,Virginian-Pilot,a developmental disorder as well as other mental health diagnoses. # featured  Mental crises catch man and family in revolving door of medication and psych care # Sherita Martin
crisis,catch,2012,ACAD,MiddleEastQ,"Echo, Oct. 26, 2009. # 5 Svante E. Cornell, "" Iranian Crisis Catches the Turkish Government off Guard, "" Turkey Analyst, June 19, 2009"
crisis,catch,2012,ACAD,MiddleEastQ,""" Turkey Analyst, Feb. 7, 2011. # 51 Cornell, "" Iranian Crisis Catches the Turkish Government off Guard. "" # 52 World Bulletin (Istanbul)"
crisis,catch,2012,WEB,dealbook.nytimes.com,"short-term profits, that's what you get, and that's how the financial crisis caught fire. "" # Not all institutional investors are unhappy. Bill Ackman,"
crisis,catch,2012,WEB,ryancaseybooks.com,through your list of ideas. Does the one about the vicar in a mid-life crisis catch your eye? Then note it down on another piece of paper. Throw
crisis,catch,2005,SPOK,CNN_Next,"Brookfield Zoo staff realized they got an unforgettable lesson in public relations, that a crisis caught on tape could teach the world more about these gentle giants than words alone"
crisis,catch,2002,SPOK,CBS_Rather,"An agonizing lesson, imagines from inside, scene for the first time, a crisis caught on tape that in some ways brought comfort. ! KRISTEN-KOSTIW-VI:"
crisis,catch,1990,SPOK,ABC_Business,"might be fairly critical VANOCUR voice- over But, despite its renowned reputation, the crisis caught ESA off guard. Its founder went off to a secluded honeymoon and was"
crisis,overwhelm,2019,NEWS,The Boston Globe,"SSTAR has been looking to expand for more than three years, as the opioid crisis overwhelmed its two existing facilities, both in Fall River. About one in five"
crisis,overwhelm,2012,BLOG,bullfax.com,"rescue from the European Union and the International Monetary Fund in November as a banking crisis overwhelmed the government. The European Commission in Brussels said the downgrade "" contrasts very"
crisis,overwhelm,2008,ACAD,IntlAffairs,"impacts of climate change, and the action agenda is to find solutions before this crisis overwhelms us and causes irreversible damage. Our best guess is that these impacts may"
crisis,overwhelm,2006,MAG,Fortune,"Japan's economic fate depends on Koizumi's successors getting back in reform mode before crisis overwhelms them. In Japan Sinks, the do-nothing cabinet ministers board a plane and"
crisis,overwhelm,1993,ACAD,ArabStudies,"unknown. Certainly, however, the flood of displaced refugees in Jordan during the Crisis overwhelmed economic, political and social institutions. # The Palestinian and Jordanian work force"
difficulty,impede,2012,WEB,www1.umn.edu,) as well as the activities undertaken under this programme. # C. Factors and difficulties impeding further progress in the implementation of the Convention # 9. The Committee notes
time,back,2017,NEWS,Colorado Springs Gazette,the conditions needed to continue enjoying sanctions relief under the deal and has both times backed away from a showdown. # But U.S. President Donald Trump more recently has said
time,back,2013,NEWS,NYTimes,"a middle-of-the-road deal maker, sometimes siding with the teachers' union and other times backing Mr. Deasy. He has often been the swing vote on issues that have divided"
time,back,2012,WEB,mormonsforobama.org,"not agree with everything either candidate says, but I have a real tough time backing President Obama when he is in favor of gay marriage and abortion. God is"
time,back,2012,WEB,michellemalkin.com,owl. Who believes that another top-down government exercise in species engineering -- this time backed with bullets -- will do the trick? When the government picks winners and losers
time,back,2012,BLOG,...shere93.blogspot.com,"the current bedroom bce. # Fsc used and come dishes, coffeemaker. Time backs him meanwhile to, but suguru has enough second managed all heat to substitute."
time,back,2011,SPOK,ABC_ThisWeek,"still talking, I'm still talking, "" and Rick Perry the first time backed off. This time, Rick Perry kept talking. And, I mean,"
time,back,2008,NEWS,Denver,"and hissing fumaroles (steam vents). We spent quite a bit of time backing away from bison, who like the thermal pools and geyser areas not because they"
time,back,2008,ACAD,MechanicalEng,"a unique design to meet customer needs. Engineer Mark Resler had a hard time backing down from such a challenge, but this one, he said, was a"
time,back,2003,NEWS,WashPost,found that Harlow in some cases failed to root out improper accounting and other times backed down when Sunbeam's management disagreed with his findings. Private securities attorneys said that
time,back,1998,NEWS,NYTimes,". Mr. Truscott certainly remembers it that way, and news reports from the time back him up. # Although the bookstore carried the novel, active duty officers were"
time,back,1995,FIC,Bk:LadderYears,""" she said. She dabbed at his muzzle ineptly, at the same time backing off a bit. The front door opened, and Adrian said, "" Finally"
time,back,1993,FIC,Mov:BeingHuman,HECTOR # They won't let me leave here... # The Policeman this time backs him up. # # POLICEMAN # That's true. # The Son backs
time,back,1992,NEWS,USAToday,"em all, "" he told his critics again Monday, at the same time backing down from his threat to stay on. He said he just wanted to expose"
time,back,1991,MAG,TIME,"his revolution across the gulf. That was one reason the U.S. at the time backed Khomeini's enemy, Saddam Hussein. Last fall the CIA warned the White House"
time,back,1991,NEWS,Atlanta," # He will be back in the Supreme Court on Wednesday, this time backing up another attorney who will argue that Rhode Island junior high school students have the"
time,back,1990,TV,Star Trek: The Next ...,"claim on Jono is based on Talarian custom. He'd have a hard time backing away from it now. Captain, there is a subspace communication - from Starfleet"
existence,dwell,2012,BLOG,...rystals.blogspot.com,entire solar system. It is a fact in nature that all that is in existence dwells within a sphere. The sphere requires two types of force -- rotary and
time,place,2019,SPOK,CBS_FaceNation,"you hit him in the pocketbook. His oligarch friends are having a hard time placing their money around the world. We put tremendous sanctions on the Russian economy,"
time,place,2019,FIC,Analog,"problems and devise instant strategies for response. He runs several hypotheticals, each time placing himself at a disadvantage. An enemy leaps in from behind; he spins,"
time,place,2017,MAG,RollingStone.com,"over Michigan months earlier, Warren Moon went undrafted because teams had a hard time placing him as anything other than a pocket passer -- and they weren't ready to"
time,place,2016,MAG,MarketWatch,players in the league in 1996 or 1998 but won because voters of the time placed far too much emphasis on RBIs. It's not too far a stretch to
time,place,2015,MAG,Prevention,"finished eight half-marathons and four marathons and even completed two half-Ironman triathlons, last time placing third in my division. In my sights are the Boston Marathon and the Ironman"
time,place,2012,TV,The Dust Bowl,"YOU ARE, YOU HAVE THE FEEL-AT-HOME-NESS. Narrator: MEANWHILE, THE HARD TIMES PLACED A STRAIN ON THE BECKS' MARRIAGE. Beck: MY MOTHER WOULD HAVE BEEN"
time,place,2012,WEB,houseofsparky.com,"in this piece over on SB Nation Arizona, I really have a hard time placing the level of blame on Kelly that most people do. Facing four straight teams"
time,place,2012,WEB,edge.org,"wine coolers or the pill. In the days before Facebook and Twitter, time placed severe constraints on friendship. Even the traditional Christmas letter, now a fossil in"
time,place,2012,WEB,huffingtonpost.com (1),to discourage this kind of reporting from taking place and at the same time place considerable financial burdens on filmmakers like Berlinger to defend their constitutional rights. # Although
time,place,2012,WEB,...shvirtuallibrary.org,"while searching for the source of the Nile River. His estimates at the time placed the Beta Israel population at 100,000, already greatly decreased from an estimate from centuries"
time,place,2012,WEB,...ooks.adelaide.edu.au,"it is said, those of the citizens who are in authority at the time place the flesh by night, managing the matter carefully, and by day any man"
time,place,2012,WEB,justice.gov,attacking with impunity throughout the country. (18) # Estimates near the time placed the number of Yugoslav military casualties at between five and ten thousand. (19
time,place,2012,BLOG,libertyballers.com,"commodity, by putting Bynum in positions to succeed, and at the same time placing everyone else in positions where the team's offensive output can be maximized around Bynum"
time,place,2010,ACAD,TeachLibrar,"concerns related to the English Language Arts Common Core, while at the same time placing much-needed emphasis on the expertise that teacher-librarians bring to the effort: # "" AASL"
time,place,2009,FIC,Bk:OneTaste,", she flung the pillow to the floor and quickly grabbed another, this time placing it on her face to muffle her sobs. She was certain that she loved"
time,place,2009,NEWS,Atlanta,a unique mission. It is a shame that political ideology and tough economic times place us in opposition to some of the private schools that have begun accepting these taxpayer
time,place,2008,FIC,Bk:Hand-me-downHeartache,"this memory in my heart forever, in what I called my "" good times place. "" // Mom was the first to hug me. "" Congratulations, baby"
time,place,2007,FIC,Analog,"But both are whole. A relief! Albrecht fills them and, this time places the one in Nicole's arms as gently as a nurse returning a mother's"
time,place,2005,SPOK,CNN_Daybreak,? 166.5 miles per hour over the 2.5 mile triangular track. Wallace's time places him 13th among the 43 drivers. WALLACE: We're done for today now
time,place,2003,ACAD,NaturalHist,"or two seeds. He then repeats the process three more times, each time placing the new column of piles to the left of the preceding column. In the"
time,place,2002,MAG,Shape,"hip height B. Lower leg to floor and. repeat from beginning, this time placing weight back on floor (alternately pick up and replace weight with each rep)"
time,place,2002,MAG,Forbes,right. One other drawback: The average Michaels sales staffer still spends more time placing orders than waiting on customers. # Help will arrive next August with the start
time,place,2001,ACAD,Humanist,"era, Washington has consciously supported Osama bin Laden, while at the same time placing him on the FBI s' most wanted list as the world s foremost terrorist"
time,place,2001,TV,Friends,"you sweet? I got ta tell you, I'm having the hardest time placing you. Hang on! I think I remember you. Did we fool around"
time,place,2000,FIC,Bk:LanguageThreads,"been kicked out by his wife. Afterward, the sisterhood had a hard time placing her. Word had spread, and no Chinese Tai tai would take her."
time,place,2000,NEWS,NYTimes,"them for being weak, but also from coaches and owners, who at times place the team's immediate needs above the athlete's long-term health, many players said"
time,place,2000,NEWS,Denver,"their foster-parenting responsibilities. # ' You're going to have a real hard time placing all these kids,' if the state further limits the number of children in"
time,place,2000,TV,Ed,"s ordered. Of course you do. And did you, at any time place a telephone call to Miss Hudson? Yes, I did. I told her"
time,place,1998,FIC,SatEvenPost,"the sinister. And when Sidney McMurdo spoke these words, at the same time placing a heavy hand on the other's shoulder, I realized how matters stood."
time,place,1998,ACAD,CATOJournal,"the same ethnic group by placing them in different countries while at the same time placing other, formerly separate groups in the same country. Partition was implemented without due"
time,place,1998,ACAD,SchoolPsych,"grain. However, operating outside of their comfort zone for extended periods of time places the individuals at risk for stress (Strelau, 1983). Likewise, there"
time,place,1996,MAG,WashMonth,"where the typewriter jobs seemed headed). Alessandra Stanley of The New York Times placed it "" somewhere between Jimmy Stewart taking on the capital and the final moments of"
time,place,1996,NEWS,Atlanta,"by Robert Shaw, the country's premier choral conductor. The demands of time placed on the members are great; during performance weeks they sing six consecutive evenings for"
time,place,1995,MAG,NatlParks,"two ways, stripping jazz of the protections of sentiment while at the same time placing it on the pedestal of heritage. # "" This is why the park system"
time,place,1994,FIC,BkJuv:FinishingBecca,"and went on with her recitation. "" Peggy's father was at one time placed p31 on parole by the new Rebel authorities. Peggy's older sister Elizabeth has"
time,place,1994,NEWS,NYTimes,"unseat Harry Byrd, a Republican Senator from Virginia. Disclosure documents at the time placed the admiral's net worth at $65,000, but one of his former handlers said"
time,place,1993,MAG,NatlParks,"Shenandoah Valley in Civil War history. The average American may have a hard time placing Front Royal and First Winchester, Cross Keys and Port Republic, but mention Jackson"
time,place,1993,ACAD,WorldAffairs,"and implementation. # In April 1993, the United States for the first time placed some entire military units under U.N. command in Somalia. This decision was actually"
time,place,1993,ACAD,ArmedForces,"offensive on the West Bank; in 1975, they were for the first time placed on Israel's volatile Lebanese border. Three years later, the minorities unit fought"
time,place,1992,NEWS,USAToday,"corrected time. Of 90 boats racing in five divisions, Dancer's corrected time placed it 27th overall. # Surprisingly, Constellation, a Class C boat owned by"
time,place,1991,NEWS,WashPost,", through exhibitions, publications and educational programs. We are at the same time placing greater emphasis on aspects of cultural equity in our personnel policies and audience development."
time,place,1991,ACAD,ArabStudies,allowing for the undeniable reality of Palestinian oppression and struggle while at the same time placing that reality within a context that relied on fundamental assumptions of the dominant system of
time,locate,2019,FIC,Ploughshares,"bird cooed to be let free. Momo heard it and again took her time locating its source. Ebo lifted the lid to the carrier, and the bird,"
time,locate,2019,FIC,The Maine Review,", "" If it came on around here, we'd have a hard time locating it. Only one tower. Can't triangulate. "" # "" Hope you all"
time,locate,2014,MOV,A Belle for Christmas,", all right. Excuse me, mister, I'm having a hard time locating my father. Can I trouble you for an elevator ride up to your top"
time,locate,2012,FIC,WorldLitToday,"new bus and subway systems spreading out like cobwebs, he had a hard time locating the vehicle to carry him across. Finally, he boarded a bus going there"
time,locate,2012,WEB,justsomelyrics.com,Falling For You I didn't realize it- Now I Need You all the time Located so deep in my heart Now I see it is you- # Maybe we are
time,locate,2012,BLOG,autoblog.com,so buried in the vee that cutaway artist extraordinaire David Kimble had a hard time locating the hardware to render it in his artwork!) # While previous speculation had
time,locate,2012,BLOG,bookwormroom.com,of thirty ought to know full well that the American people have a tough time locating their own asses with both hands. You can not depend on them to be
time,locate,2012,BLOG,...merantz.blogspot.com,"and when I finally find my room, I have a devil of a time locating the keyhole. # It is only later I am informed that the illuminating lights"
time,locate,2012,BLOG,trekmovie.com,"# Does your blog have a contact page? I'm having a tough time locating it but, I'd like to shoot I've got some suggestions for your"
time,locate,2011,NEWS,Denver,"they turned off their transponders. That's why we had such a difficult time locating those guys on 9/11. "" # The U.S. Northern Command took on the homeland defense"
time,locate,2008,SPOK,Fox_Susteren,"human decomposition, so that even with skeletal remains, the dog can many times locate where the body decomposed. VAN-SUSTEREN: All right. What about some variables?"
time,locate,2005,FIC,IowaRev,"who had moved over and over to new places, new people, each time locating yourself all over again in the mesh of life, from which someday you will"
time,locate,2005,MAG,SkyTelescope,"quasar, just 10 arcminutes to its north-northwest, we all had an easy time locating the quasar's field. But spotting the quasar itself was a challenge - in"
