name,hasBoundRole2,type,label,hasBoundRole1
Binding_98,['Role_Frame_Harm_to_living_entity_agent'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Blood-sucking creature.Animate entity.animate_entity=Harm to living entity.agent'],['Role_Frame_Blood_sucking_creature_Animate_entity_animate_entity']
Binding_137,['Role_Frame_Causation_effect'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Caused change of state.state_change=Causation.effect'],['Role_Frame_Caused_change_of_state_state_change']
Binding_84,['Role_Frame_Bounded_entity_bounded_entity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Being in a bounded region.landmark=Bounded entity.bounded_entity'],['Role_Frame_Being_in_a_bounded_region_landmark']
Binding_592,['Role_Frame_Governing_action_governed'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Legislative action.legislative_governed=Governing action.governed'],['Role_Frame_Legislative_action_legislative_governed']
Binding_701,['Role_Frame_Experience_pain_experiencer'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Physical affliction.patient=Experience pain.experiencer'],['Role_Frame_Physical_affliction_patient']
Binding_197,['Role_Frame_Crime_criminal'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Corruption.corrupt_actor=Crime.criminal'],['Role_Frame_Corruption_corrupt_actor']
Binding_392,['Role_Frame_Possession_possessing'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Gain possession.getting_x-schema.ongoing=Possession.possessing.start'],['Role_Frame_Gain_possession_getting_x_schema_ongoing']
Binding_493,['Role_Frame_Experiencing_a_state_experienced_state_value'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Health.degree_of_health=Experiencing a state.experienced_state_value'],['Role_Frame_Health_degree_of_health']
Binding_928,['Role_Frame_Gain_possession_possession'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Transfer scenario.transferred_object=Gain_possession.possession'],['Role_Frame_Transfer_scenario_transferred_object']
Binding_936,['Role_Frame_Causation_affected'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Treating a physical affliction.treated_affliction=Causation.affected'],['Role_Frame_Treating_a_physical_affliction_treated_affliction']
Binding_792,['Role_Frame_Deity_deity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Religious practice.worshipped thing=Deity.deity'],['Role_Frame_Religious_practice_worshipped_thing']
Binding_266,['Role_Frame_Verticality_verticality_scale'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Downward motion.vertical_path=Verticality.verticality_scale'],['Role_Frame_Downward_motion_vertical_path']
Binding_582,['Role_Frame_Government_decision_making_entity_under_consideration_ongoing_status'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Legislation enactment.bill_ongoing.status=Government decision making.entity_under_consideration_ongoing_status'],['Role_Frame_Legislation_enactment_bill_ongoing_status']
Binding_67,['Role_Frame_Animate_entity_animate_entity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Awakening.sleeping_entity=Animate entity.animate_entity'],['Role_Frame_Awakening_sleeping_entity']
Binding_23,['Role_Frame_Motion_along_a_path_mover'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Affected motion.mover=Motion along a path.mover'],['Role_Frame_Affected_motion_mover']
Binding_539,['Role_Frame_Governing_action_constraints_on_governing_actions'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Judicial action.constraints_on_judicial_actions=Governing action.constraints_on_governing_actions'],['Role_Frame_Judicial_action_constraints_on_judicial_actions']
Binding_623,['Role_Frame_Force_application_actor'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Motion-affecting actors.actor=Force-application.actor'],['Role_Frame_Motion_affecting_actors_actor']
Binding_503,['Role_Frame_Poverty_impoverished_entity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Impoverished.experiencer=Poverty.impoverished_entity'],['Role_Frame_Impoverished_experiencer']
Binding_988,['Role_Frame_Seeing_visual_ability'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Visual obstruction.vision=Seeing.visual_ability'],['Role_Frame_Visual_obstruction_vision']
Binding_978,['Role_Frame_Visual_obstruction_focal_object'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Visual evaluation.evaluee=Visual obstruction.focal_object'],['Role_Frame_Visual_evaluation_evaluee']
Binding_846,['Role_Frame_Purposeful_action_effort'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Self propelled motion.effort=Purposeful action.effort'],['Role_Frame_Self_propelled_motion_effort']
Binding_871,['Role_Frame_Trajector_landmark_landmark'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Size.size_scale=Trajector landmark.landmark'],['Role_Frame_Size_size_scale']
Binding_567,['Role_Frame_Evaluation_judgement'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Legality.legality_of_action=Evaluation.judgement'],['Role_Frame_Legality_legality_of_action']
Binding_728,['Role_Frame_Competition_competition_event'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Political competition.event=Competition.competition_event'],['Role_Frame_Political_competition_event']
Binding_506,['Role_Frame_Experiencing_a_negative_state_domain'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Impoverished.economic_state=Experiencing a negative state.domain'],['Role_Frame_Impoverished_economic_state']
Binding_114,['Role_Frame_Part_whole_whole'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Bounded entity.bounded_entity=Part whole.whole'],['Role_Frame_Bounded_entity_bounded_entity']
Binding_822,['Role_Frame_State_profiled_state_value'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Scale.position on scale=State.profiled_state_value'],['Role_Frame_Scale_position_on_scale']
Binding_283,['Role_Frame_Competition_competition_prize'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Economic competition.economic_prize=Competition.competition_prize'],['Role_Frame_Economic_competition_economic_prize']
Binding_502,['Role_Frame_Experiencing_a_negative_state_experiencer'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Impoverished.experiencer=Experiencing a negative state.experiencer'],['Role_Frame_Impoverished_experiencer']
Binding_970,['Role_Frame_Affected_motion_motion'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Vehicular motion.motion_x-schema=Affected motion.motion'],['Role_Frame_Vehicular_motion_motion_x_schema']
Binding_813,['Role_Frame_Emotion_emotion'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Sadness.sadness=Emotion.emotion'],['Role_Frame_Sadness_sadness']
Binding_224,['Role_Frame_Life_cycle_end_of_life'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Death.death_state=Life cycle.end_of_life'],['Role_Frame_Death_death_state']
Binding_282,['Role_Frame_Limited_resource_resource'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Economic competition.economic_prize=Limited resource.resource'],['Role_Frame_Economic_competition_economic_prize']
Binding_287,['Role_Frame_Scale_parameter'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Economic status.financial_resources=Scale.parameter'],['Role_Frame_Economic_status_financial_resources']
Binding_832,['Role_Frame_Protecting_means_of_protection'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Self-defense.means of protection=Protecting.means_of_protection'],['Role_Frame_Self_defense_means_of_protection']
Binding_94,['Role_Frame_Ingestion_ingestor'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Biological entity.organism=Ingestion.ingestor'],['Role_Frame_Biological_entity_organism']
Binding_295,['Role_Frame_Scale_maximal_value'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Economic status.maximal_status=Scale.maximal value'],['Role_Frame_Economic_status_maximal_status']
Binding_950,['Role_Frame_Relationship_relation'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Trust relationship.relationship=Relationship.relation'],['Role_Frame_Trust_relationship_relationship']
Binding_296,['Role_Frame_Scale_intermediate_values'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Economic status.intermediate_status=Scale.intermediate_values'],['Role_Frame_Economic_status_intermediate_status']
Binding_843,['Role_Frame_Animate_entity_animate_entity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Self propelled motion.self-mover=Animate entity.animate_entity'],['Role_Frame_Self_propelled_motion_self_mover']
Binding_751,['Role_Frame_Possession_possessor'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Possession change.possessor=Possession.possessor'],['Role_Frame_Possession_change_possessor']
Binding_987,['Role_Frame_Seeing_eyes'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Visual obstruction.eyes=Seeing.eyes'],['Role_Frame_Visual_obstruction_eyes']
Binding_229,['Role_Frame_Destructive_natural_process_destructive_effect'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Decay.decaying_effect=Destructive natural process.destructive_effect'],['Role_Frame_Decay_decaying_effect']
Binding_700,['Role_Frame_Harm_to_living_entity_victim'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Physical affliction.patient=Harm to living entity.victim'],['Role_Frame_Physical_affliction_patient']
Binding_445,['Role_Frame_Governing_action_governed'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Government executive action.citizens=Governing action.governed'],['Role_Frame_Government_executive_action_citizens']
Binding_474,['Role_Frame_Affected_motion_path'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Guided motion.follower_path=Affected motion.path'],['Role_Frame_Guided_motion_follower_path']
Binding_401,['Role_Frame_Government_governing_actions'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Governing action.governing_action_x-schema=Government.governing_actions'],['Role_Frame_Governing_action_governing_action_x_schema']
Binding_578,['Role_Frame_Voting_voter'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Legislation enactment.legislators=Voting.voter'],['Role_Frame_Legislation_enactment_legislators']
Binding_183,['Role_Frame_Trajector_landmark_profiled_region'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Containing.contents_location=Trajector landmark.profiled_region'],['Role_Frame_Containing_contents_location']
Binding_294,['Role_Frame_Scale_minimal_value'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Economic status.minimal_status=Scale.minimal value'],['Role_Frame_Economic_status_minimal_status']
Binding_234,['Role_Frame_Moral_authority_moral_authority_power'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Deity.deity_power=Moral authority.moral_authority_power'],['Role_Frame_Deity_deity_power']
Binding_534,['Role_Frame_Evaluation_behavior'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Judgment.judged_issue=Evaluation.behavior'],['Role_Frame_Judgment_judged_issue']
Binding_788,['Role_Frame_Competition_competition_x_schema'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Recreational competition.activity_x-schema=Competition.competition_x-schema'],['Role_Frame_Recreational_competition_activity_x_schema']
Binding_140,['Role_Frame_Change_of_state_transition'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Caused change of state.transition=Change of state.transition'],['Role_Frame_Caused_change_of_state_transition']
Binding_876,['Role_Frame_Payment_payer'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Social group.member=Payment.payer'],['Role_Frame_Social_group_member']
Binding_570,['Role_Frame_Government_decision_making_decision_maker_action'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Legislation enactment.legislator_enactment_actions=Government decision making.decision_maker_action'],['Role_Frame_Legislation_enactment_legislator_enactment_actions']
Binding_734,['Role_Frame_Government_governor'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Political region.governing_institution=Government.governor'],['Role_Frame_Political_region_governing_institution']
Binding_531,['Role_Frame_Source_path_goal_goal'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Into.goal_interior=Source path goal.goal'],['Role_Frame_Into_goal_interior']
Binding_884,['Role_Frame_Communication_topic'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Speaking.topic=Communication.topic'],['Role_Frame_Speaking_topic']
Binding_426,['Role_Frame_Caused_change_of_state_cause'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Government decision making.decision_maker_actions=Caused change of state.cause'],['Role_Frame_Government_decision_making_decision_maker_actions']
Binding_932,['Role_Frame_Complex_process_process2'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Transfer scenario.transfer_recipient_process=Complex_process.process2'],['Role_Frame_Transfer_scenario_transfer_recipient_process']
Binding_1002,['Role_Frame_Government_decision_making_entity_under_consideration_characteristics'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Voting.proposed_decision_characteristics=Government decision making.entity_under_consideration_characteristics'],['Role_Frame_Voting_proposed_decision_characteristics']
Binding_106,['Role_Frame_Resource_resource_user'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Body weight.body=Resource.resource_user'],['Role_Frame_Body_weight_body']
Binding_497,['Role_Frame_Containment_interior'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Heating fluid.fluid=Containment.interior'],['Role_Frame_Heating_fluid_fluid']
Binding_339,['Role_Frame_Resource_resource'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Financial resource.resource=Resource.resource'],['Role_Frame_Financial_resource_resource']
Binding_88,['Role_Frame_Stability_stable_entity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Being stable.entity=Stability.stable_entity'],['Role_Frame_Being_stable_entity']
