name,label,hasInferentialContent,type,isInferenceOfFrame,hasInferenceType
Inference_56,['The emotion or change in emotion_level...'],['The emotion or change in emotion_level occurs because of a cause.'],"['Inference', 'NamedIndividual', 'Inference']",,
Inference_459,['Analyzing ideas'],['Analyzing ideas'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Idea'],
Inference_182,['The army engages in fighting against...'],['The army engages in fighting against enemy_combatants on the battlefield using weapons in the context of a war_strategy devised by generals seeking to minimize enemy_conquest and achieve victory as quickly as possible.'],"['Inference', 'NamedIndividual', 'Inference']",,
Inference_579,['Difficulties in progressing through...'],['Difficulties in progressing through life'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Life'],
Inference_123,['Being removed from the ground and...'],"[""Being removed from the ground and having its roots torn and separated poses a threat to the plant's survival.""]","['Inference', 'NamedIndividual', 'Inference']",,
Inference_380,['current trajector location is profiled_region...'],['current trajector location is profiled_region defined with respect to landmark'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Being_at_a_location'],
Inference_220,['manner of action'],['manner of action'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Action'],
Inference_666,['slavery is involuntary obligation...'],['slavery is involuntary obligation to work for master'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Servitude'],
Inference_436,['Being not upright or being hor...'],['Being not upright or being horizontal'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Verticality'],
Inference_240,['A fire is dangerous to nearb_o...'],['A fire is dangerous to nearb_objects'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Fire'],
Inference_514,['there are different paths one can...'],['there are different paths one can take to reach a different destination'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Self_propelled_motion_to_a_destination'],
Inference_159,['experience of surprise has sudden...'],['experience of surprise has sudden short onset'],"['Inference', 'NamedIndividual', 'Inference']",,['aspectual']
Inference_112,['Grasping is a precondition for...'],['Grasping is a precondition for possession.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_216,['Caused inability to act'],['Caused inability to act'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Action'],
Inference_274,['willingness to change possessi...'],['willingness to change possession'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Transfer_scenario'],
Inference_452,['Flavorless food'],['Flavorless food'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Food'],
Inference_224,['rate of action'],['rate of action'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Action'],
Inference_280,"['at initial stage, possessor possesses...']","['possessor possesses object', 'at initial stage']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Lose_possession'],
Inference_641,['eliminating social problem restores...'],['eliminating social problem restores social functioning'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Social_problems'],
Inference_315,['Words and linguistic expressio...'],['Words and linguistic expressions'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Communication'],
Inference_189,"[""the quality of the Seer's vision...""]","[""the quality of the Seer's vision affects how well he can see an object""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Seeing'],
Inference_271,['state change would not have occurred...'],['state change would not have occurred wihtout a cause'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Caused_change_of_state'],
Inference_148,['The presence/absence of certain...'],"[""The presence/absence of certain conditions will affect how a given motion event 'unfolds'. These conditions include: necessary resources (mover's energy/inertia); restraints on mover; obstacles on path; nature of terrain; burdens that mover must carry (additional mass that mover must move)""]","['Inference', 'NamedIndividual', 'Inference']",,['x-schema conditions']
Inference_231,['sequence of actions'],['sequence of actions'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Self_propelled_motion'],
Inference_568,['nullSourceInference'],['nullSourceInference'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Verticality'],
Inference_359,['Having intense emotion'],['Having intense emotion'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Emotional_intensity'],
Inference_341,['Being controlled by someone'],['Being controlled by someone'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Control'],
Inference_149,['The actor acts in order to move....'],['The actor acts in order to move.  Action continues until actor reaches goal.'],"['Inference', 'NamedIndividual', 'Inference']",,
Inference_19,['topological structure is such that...'],['topological structure is such that exterior and interior are separated by boundary.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_262,['preventing downward motion'],['preventing downward motion'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Downward_motion'],
Inference_663,['(obligation of) paying taxes negatively...'],['(obligation of) paying taxes negatively affects the taxpayer'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Taxation'],
Inference_136,['A owes B (is in debt to B) if B...'],['A owes B (is in debt to B) if B does something good for A.'],"['NamedIndividual', 'Inference', 'Inference']",,['normative-Western society']
Inference_156,['Sheep are not capable of flourishing...'],['Sheep are not capable of flourishing on their own (without shepherd).'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_330,['not having a possession'],['not having a possession'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Possession'],
Inference_242,['high fire_intensity can render...'],['high fire_intensity can render burning_object_condition nonfunctional'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Fire'],
Inference_517,['a well-functioning/non-functioning...'],['a well-functioning/non-functioning mind'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Cognizing'],
Inference_461,['Structure of an idea'],['Structure of an idea'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Idea'],
Inference_335,['attaining control'],['attaining control'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Control'],
Inference_70,['The amount of force applied to...'],['The amount of force applied to the acted_upon is closely correlated with the amount of effort the actor exerts.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_616,['Obstacles to motion along a pa...'],['Obstacles to motion along a path'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Journey'],
Inference_505,['decreases in quantity'],['decreases in quantity'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Quantity'],
Inference_385,['more force'],['more force'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Force'],
Inference_134,"['If you are pursuing something,...']","['you want it (for some purpose)', 'If you are pursuing something', 'but do not currently have possession or control of it.']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_476,['Impediments to seeing (visual ...'],['Impediments to seeing (visual obstructions)'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Seeing'],
Inference_387,['freedom to act'],['freedom to act'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Freedom_of_action'],
Inference_235,['x-schema stages are ordered.  Intitial...'],['x-schema stages are ordered.  Intitial > start > ongoing > finish > final'],"['Inference', 'NamedIndividual', 'Inference']",,['x-schema stage']
Inference_433,['Being sad or unhappy'],['Being sad or unhappy'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Happiness'],
Inference_26,['Degree of negative effect is related...'],['Degree of negative effect is related to the weight of the burden.'],"['Inference', 'NamedIndividual', 'Inference']",,
Inference_597,['greater quantities'],['greater quantities'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Quantity'],
Inference_431,['Being happy'],['Being happy'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Happiness'],
Inference_486,['Seeing from a relatively long ...'],['Seeing from a relatively long distance'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Seeing'],
Inference_188,"[""being unable to evaluate an evaluee's...""]","[""being unable to evaluate an evaluee's action""]","['Inference', 'NamedIndividual', 'Inference']",['Frame_Evaluation'],
Inference_430,['Being physically upright'],['Being physically upright'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Verticality'],
Inference_621,['Changing visual attention'],['Changing visual attention'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Seeing'],
Inference_557,['Nation failing to function eff...'],['Nation failing to function effectively'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Nation'],
Inference_278,"['at final stage, possessor possesses...']","['possessor possesses object', 'at final stage']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Gain_possession'],
Inference_652,['current location on path'],['current location on path'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Bounded_region'],
Inference_34,['direction of change is towards...'],['direction of change is towards cleanliness'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_90,['If container_pressure exceeds the...'],"['the container will could blow its container_top and vent fluid.  This could be dangerous to people around the container.', 'If container_pressure exceeds the container_pressure_limit of the container']","['Inference', 'NamedIndividual', 'Inference']",,['typical experience']
Inference_513,['rate of motion'],['rate of motion'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Action'],
Inference_65,['Keeping track of what is owed is...'],['Keeping track of what is owed is keeping the books.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_669,"['intially, controlling entity is...']","['intially', 'controlling entity is in  control']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Control'],
Inference_421,['the government is responsible for...'],['the government is responsible for taking care of the governed'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Government'],
Inference_80,['A bridge across the gap provides...'],['A bridge across the gap provides a means to cross the gap.'],"['Inference', 'NamedIndividual', 'Inference']",,
