name,type,isFromLanguage,label,hasLemma
LexicalUnit_6193,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['positivity.n'],['positivity.n']
LexicalUnit_6664,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['leaf.n'],['leaf.n']
LexicalUnit_1273,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['global warming activist.n'],['global warming activist.n']
LexicalUnit_3084,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['ecological economics.n'],['ecological economics.n']
LexicalUnit_582,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['intuition.n'],['intuition.n']
LexicalUnit_6752,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['underprivileged.a'],['underprivileged.a']
LexicalUnit_8220,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['paradigm.n'],['paradigm.n']
LexicalUnit_4274,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['injure.v'],['injure.v']
LexicalUnit_4140,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['regulation on gun.n'],['regulation on gun.n']
LexicalUnit_4902,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['massacre.v'],['massacre.v']
LexicalUnit_4575,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['poor families.n'],['poor families.n']
LexicalUnit_5717,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['CH4.n'],['CH4.n']
LexicalUnit_8561,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['booster shot.n'],['booster shot.n']
LexicalUnit_7010,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['reason.n'],['reason.n']
LexicalUnit_7546,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['butler.n'],['butler.n']
LexicalUnit_7609,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['mute.v'],['mute.v']
LexicalUnit_6656,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['vegetate.v'],['vegetate.v']
LexicalUnit_6911,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['track.v'],['track.v']
LexicalUnit_1085,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['trump.v'],['trump.v']
LexicalUnit_6693,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['enjoy.v'],['enjoy.v']
LexicalUnit_5451,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['motor.v'],['motor.v']
LexicalUnit_2726,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['dream.n'],['dream.n']
LexicalUnit_1975,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['control.v'],['control.v']
LexicalUnit_6703,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['law enforcement.n'],['law enforcement.n']
LexicalUnit_1583,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['jeans.n'],['jeans.n']
LexicalUnit_8306,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['DAPPL database.n'],['DAPPL database.n']
LexicalUnit_6031,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['rhapsody.n'],['rhapsody.n']
LexicalUnit_8913,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['veil.n'],['veil.n']
LexicalUnit_5929,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['shake.v'],['shake.v']
LexicalUnit_3646,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['ebb.n'],['ebb.n']
LexicalUnit_3396,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['frighten.v'],['frighten.v']
LexicalUnit_8281,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['mid-day.n'],['mid-day.n']
LexicalUnit_142,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['alcohol.n'],['alcohol.n']
LexicalUnit_5320,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['storm.v'],['storm.v']
LexicalUnit_1174,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['childrearing.n'],['childrearing.n']
LexicalUnit_7779,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['stable.a'],['stable.a']
LexicalUnit_8670,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['skateboard.v'],['skateboard.v']
LexicalUnit_3475,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['fan.v the flame.n'],['fan.v the flame.n']
LexicalUnit_4583,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['underprivileged.n'],['underprivileged.n']
LexicalUnit_1899,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['tether.v'],['tether.v']
LexicalUnit_4045,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['group member.n'],['group member.n']
LexicalUnit_7245,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['resource.n'],['resource.n']
LexicalUnit_2896,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['college.n'],['college.n']
LexicalUnit_8305,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['damage area per path length database.n'],['damage area per path length database.n']
LexicalUnit_8730,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['volcanic crater.n'],['volcanic crater.n']
LexicalUnit_4697,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['ringworm.n'],['ringworm.n']
LexicalUnit_3732,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['squishy.a'],['squishy.a']
LexicalUnit_8978,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['dead out.n'],['dead out.n']
LexicalUnit_2574,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['pharmaceuticals.n'],['pharmaceuticals.n']
LexicalUnit_3518,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['denseness.n'],['denseness.n']
LexicalUnit_4642,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['swell.v'],['swell.v']
LexicalUnit_2160,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['Saffir-Simpson Hurricane Wind Scale.n'],['Saffir-Simpson Hurricane Wind Scale.n']
LexicalUnit_2589,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['reek.n'],['reek.n']
LexicalUnit_8019,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['flavored.a'],['flavored.a']
LexicalUnit_6105,"['LexicalUnit', 'NamedIndividual', 'LexicalUnit']",['English'],['ramble.v'],['ramble.v']
LexicalUnit_3213,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['demonization.n'],['demonization.n']
LexicalUnit_7137,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['Lutheran.a'],['Lutheran.a']
LexicalUnit_2250,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['insolvency.n'],['insolvency.n']
LexicalUnit_1821,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['inescapable.a'],['inescapable.a']
LexicalUnit_8021,"['NamedIndividual', 'LexicalUnit', 'LexicalUnit']",['English'],['flavorless.a'],['flavorless.a']
