name,hasSourceRole,label,type,hasTargetRole,comment
Mapping_193,['Role_Frame_Destructive_natural_process_destructive_effect'],['Corruption.corruption_effect<=Destructive_natural_process.destructive_effect'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Corruption_corruption_effect'],
Mapping_322,['Role_Frame_Shepherding_shepherd'],['Government.governor<=Shepherding.shepherd'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Government_governor'],
Mapping_431,['Role_Frame_Destructive_force_destroyed_entity'],['Moral corruption.corruption_affectee<=Destructive force.destroyed_entity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Moral_corruption_corruption_affectee'],
Mapping_507,['Role_Frame_Physical_structure_structure_creator'],['Relationship.related_entity_1<=Physical structure.structure_creator'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Relationship_related_entity_1'],
Mapping_77,['Role_Frame_Heat_heat_x_schema'],['Anger.anger_x-schema<=Heat.heat_x-schema'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Anger_anger_x_schema'],
Mapping_121,['Role_Frame_Possession_possessor'],['Belief.believer<=Possession.possessor'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Belief_believer'],
Mapping_152,['Role_Frame_Lose_possession_donor'],['Change of state.experiencer<=Lose possession.donor'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Change_of_state_experiencer'],
Mapping_319,['Role_Frame_Person_person'],['Government.governor<=Person.person'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Government_governor'],
Mapping_511,['Role_Frame_Physical_structure_structural_framework'],['Relationship.relation_framework<=Physical structure.structural_framework'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Relationship_relation_framework'],
Mapping_562,['Role_Frame_Disease_diseased_cell'],['Social problems.immoral_citizen<=Disease.diseased_cell'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Social_problems_immoral_citizen'],
Mapping_188,['Role_Frame_Object_manipulation_actor'],['Control.controlling_entity<=Object manipulation.actor'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Control_controlling_entity'],
Mapping_315,['Role_Frame_Leadership_leader_goal'],['Government.govenor_objectives<=Leadership.leader_goal'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Government_govenor_objectives'],
Mapping_275,['Role_Frame_Transfer_scenario_transferred_object'],['Force transfer.force<=Transfer scenario.transferred_object'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Force_transfer_force'],
Mapping_424,['Role_Frame_Purity_pure_entity'],['Morality.moral_entity<=Purity.pure_entity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Morality_moral_entity'],
Mapping_415,['Role_Frame_Person_human_body'],['Machine.machine_hardware<=Person.human_body'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Machine_machine_hardware'],
Mapping_133,['Role_Frame_Forced_motion_forceful_action'],['Caused change of state.cause<=Forced motion.forceful_action'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Caused_change_of_state_cause'],
Mapping_563,['Role_Frame_Disease_bodily_healing_system'],['Social problems.social_program<=Disease.bodily_healing_system'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Social_problems_social_program'],
Mapping_365,['Role_Frame_Factory_Factory'],['Institution.Institution<=Factory.Factory'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Institution_Institution'],
Mapping_137,['Role_Frame_Transfer_scenario_transferor'],['Causation.agent<=Transfer scenario.transferor'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Causation_agent'],
Mapping_40,['Role_Frame_Treating_a_physical_affliction_disease'],['Addressing social problems.social_problem<=Treating a physical affliction.disease'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Addressing_social_problems_social_problem'],
Mapping_399,['Role_Frame_Nutritious_food_nurtitious_food'],['Learning.learned_knoweledge<=Nutritious food.nurtitious_food'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Learning_learned_knoweledge'],
Mapping_170,['Role_Frame_Transfer_scenario_transferor'],['Communication.communicator<=Transfer scenario.transferor'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Communication_communicator'],
Mapping_19,['Role_Frame_Eating_food'],['Thinking about.ideas<=Eating.food'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Thinking_about_ideas'],
Mapping_645,['Role_Frame_Containing_contents'],['Word.word_meaning<=Containing.contents'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Word_word_meaning'],
Mapping_73,['Role_Frame_Fire_fire_intensity'],['Anger.anger_level<=Fire.fire_intensity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Anger_anger_level'],
Mapping_83,['Role_Frame_Insanity_cause_of_insanity'],['Anger.cause_of_anger<=Insanity.cause_of_insanity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Anger_cause_of_anger'],
Mapping_450,['Role_Frame_Vehicle_vehicle_driver'],['Nation.nation_leaders<=Vehicle.vehicle_driver'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Nation_nation_leaders'],
Mapping_124,['Role_Frame_Containing_contents'],['Emotion.emotion<=Containing.contents'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Emotion_emotion'],
Mapping_514,['Role_Frame_Burden_burdened_entity'],['Responsibility.responsible_party<=Burden.burdened_entity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Responsibility_responsible_party'],
Mapping_596,['Role_Frame_Theft_thief'],['Taxation.taxer<=Theft.thief'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Taxation_taxer'],
Mapping_101,['Role_Frame_Object_construction_object_size'],['Arithmetic.number_size<=Object construction.object_size'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Arithmetic_number_size'],
Mapping_390,['Role_Frame_Plants_plant_attributes'],['Law.legal_actions<=Plants.plant_attributes'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Law_legal_actions'],
Mapping_633,['Role_Frame_Motion_along_a_path_path_of_motion'],['Virtual motion.intermediate_loci_of_attention<=Motion along a path.path_of_motion'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Virtual_motion_intermediate_loci_of_attention'],
Mapping_286,['Role_Frame_Building_building_whole'],['Government institution.government_whole<=Building.building_whole'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Government_institution_government_whole'],
Mapping_180,['Role_Frame_Verticality_Upright_entity'],['Consciousness.Conscious_entity<=Verticality.Upright_entity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Consciousness_Conscious_entity'],"[""Where 'conscious' labels a scale ranging from conscious to unconscious""]"
Mapping_1,['Role_Frame_Seeing_see_err'],['Citizen evaluation of government.evaluator<=Seeing.see-err'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Citizen_evaluation_of_government_evaluator'],
Mapping_26,['Role_Frame_Motion_along_a_path_mover'],['Action.actor<=Motion_along_a_path.mover'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Action_actor'],
Mapping_558,['Role_Frame_Plants_plant_entity'],['Organization.organization_whole<=Plants.plant_entity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Organization_organization_whole'],
Mapping_578,['Role_Frame_Trajector_landmark_landmark'],['State.standard<=Trajector landmark.landmark'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_State_standard'],
Mapping_179,['Role_Frame_Verticality_state_of_uprightness'],['Consciousness.state_of_consciousness<=Verticality.state_of_uprightness'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Consciousness_state_of_consciousness'],
Mapping_130,['Role_Frame_Forced_motion_agent'],['Caused change of state.agent<=Forced motion.agent'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Caused_change_of_state_agent'],
Mapping_429,['Role_Frame_Parent_child'],['Moral authority.obeyer<=Parent.child'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Moral_authority_obeyer'],
Mapping_51,['Role_Frame_War_generals'],['Addressing social problems.authorities<=War.generals'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Addressing_social_problems_authorities'],
Mapping_639,['Role_Frame_Containing_container'],['Part whole.whole<=Containing.container'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Part_whole_whole'],
Mapping_576,['Role_Frame_Forced_motion_goal'],['Speech act.intent_of_utterance<=Forced motion.goal'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Speech_act_intent_of_utterance'],
Mapping_20,['Role_Frame_Eating_eater'],['Thinking about.thinker<=Eating.eater'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Thinking_about_thinker'],
Mapping_100,['Role_Frame_Object_construction_smallest_object'],['Arithmetic.one<=Object construction.smallest_object'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Arithmetic_one'],['The smallest whole object is one']
Mapping_622,['Role_Frame_Building_base_support'],['Trust relationship.basis_of_trust<=Building.base_support'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Trust_relationship_basis_of_trust'],
Mapping_634,['Role_Frame_Motion_along_a_path_goal_of_motion'],['Virtual motion.ending_locus_of_attention<=Motion along a path.goal_of_motion'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Virtual_motion_ending_locus_of_attention'],
Mapping_568,['Role_Frame_Physical_affliction_symptoms'],['Social problems.result_of_problem<=Physical affliction.symptoms'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Social_problems_result_of_problem'],
Mapping_574,['Role_Frame_Forced_motion_goal'],['Speech act.outcome<=Forced motion.goal'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Speech_act_outcome'],
Mapping_258,['Role_Frame_Spatial_relation_spatial_relation_value'],['Experiencing_a_state.experienced_state_value<=Spatial relation.spatial_relation_value'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Experiencing_a_state_experienced_state_value'],
Mapping_217,['Role_Frame_War_fighting'],['Disease treatment.applying_treatment<=War.fighting'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Disease_treatment_applying_treatment'],
Mapping_478,['Role_Frame_Physical_harm_harmed_entity'],['Poverty.impoverished_entity<=Physical harm.harmed_entity'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Poverty_impoverished_entity'],
Mapping_541,['Role_Frame_Searching_sought_object'],['Knowing.sought_knowledge<=Searching.sought_object'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Knowing_sought_knowledge'],
Mapping_326,['Role_Frame_Containing_container'],['Group.group<=Containing.container'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Group_group'],
Mapping_637,['Role_Frame_Resource_resource'],['Wealth.wealth<=Resource.resource'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Wealth_wealth'],
Mapping_353,['Role_Frame_Possession_possession'],['Idea.idea_self<=Possession.possession'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Idea_idea_self'],
Mapping_173,['Role_Frame_Transfer_scenario_vehicle_for_transfer'],['Communication.language<=Transfer scenario.vehicle_for_transfer'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Communication_language'],['these roles are not in frames']
Mapping_135,['Role_Frame_Forced_motion_path'],['Caused change of state.transition<=Forced motion.path'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Caused_change_of_state_transition'],
Mapping_68,['Role_Frame_Dissect_entity_in_pieces'],['Analysis.analytic_conclusion<=Dissect.entity_in_pieces'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Analysis_analytic_conclusion'],
Mapping_510,['Role_Frame_Physical_structure_base_support'],['Relationship.relation_basis<=Physical structure.base_support'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Relationship_relation_basis'],
Mapping_630,['Role_Frame_Motion_along_a_path_trajector'],['Virtual motion.locus_of_cognizer’s_attention<=Motion along a path.trajector'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Virtual_motion_locus_of_cognizer_s_attention'],
Mapping_187,['Role_Frame_Possession_possess_relation_status'],['Control.control_relation_status<=Possession.possess_relation_status'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Control_control_relation_status'],
Mapping_142,['Role_Frame_Forced_motion_motion'],['Caused change of state.state_change<=Forced motion.motion'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Caused_change_of_state_state_change'],
