name,type,hasName,hasRoleType,label,correspondsToFrameElement,hasDefinition
Role_Frame_Infectious_disease_disease,"['Role', 'NamedIndividual', 'Role']",['disease'],['Disease'],['Infectious disease.disease'],,
Role_Frame_Affected_motion_path,"['NamedIndividual', 'Role', 'Role']",['path'],,['Affected motion.path'],['Path'],
Role_Frame_Possession_possessed,"['Role', 'NamedIndividual', 'Role']",['possessed'],,['Possession.possessed'],,
Role_Frame_Sound_sound_intensity,"['NamedIndividual', 'Role', 'Role']",['sound_intensity'],,['Sound.sound_intensity'],,
Role_Frame_Proximal_distal_proximal_region,"['Role', 'NamedIndividual', 'Role']",['proximal region'],,['Proximal distal.proximal region'],,
Role_Frame_Authority_authority_power,"['NamedIndividual', 'Role', 'Role']",['authority_power'],,['Authority.authority_power'],,['amount and/or type of power']
Role_Frame_Speech_act_addressee_action,"['Role', 'NamedIndividual', 'Role']",['addressee_action'],,['Speech act.addressee_action'],,
Role_Frame_Containment_boundary,"['Role', 'NamedIndividual', 'Role']",['boundary'],,['Containment.boundary'],,
Role_Frame_Object_construction_bigger,"['NamedIndividual', 'Role', 'Role']",['bigger'],,['Object construction.bigger'],,
Role_Frame_Punishment_punishee,"['NamedIndividual', 'Role', 'Role']",['punishee'],['entity'],['Punishment.punishee'],,
Role_Frame_Passion_experiencer,"['NamedIndividual', 'Role', 'Role']",['experiencer'],,['Passion.experiencer'],,
Role_Frame_Judicial_action_constraints_on_judicial_actions,"['NamedIndividual', 'Role', 'Role']",['constraints_on_judicial_actions'],,['Judicial action.constraints_on_judicial_actions'],,
Role_Frame_Using_user,"['NamedIndividual', 'Role', 'Role']",['user'],['entity'],['Using.user'],,
Role_Frame_Analysis_analytic_conclusion,"['NamedIndividual', 'Role', 'Role']",['analytic_conclusion'],,['Analysis.analytic_conclusion'],,
Role_Frame_Harm_to_living_entity_victim,"['NamedIndividual', 'Role', 'Role']",['victim'],['animate entity'],['Harm to living entity.victim'],['Victim'],
Role_Frame_Media_media_producers,"['Role', 'NamedIndividual', 'Role']",['media_producers'],,['Media.media_producers'],,
Role_Frame_Institution_mission,"['Role', 'NamedIndividual', 'Role']",['mission'],,['Institution.mission'],,['objectives of institution']
Role_Frame_Happiness_experiencer,"['NamedIndividual', 'Role', 'Role']",['experiencer'],,['Happiness.experiencer'],,
Role_Frame_Sadness_sadness,"['NamedIndividual', 'Role', 'Role']",['sadness'],,['Sadness.sadness'],,
Role_Frame_Judicial_decision_making_judicial_decision_process,"['NamedIndividual', 'Role', 'Role']",['judicial_decision_process'],,['Judicial decision-making.judicial_decision_process'],,
Role_Frame_Transfer_scenario_Lose_possession,"['NamedIndividual', 'Role', 'Role']",['Lose_possession'],,['Transfer scenario.Lose_possession'],,
Role_Frame_Access_path_of_access,"['NamedIndividual', 'Role', 'Role']",['path_of_access'],,['Access.path_of_access'],,['path between Accessor and Accessed_entity']
Role_Frame_Physical_harm_physically_harmed_entity,"['Role', 'NamedIndividual', 'Role']",['physically_harmed_entity'],,['Physical harm.physically_harmed_entity'],,
