name,hasBoundRole1,hasBoundRole2,label
Binding_98,['Role_Frame_Blood_sucking_creature_Animate_entity_animate_entity'],['Role_Frame_Harm_to_living_entity_agent'],['Frame:Blood-sucking creature.Animate entity.animate_entity=Harm to living entity.agent']
Binding_137,['Role_Frame_Caused_change_of_state_state_change'],['Role_Frame_Causation_effect'],['Frame:Caused change of state.state_change=Causation.effect']
Binding_84,['Role_Frame_Being_in_a_bounded_region_landmark'],['Role_Frame_Bounded_entity_bounded_entity'],['Frame:Being in a bounded region.landmark=Bounded entity.bounded_entity']
Binding_592,['Role_Frame_Legislative_action_legislative_governed'],['Role_Frame_Governing_action_governed'],['Frame:Legislative action.legislative_governed=Governing action.governed']
Binding_701,['Role_Frame_Physical_affliction_patient'],['Role_Frame_Experience_pain_experiencer'],['Frame:Physical affliction.patient=Experience pain.experiencer']
Binding_197,['Role_Frame_Corruption_corrupt_actor'],['Role_Frame_Crime_criminal'],['Frame:Corruption.corrupt_actor=Crime.criminal']
Binding_392,['Role_Frame_Gain_possession_getting_x_schema_ongoing'],['Role_Frame_Possession_possessing'],['Frame:Gain possession.getting_x-schema.ongoing=Possession.possessing.start']
Binding_493,['Role_Frame_Health_degree_of_health'],['Role_Frame_Experiencing_a_state_experienced_state_value'],['Frame:Health.degree_of_health=Experiencing a state.experienced_state_value']
Binding_928,['Role_Frame_Transfer_scenario_transferred_object'],['Role_Frame_Gain_possession_possession'],['Frame:Transfer scenario.transferred_object=Gain_possession.possession']
Binding_936,['Role_Frame_Treating_a_physical_affliction_treated_affliction'],['Role_Frame_Causation_affected'],['Frame:Treating a physical affliction.treated_affliction=Causation.affected']
Binding_792,['Role_Frame_Religious_practice_worshipped_thing'],['Role_Frame_Deity_deity'],['Frame:Religious practice.worshipped thing=Deity.deity']
Binding_266,['Role_Frame_Downward_motion_vertical_path'],['Role_Frame_Verticality_verticality_scale'],['Frame:Downward motion.vertical_path=Verticality.verticality_scale']
Binding_582,['Role_Frame_Legislation_enactment_bill_ongoing_status'],['Role_Frame_Government_decision_making_entity_under_consideration_ongoing_status'],['Frame:Legislation enactment.bill_ongoing.status=Government decision making.entity_under_consideration_ongoing_status']
Binding_67,['Role_Frame_Awakening_sleeping_entity'],['Role_Frame_Animate_entity_animate_entity'],['Frame:Awakening.sleeping_entity=Animate entity.animate_entity']
Binding_23,['Role_Frame_Affected_motion_mover'],['Role_Frame_Motion_along_a_path_mover'],['Frame:Affected motion.mover=Motion along a path.mover']
Binding_539,['Role_Frame_Judicial_action_constraints_on_judicial_actions'],['Role_Frame_Governing_action_constraints_on_governing_actions'],['Frame:Judicial action.constraints_on_judicial_actions=Governing action.constraints_on_governing_actions']
Binding_623,['Role_Frame_Motion_affecting_actors_actor'],['Role_Frame_Force_application_actor'],['Frame:Motion-affecting actors.actor=Force-application.actor']
Binding_503,['Role_Frame_Impoverished_experiencer'],['Role_Frame_Poverty_impoverished_entity'],['Frame:Impoverished.experiencer=Poverty.impoverished_entity']
