name,label,comment,hasDescription,hasName,isInCxnPGroup
T_noun_poss_S_noun,['T-noun poss S-noun'],"[""poverty's undertow""]","[""'s Posessives""]",['T-noun poss S-noun'],['T-noun_poss_S-noun']
T_noun_to_be_S_noun_adj,['T-noun to be S-noun-adj'],['democracy to be stillborn'],['copula modification'],['T-noun to be S-noun-adj'],['T-noun_to_be_S-noun-adj']
T_adj_mod_S_noun,['T-adj mod S-noun'],['bureaucratic machine'],['adjective noun modification'],['T-adj mod S-noun'],['T-adj_mod_S-noun']
S_verb_T_dobj,['S-verb T-dobj'],['... escape poverty'],['Verb-Object construction'],['S-verb T-dobj'],['S-verb_T-dobj']
S_verb_Prep_T_noun_conj,['S-verb Prep T-noun-conj'],['pull up out of poverty and unemployment'],['Verb Prep Noun'],['S-verb Prep T-noun-conj'],['S-verb Prep T-noun']
T_noun_cop_S_noun_adj,['T-noun cop S-noun-adj'],['poverty is a disease / poverty is burdensome / poverty seems to be a disease\n-- Should split this into different cxns for S-Adj vs. S-Noun'],['copula noun'],['T-noun cop S-noun-adj'],['T-noun_cop_S-noun-adj']
T_noun_cop_S_noun_POSseq,['T-noun cop S-noun.POSseq'],,['backup for N is a N'],['T-noun cop S-noun.POSseq'],['T-noun_cop_S-noun']
S_noun_prep_T_noun,['S-noun prep T-noun'],['path to poverty / the leap into politics'],['N prep N constructions'],['S-noun prep T-noun'],['S-noun_prep_T-noun']
T_subj_S_verb_conj,['T-subj S-verb-conj'],['poverty infects ...'],['Subject-Verb construction'],['T-subj S-verb-conj'],['T-subj_S-verb']
S_adj_mod_T_noun,['S-adj mod T-noun'],['forcible taxation'],['adjective noun modification'],['S-adj mod T-noun'],['S-adj_mod_T-noun']
S_verb_T_dobj_conj,['S-verb T-dobj-conj'],['... escape poverty'],['Verb-Object construction'],['S-verb T-dobj-conj'],['S-verb_T-dobj']
T_noun_poss_S_noun_POSseq,['T-noun poss S-noun.POSseq'],"[""poverty's morass""]","[""'s Posessives: reg exp backup""]",['T-noun poss S-noun.POSseq'],['T-noun_poss_S-noun']
S_noun_of_T_noun,['S-noun of T-noun'],['trap of poverty. Does this include conjunctions?'],['N of N constructions'],['S-noun of T-noun'],['S-noun_of_T-noun']
T_subj_conj_S_verb,['T-subj-conj S-verb'],['poverty infects ...'],['Subject-Verb construction'],['T-subj-conj S-verb'],['T-subj_S-verb']
T_noun_mod_S_noun,['T-noun mod S-noun'],['poverty trap'],['Noun noun modification compounds'],['T-noun mod S-noun'],['T-noun_mod_S-noun']
T_subj_S_verb,['T-subj S-verb'],,['The first one in the wiki!'],['T-subj S-verb'],['T-subj S-verb']
T_subj_aspV_S_verb,['T-subj aspV S-verb'],['poverty continues to infect .'],['Subject-AspectV-Verb construction'],['T-subj aspV S-verb'],['T-subj_S-verb']
S_verb_Prep_T_noun,['S-verb Prep T-noun'],['slide into poverty OR pull up out of poverty\nwill also match passives: crushed by poverty'],['Verb Prep Noun'],['S-verb Prep T-noun'],['S-verb_Prep_T-noun']
T_noun_cop_Prep_S_noun,['T-noun cop Prep S-noun'],['the country was on a rollercoaster'],['copula noun in prepositional phrase'],['T-noun cop Prep S-noun'],['T-noun_cop_S-noun-adj']
