name,label,hasInferentialContent,isInferenceOfFrame,hasInferenceType
Inference_56,['The emotion or change in emotion_level...'],['The emotion or change in emotion_level occurs because of a cause.'],,
Inference_459,['Analyzing ideas'],['Analyzing ideas'],['Frame_Idea'],
Inference_182,['The army engages in fighting against...'],['The army engages in fighting against enemy_combatants on the battlefield using weapons in the context of a war_strategy devised by generals seeking to minimize enemy_conquest and achieve victory as quickly as possible.'],,
Inference_579,['Difficulties in progressing through...'],['Difficulties in progressing through life'],['Frame_Life'],
Inference_123,['Being removed from the ground and...'],"[""Being removed from the ground and having its roots torn and separated poses a threat to the plant's survival.""]",,
Inference_380,['current trajector location is profiled_region...'],['current trajector location is profiled_region defined with respect to landmark'],['Frame_Being_at_a_location'],
Inference_220,['manner of action'],['manner of action'],['Frame_Action'],
Inference_666,['slavery is involuntary obligation...'],['slavery is involuntary obligation to work for master'],['Frame_Servitude'],
Inference_436,['Being not upright or being hor...'],['Being not upright or being horizontal'],['Frame_Verticality'],
Inference_240,['A fire is dangerous to nearb_o...'],['A fire is dangerous to nearb_objects'],['Frame_Fire'],
Inference_514,['there are different paths one can...'],['there are different paths one can take to reach a different destination'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_159,['experience of surprise has sudden...'],['experience of surprise has sudden short onset'],,['aspectual']
Inference_112,['Grasping is a precondition for...'],['Grasping is a precondition for possession.'],,
Inference_216,['Caused inability to act'],['Caused inability to act'],['Frame_Action'],
Inference_274,['willingness to change possessi...'],['willingness to change possession'],['Frame_Transfer_scenario'],
Inference_452,['Flavorless food'],['Flavorless food'],['Frame_Food'],
Inference_224,['rate of action'],['rate of action'],['Frame_Action'],
Inference_280,"['at initial stage, possessor possesses...']","['possessor possesses object', 'at initial stage']",['Frame_Lose_possession'],
Inference_641,['eliminating social problem restores...'],['eliminating social problem restores social functioning'],['Frame_Social_problems'],
Inference_315,['Words and linguistic expressio...'],['Words and linguistic expressions'],['Frame_Communication'],
Inference_189,"[""the quality of the Seer's vision...""]","[""the quality of the Seer's vision affects how well he can see an object""]",['Frame_Seeing'],
Inference_271,['state change would not have occurred...'],['state change would not have occurred wihtout a cause'],['Frame_Caused_change_of_state'],
Inference_148,['The presence/absence of certain...'],"[""The presence/absence of certain conditions will affect how a given motion event 'unfolds'. These conditions include: necessary resources (mover's energy/inertia); restraints on mover; obstacles on path; nature of terrain; burdens that mover must carry (additional mass that mover must move)""]",,['x-schema conditions']
Inference_231,['sequence of actions'],['sequence of actions'],['Frame_Self_propelled_motion'],
Inference_568,['nullSourceInference'],['nullSourceInference'],['Frame_Verticality'],
Inference_359,['Having intense emotion'],['Having intense emotion'],['Frame_Emotional_intensity'],
Inference_341,['Being controlled by someone'],['Being controlled by someone'],['Frame_Control'],
Inference_149,['The actor acts in order to move....'],['The actor acts in order to move.  Action continues until actor reaches goal.'],,
Inference_19,['topological structure is such that...'],['topological structure is such that exterior and interior are separated by boundary.'],,
Inference_262,['preventing downward motion'],['preventing downward motion'],['Frame_Downward_motion'],
Inference_663,['(obligation of) paying taxes negatively...'],['(obligation of) paying taxes negatively affects the taxpayer'],['Frame_Taxation'],
Inference_136,['A owes B (is in debt to B) if B...'],['A owes B (is in debt to B) if B does something good for A.'],,['normative-Western society']
Inference_156,['Sheep are not capable of flourishing...'],['Sheep are not capable of flourishing on their own (without shepherd).'],,
Inference_330,['not having a possession'],['not having a possession'],['Frame_Possession'],
