name,label,hasLemma
LexicalUnit_6193,['positivity.n'],['positivity.n']
LexicalUnit_6664,['leaf.n'],['leaf.n']
LexicalUnit_1273,['global warming activist.n'],['global warming activist.n']
LexicalUnit_3084,['ecological economics.n'],['ecological economics.n']
LexicalUnit_582,['intuition.n'],['intuition.n']
LexicalUnit_6752,['underprivileged.a'],['underprivileged.a']
LexicalUnit_8220,['paradigm.n'],['paradigm.n']
LexicalUnit_4274,['injure.v'],['injure.v']
LexicalUnit_4140,['regulation on gun.n'],['regulation on gun.n']
LexicalUnit_4902,['massacre.v'],['massacre.v']
LexicalUnit_4575,['poor families.n'],['poor families.n']
LexicalUnit_5717,['CH4.n'],['CH4.n']
LexicalUnit_8561,['booster shot.n'],['booster shot.n']
LexicalUnit_7010,['reason.n'],['reason.n']
LexicalUnit_7546,['butler.n'],['butler.n']
LexicalUnit_7609,['mute.v'],['mute.v']
LexicalUnit_6656,['vegetate.v'],['vegetate.v']
LexicalUnit_6911,['track.v'],['track.v']
LexicalUnit_1085,['trump.v'],['trump.v']
LexicalUnit_6693,['enjoy.v'],['enjoy.v']
LexicalUnit_5451,['motor.v'],['motor.v']
LexicalUnit_2726,['dream.n'],['dream.n']
LexicalUnit_1975,['control.v'],['control.v']
LexicalUnit_6703,['law enforcement.n'],['law enforcement.n']
LexicalUnit_1583,['jeans.n'],['jeans.n']
LexicalUnit_8306,['DAPPL database.n'],['DAPPL database.n']
LexicalUnit_6031,['rhapsody.n'],['rhapsody.n']
LexicalUnit_8913,['veil.n'],['veil.n']
LexicalUnit_5929,['shake.v'],['shake.v']
LexicalUnit_3646,['ebb.n'],['ebb.n']
LexicalUnit_3396,['frighten.v'],['frighten.v']
LexicalUnit_8281,['mid-day.n'],['mid-day.n']
LexicalUnit_142,['alcohol.n'],['alcohol.n']
LexicalUnit_5320,['storm.v'],['storm.v']
LexicalUnit_1174,['childrearing.n'],['childrearing.n']
LexicalUnit_7779,['stable.a'],['stable.a']
LexicalUnit_8670,['skateboard.v'],['skateboard.v']
LexicalUnit_3475,['fan.v the flame.n'],['fan.v the flame.n']
LexicalUnit_4583,['underprivileged.n'],['underprivileged.n']
LexicalUnit_1899,['tether.v'],['tether.v']
LexicalUnit_4045,['group member.n'],['group member.n']
LexicalUnit_7245,['resource.n'],['resource.n']
LexicalUnit_2896,['college.n'],['college.n']
LexicalUnit_8305,['damage area per path length database.n'],['damage area per path length database.n']
LexicalUnit_8730,['volcanic crater.n'],['volcanic crater.n']
LexicalUnit_4697,['ringworm.n'],['ringworm.n']
LexicalUnit_3732,['squishy.a'],['squishy.a']
LexicalUnit_8978,['dead out.n'],['dead out.n']
LexicalUnit_2574,['pharmaceuticals.n'],['pharmaceuticals.n']
LexicalUnit_3518,['denseness.n'],['denseness.n']
LexicalUnit_4642,['swell.v'],['swell.v']
LexicalUnit_2160,['Saffir-Simpson Hurricane Wind Scale.n'],['Saffir-Simpson Hurricane Wind Scale.n']
LexicalUnit_2589,['reek.n'],['reek.n']
LexicalUnit_8019,['flavored.a'],['flavored.a']
LexicalUnit_6105,['ramble.v'],['ramble.v']
LexicalUnit_3213,['demonization.n'],['demonization.n']
LexicalUnit_7137,['Lutheran.a'],['Lutheran.a']
LexicalUnit_2250,['insolvency.n'],['insolvency.n']
LexicalUnit_1821,['inescapable.a'],['inescapable.a']
LexicalUnit_8021,['flavorless.a'],['flavorless.a']
LexicalUnit_1819,['confine.v'],['confine.v']
LexicalUnit_3438,['python.n'],['python.n']
LexicalUnit_2487,['unclean.a'],['unclean.a']
LexicalUnit_721,['feet.n'],['feet.n']
LexicalUnit_1937,['droplet.n'],['droplet.n']
LexicalUnit_839,['hallway.n'],['hallway.n']
LexicalUnit_1711,['purple.a'],['purple.a']
LexicalUnit_5913,['bobble.v'],['bobble.v']
LexicalUnit_8015,['sustainability.n'],['sustainability.n']
LexicalUnit_8682,['level.n'],['level.n']
LexicalUnit_2509,['newfound.a'],['newfound.a']
LexicalUnit_6323,['pathway.n out'],['pathway.n out']
LexicalUnit_6401,['ourselves.n'],['ourselves.n']
LexicalUnit_5359,['canter.v'],['canter.v']
LexicalUnit_3995,['cling.v'],['cling.v']
LexicalUnit_5110,['lighted.a'],['lighted.a']
LexicalUnit_1535,['global warming science.n'],['global warming science.n']
LexicalUnit_7587,['taskmaster.n'],['taskmaster.n']
LexicalUnit_5147,['thriving.a'],['thriving.a']
LexicalUnit_4498,['hilarious.a'],['hilarious.a']
LexicalUnit_8600,['airplane.n'],['airplane.n']
LexicalUnit_827,['attic.n'],['attic.n']
