name,hasSourceRole,hasTargetRole,label,comment
Mapping_193,['Role_Frame_Destructive_natural_process_destructive_effect'],['Role_Frame_Corruption_corruption_effect'],['Corruption.corruption_effect<=Destructive_natural_process.destructive_effect'],
Mapping_322,['Role_Frame_Shepherding_shepherd'],['Role_Frame_Government_governor'],['Government.governor<=Shepherding.shepherd'],
Mapping_431,['Role_Frame_Destructive_force_destroyed_entity'],['Role_Frame_Moral_corruption_corruption_affectee'],['Moral corruption.corruption_affectee<=Destructive force.destroyed_entity'],
Mapping_507,['Role_Frame_Physical_structure_structure_creator'],['Role_Frame_Relationship_related_entity_1'],['Relationship.related_entity_1<=Physical structure.structure_creator'],
Mapping_77,['Role_Frame_Heat_heat_x_schema'],['Role_Frame_Anger_anger_x_schema'],['Anger.anger_x-schema<=Heat.heat_x-schema'],
Mapping_121,['Role_Frame_Possession_possessor'],['Role_Frame_Belief_believer'],['Belief.believer<=Possession.possessor'],
Mapping_152,['Role_Frame_Lose_possession_donor'],['Role_Frame_Change_of_state_experiencer'],['Change of state.experiencer<=Lose possession.donor'],
Mapping_319,['Role_Frame_Person_person'],['Role_Frame_Government_governor'],['Government.governor<=Person.person'],
Mapping_511,['Role_Frame_Physical_structure_structural_framework'],['Role_Frame_Relationship_relation_framework'],['Relationship.relation_framework<=Physical structure.structural_framework'],
Mapping_562,['Role_Frame_Disease_diseased_cell'],['Role_Frame_Social_problems_immoral_citizen'],['Social problems.immoral_citizen<=Disease.diseased_cell'],
Mapping_188,['Role_Frame_Object_manipulation_actor'],['Role_Frame_Control_controlling_entity'],['Control.controlling_entity<=Object manipulation.actor'],
Mapping_315,['Role_Frame_Leadership_leader_goal'],['Role_Frame_Government_govenor_objectives'],['Government.govenor_objectives<=Leadership.leader_goal'],
Mapping_275,['Role_Frame_Transfer_scenario_transferred_object'],['Role_Frame_Force_transfer_force'],['Force transfer.force<=Transfer scenario.transferred_object'],
Mapping_424,['Role_Frame_Purity_pure_entity'],['Role_Frame_Morality_moral_entity'],['Morality.moral_entity<=Purity.pure_entity'],
Mapping_415,['Role_Frame_Person_human_body'],['Role_Frame_Machine_machine_hardware'],['Machine.machine_hardware<=Person.human_body'],
Mapping_133,['Role_Frame_Forced_motion_forceful_action'],['Role_Frame_Caused_change_of_state_cause'],['Caused change of state.cause<=Forced motion.forceful_action'],
Mapping_563,['Role_Frame_Disease_bodily_healing_system'],['Role_Frame_Social_problems_social_program'],['Social problems.social_program<=Disease.bodily_healing_system'],
Mapping_365,['Role_Frame_Factory_Factory'],['Role_Frame_Institution_Institution'],['Institution.Institution<=Factory.Factory'],
Mapping_137,['Role_Frame_Transfer_scenario_transferor'],['Role_Frame_Causation_agent'],['Causation.agent<=Transfer scenario.transferor'],
Mapping_40,['Role_Frame_Treating_a_physical_affliction_disease'],['Role_Frame_Addressing_social_problems_social_problem'],['Addressing social problems.social_problem<=Treating a physical affliction.disease'],
Mapping_399,['Role_Frame_Nutritious_food_nurtitious_food'],['Role_Frame_Learning_learned_knoweledge'],['Learning.learned_knoweledge<=Nutritious food.nurtitious_food'],
Mapping_170,['Role_Frame_Transfer_scenario_transferor'],['Role_Frame_Communication_communicator'],['Communication.communicator<=Transfer scenario.transferor'],
Mapping_19,['Role_Frame_Eating_food'],['Role_Frame_Thinking_about_ideas'],['Thinking about.ideas<=Eating.food'],
Mapping_645,['Role_Frame_Containing_contents'],['Role_Frame_Word_word_meaning'],['Word.word_meaning<=Containing.contents'],
Mapping_73,['Role_Frame_Fire_fire_intensity'],['Role_Frame_Anger_anger_level'],['Anger.anger_level<=Fire.fire_intensity'],
Mapping_83,['Role_Frame_Insanity_cause_of_insanity'],['Role_Frame_Anger_cause_of_anger'],['Anger.cause_of_anger<=Insanity.cause_of_insanity'],
Mapping_450,['Role_Frame_Vehicle_vehicle_driver'],['Role_Frame_Nation_nation_leaders'],['Nation.nation_leaders<=Vehicle.vehicle_driver'],
Mapping_124,['Role_Frame_Containing_contents'],['Role_Frame_Emotion_emotion'],['Emotion.emotion<=Containing.contents'],
Mapping_514,['Role_Frame_Burden_burdened_entity'],['Role_Frame_Responsibility_responsible_party'],['Responsibility.responsible_party<=Burden.burdened_entity'],
Mapping_596,['Role_Frame_Theft_thief'],['Role_Frame_Taxation_taxer'],['Taxation.taxer<=Theft.thief'],
Mapping_101,['Role_Frame_Object_construction_object_size'],['Role_Frame_Arithmetic_number_size'],['Arithmetic.number_size<=Object construction.object_size'],
Mapping_390,['Role_Frame_Plants_plant_attributes'],['Role_Frame_Law_legal_actions'],['Law.legal_actions<=Plants.plant_attributes'],
Mapping_633,['Role_Frame_Motion_along_a_path_path_of_motion'],['Role_Frame_Virtual_motion_intermediate_loci_of_attention'],['Virtual motion.intermediate_loci_of_attention<=Motion along a path.path_of_motion'],
Mapping_286,['Role_Frame_Building_building_whole'],['Role_Frame_Government_institution_government_whole'],['Government institution.government_whole<=Building.building_whole'],
Mapping_180,['Role_Frame_Verticality_Upright_entity'],['Role_Frame_Consciousness_Conscious_entity'],['Consciousness.Conscious_entity<=Verticality.Upright_entity'],"[""Where 'conscious' labels a scale ranging from conscious to unconscious""]"
Mapping_1,['Role_Frame_Seeing_see_err'],['Role_Frame_Citizen_evaluation_of_government_evaluator'],['Citizen evaluation of government.evaluator<=Seeing.see-err'],
Mapping_26,['Role_Frame_Motion_along_a_path_mover'],['Role_Frame_Action_actor'],['Action.actor<=Motion_along_a_path.mover'],
Mapping_558,['Role_Frame_Plants_plant_entity'],['Role_Frame_Organization_organization_whole'],['Organization.organization_whole<=Plants.plant_entity'],
Mapping_578,['Role_Frame_Trajector_landmark_landmark'],['Role_Frame_State_standard'],['State.standard<=Trajector landmark.landmark'],
Mapping_179,['Role_Frame_Verticality_state_of_uprightness'],['Role_Frame_Consciousness_state_of_consciousness'],['Consciousness.state_of_consciousness<=Verticality.state_of_uprightness'],
Mapping_130,['Role_Frame_Forced_motion_agent'],['Role_Frame_Caused_change_of_state_agent'],['Caused change of state.agent<=Forced motion.agent'],
Mapping_429,['Role_Frame_Parent_child'],['Role_Frame_Moral_authority_obeyer'],['Moral authority.obeyer<=Parent.child'],
Mapping_51,['Role_Frame_War_generals'],['Role_Frame_Addressing_social_problems_authorities'],['Addressing social problems.authorities<=War.generals'],
Mapping_639,['Role_Frame_Containing_container'],['Role_Frame_Part_whole_whole'],['Part whole.whole<=Containing.container'],
Mapping_576,['Role_Frame_Forced_motion_goal'],['Role_Frame_Speech_act_intent_of_utterance'],['Speech act.intent_of_utterance<=Forced motion.goal'],
Mapping_20,['Role_Frame_Eating_eater'],['Role_Frame_Thinking_about_thinker'],['Thinking about.thinker<=Eating.eater'],
Mapping_100,['Role_Frame_Object_construction_smallest_object'],['Role_Frame_Arithmetic_one'],['Arithmetic.one<=Object construction.smallest_object'],['The smallest whole object is one']
Mapping_622,['Role_Frame_Building_base_support'],['Role_Frame_Trust_relationship_basis_of_trust'],['Trust relationship.basis_of_trust<=Building.base_support'],
Mapping_634,['Role_Frame_Motion_along_a_path_goal_of_motion'],['Role_Frame_Virtual_motion_ending_locus_of_attention'],['Virtual motion.ending_locus_of_attention<=Motion along a path.goal_of_motion'],
Mapping_568,['Role_Frame_Physical_affliction_symptoms'],['Role_Frame_Social_problems_result_of_problem'],['Social problems.result_of_problem<=Physical affliction.symptoms'],
Mapping_574,['Role_Frame_Forced_motion_goal'],['Role_Frame_Speech_act_outcome'],['Speech act.outcome<=Forced motion.goal'],
Mapping_258,['Role_Frame_Spatial_relation_spatial_relation_value'],['Role_Frame_Experiencing_a_state_experienced_state_value'],['Experiencing_a_state.experienced_state_value<=Spatial relation.spatial_relation_value'],
Mapping_217,['Role_Frame_War_fighting'],['Role_Frame_Disease_treatment_applying_treatment'],['Disease treatment.applying_treatment<=War.fighting'],
Mapping_478,['Role_Frame_Physical_harm_harmed_entity'],['Role_Frame_Poverty_impoverished_entity'],['Poverty.impoverished_entity<=Physical harm.harmed_entity'],
Mapping_541,['Role_Frame_Searching_sought_object'],['Role_Frame_Knowing_sought_knowledge'],['Knowing.sought_knowledge<=Searching.sought_object'],
Mapping_326,['Role_Frame_Containing_container'],['Role_Frame_Group_group'],['Group.group<=Containing.container'],
Mapping_637,['Role_Frame_Resource_resource'],['Role_Frame_Wealth_wealth'],['Wealth.wealth<=Resource.resource'],
Mapping_353,['Role_Frame_Possession_possession'],['Role_Frame_Idea_idea_self'],['Idea.idea_self<=Possession.possession'],
Mapping_173,['Role_Frame_Transfer_scenario_vehicle_for_transfer'],['Role_Frame_Communication_language'],['Communication.language<=Transfer scenario.vehicle_for_transfer'],['these roles are not in frames']
Mapping_135,['Role_Frame_Forced_motion_path'],['Role_Frame_Caused_change_of_state_transition'],['Caused change of state.transition<=Forced motion.path'],
Mapping_68,['Role_Frame_Dissect_entity_in_pieces'],['Role_Frame_Analysis_analytic_conclusion'],['Analysis.analytic_conclusion<=Dissect.entity_in_pieces'],
Mapping_510,['Role_Frame_Physical_structure_base_support'],['Role_Frame_Relationship_relation_basis'],['Relationship.relation_basis<=Physical structure.base_support'],
Mapping_630,['Role_Frame_Motion_along_a_path_trajector'],['Role_Frame_Virtual_motion_locus_of_cognizer_s_attention'],['Virtual motion.locus_of_cognizer’s_attention<=Motion along a path.trajector'],
Mapping_187,['Role_Frame_Possession_possess_relation_status'],['Role_Frame_Control_control_relation_status'],['Control.control_relation_status<=Possession.possess_relation_status'],
Mapping_142,['Role_Frame_Forced_motion_motion'],['Role_Frame_Caused_change_of_state_state_change'],['Caused change of state.state_change<=Forced motion.motion'],
Mapping_395,['Role_Frame_Vehicular_motion_vehicle_drivers'],['Role_Frame_State_leadership_nation_leaders'],['State leadership.nation_leaders<=Vehicular motion.vehicle_drivers'],
Mapping_240,['Role_Frame_Temperature_temperature_scale'],['Role_Frame_Emotional_intensity_emotional_intensity_scale'],['Emotional intensity.emotional_intensity_scale<=Temperature.temperature_scale'],
Mapping_519,['Role_Frame_Territory_territory_whole'],['Role_Frame_Rights_right'],['Rights.right<=Territory.territory_whole'],
Mapping_248,['Role_Frame_Forced_motion_motion'],['Role_Frame_Legislation_enactment_bill_status_change'],['Legislation enactment.bill_status_change<=Forced motion.motion'],
Mapping_79,['Role_Frame_Insanity_insanity'],['Role_Frame_Anger_anger'],['Anger.anger<=Insanity.insanity'],
