name,hasName,hasRoleType,label,correspondsToFrameElement,hasDefinition
Role_Frame_Infectious_disease_disease,['disease'],['Disease'],['Infectious disease.disease'],,
Role_Frame_Affected_motion_path,['path'],,['Affected motion.path'],['Path'],
Role_Frame_Possession_possessed,['possessed'],,['Possession.possessed'],,
Role_Frame_Sound_sound_intensity,['sound_intensity'],,['Sound.sound_intensity'],,
Role_Frame_Proximal_distal_proximal_region,['proximal region'],,['Proximal distal.proximal region'],,
Role_Frame_Authority_authority_power,['authority_power'],,['Authority.authority_power'],,['amount and/or type of power']
Role_Frame_Speech_act_addressee_action,['addressee_action'],,['Speech act.addressee_action'],,
Role_Frame_Containment_boundary,['boundary'],,['Containment.boundary'],,
Role_Frame_Object_construction_bigger,['bigger'],,['Object construction.bigger'],,
Role_Frame_Punishment_punishee,['punishee'],['entity'],['Punishment.punishee'],,
Role_Frame_Passion_experiencer,['experiencer'],,['Passion.experiencer'],,
Role_Frame_Judicial_action_constraints_on_judicial_actions,['constraints_on_judicial_actions'],,['Judicial action.constraints_on_judicial_actions'],,
Role_Frame_Using_user,['user'],['entity'],['Using.user'],,
Role_Frame_Analysis_analytic_conclusion,['analytic_conclusion'],,['Analysis.analytic_conclusion'],,
Role_Frame_Harm_to_living_entity_victim,['victim'],['animate entity'],['Harm to living entity.victim'],['Victim'],
Role_Frame_Media_media_producers,['media_producers'],,['Media.media_producers'],,
Role_Frame_Institution_mission,['mission'],,['Institution.mission'],,['objectives of institution']
Role_Frame_Happiness_experiencer,['experiencer'],,['Happiness.experiencer'],,
Role_Frame_Sadness_sadness,['sadness'],,['Sadness.sadness'],,
Role_Frame_Judicial_decision_making_judicial_decision_process,['judicial_decision_process'],,['Judicial decision-making.judicial_decision_process'],,
Role_Frame_Transfer_scenario_Lose_possession,['Lose_possession'],,['Transfer scenario.Lose_possession'],,
Role_Frame_Access_path_of_access,['path_of_access'],,['Access.path_of_access'],,['path between Accessor and Accessed_entity']
Role_Frame_Physical_harm_physically_harmed_entity,['physically_harmed_entity'],,['Physical harm.physically_harmed_entity'],,
Role_Frame_Responsibility_evaluator_of_fulfillment,['evaluator_of_fulfillment'],,['Responsibility.evaluator_of_fulfillment'],,
Role_Frame_Anger_anger_x_schema,['anger_x-schema'],,['Anger.anger_x-schema'],,
Role_Frame_Judicial_action_normative_judicial_actions,['normative_judicial_actions'],,['Judicial action.normative_judicial_actions'],,
Role_Frame_Physical_connection_item1,['item1'],,['Physical connection.item1'],,
Role_Frame_Gun_rights_legislation_legislation,['legislation'],,['Gun rights legislation.legislation'],,"['bill or law concerning use', 'etc. of guns', 'ownership']"
Role_Frame_Group_membership_member,['member'],,['Group membership.member'],,
Role_Frame_Motion_away_from_a_location_motion_x_schema,['motion_x-schema'],,['Motion away from a location.motion_x-schema'],,
Role_Frame_Drugs_drug_user,['drug_user'],,['Drugs.drug_user'],,
Role_Frame_Adoption_family_representative,['family_representative'],,['Adoption.family_representative'],,
Role_Frame_Disease_treatment_applying_treatment,['applying_treatment'],,['Disease treatment.applying_treatment'],,
Role_Frame_Motion_along_a_path_direction,['direction'],,['Motion along a path.direction'],,"['path', 'may be specified via source', '&/or goal']"
Role_Frame_Upward_motion_mover_position,['mover_position'],,['Upward motion.mover_position'],,
