lemma_1,lemma_2,year,genre,source,data
backward,time,2019,FIC,Analog,"too-forward. Maybe the only allowed way; no past travel. # Fiction features backward time travel, adventures in the past. Writers prefer that; they can't"
backward,time,2019,ACAD,Tehnicki Vjesnik,"There are three general approaches to detecting moving objects: background extraction, forward or backward time difference, and motion vectors. Among them, background extraction is a very"
backward,time,2017,MAG,Nerdist,"was born to play. She's outspoken and feminist as all hell in a backward time and place. And now on the brink of premiere, the pilot positions"
backward,time,2012,ACAD,PhysicsToday,"are locally the regions of most strongly diverging flow. Performing the same procedure in backward time, one identifies regions with high backward-time FTLE values. Those regions of strongest"
backward,time,2012,ACAD,PhysicsToday,one identifies regions with high backward-time FTLE values. Those regions of strongest divergence in backward time are the regions of strongest local convergence in ordinary forward time. # In
backward,time,2012,ACAD,PhysicsToday,"in fact, indicators of repelling LCSs in forward time and of attracting LCSs in backward time. The ridges were initially believed to be almost Lagrangian--that is, the flux"
backward,time,2012,ACAD,PhysicsToday,will be to follow the evolution of LCSs as they are advected in forward or backward time by the fluid flow. That's more than simply locating a repelling or
backward,time,2012,WEB,debate.org,"say that forward time travel has been proven possible. But no evidence shows that backward time travel is possible. # Proposed possibilities include Worm Holes, but no worm"
backward,time,2012,WEB,debate.org,of space is fragile and violently shaking according to M-Theory) # I argue that backward time travel either is impossible or sufficient time will pass before it is that the
backward,time,2012,BLOG,...dinary-gentlemen.com,managed better If you'd had it planned Now why'd you choose such a backward time And such a strange land? # If you'd come today You could
backward,time,2011,ACAD,Communications,"practice, the particle advec-tion approach allows implementa-tion of the algorithm in both forward and backward time, meaning the flow segments are the same regardless of which direction the flow"
backward,time,2007,TV,The Universe,to actually transport information backward in time... or people backward in time. But backward time travel raises disturbing paradoxes. Could one actually voyage to the past and change
backward,time,2007,TV,The Universe,"... and perhaps, one day, they may come knocking on your door. Backward time travel has ignited a myriad of science fiction scenarios. If that machine can"
backward,time,2007,TV,The Universe,"changing history? One possibility is that the laws of physics... allowyou to do backward time travel... as long as it leads to a self-consistent universe... that,"
backward,time,2007,TV,The Universe,"place... for example, in the grandfather paradox. For now, forward or backward time travel... through a wormhole remains in question. And some scientists think..."
backward,time,1995,FIC,ContempFic,", sammenstod (Distances, Collisions, 1979, poems), Baglaens tid (Backward Time, 1983, poems), Kragevending: landsbydigte (As the Crow Turns"
back,time,2018,FIC,Fan Fic,"the house on Castle Lake every summer, driving that same stretch to Bangor and back time after time. Shaving miles and more miles, and miles after that."
back,time,2017,TV,Abstract: The Art of...,"bit, and instead of taking it and absorbing it, I give it right back times a thousand, and I normally yell at their face. [loudly] Amazing!"
back,time,2016,FIC,World Literature Today,"ruins your life as you knew it. # But a broken foot gives you back time. Today, for instance, instead of going to a Barre Method class"
back,time,2007,SPOK,NPR_TellMore,"grocery store is full of things that are already done for you to buy you back time, and that's why "" Semi-Homemade "" has been so successful and is"
back,time,2003,TV,Malcolm in the Middle,"Sure. Oble? of the Earth around the table and, like Superman and back time for a moment before as We thought fail for like. Are still being"
back,time,1996,MAG,Backpacker,"bit before hitting the trail. Then start hiking slowly to give your legs and back time to warm up. Stretch again on your first break, then gradually increase"
setting,time,2012,BLOG,danariely.com,often and the other partner wishes to have intimacy more often. Can you imagine setting times for intimacy working? # My family is fairly busy -- we don't
setting,time,2007,FIC,FantasySciFi,"ordinary person, remote viewing combined with precognition might seem not much more remarkable than setting time transceiver coordinates mentally while in a selfinduced state of trance. But several dozen"
setting,time,1999,MAG,SkyTelescope,"this table: Finally, the Moon's rapid orbital motion alters lunar rising and setting times slightly if your longitude differs from 90deg west. The Moon rises and sets"
setting,time,1995,ACAD,RehabResrch,total contact cast was applied. Weightbearing was not allowed for 3 to 4 hrs setting time to assure sufficient hardening of the plaster inner shell. The subject then walked
setting,time,1991,MAG,Compute,"ask for your location in longitude and latitude, not only to figure rising and setting times, but also to calculate the appearance of solar and lunar eclipses. You"
outside,relationship,2014,ACAD,CollegeStud,"(Mietzner, 2005). An important defense against loneliness can be support from outside relationships, such as family and friends (Sadava & Matejcic, 1987)."
outside,relationship,2012,SPOK,PBS_Newshour,"intelligence agency like the CIA when someone seems to have had some sort of inappropriate outside relationship than it would be, say, if he were working for another domestic"
outside,relationship,2012,WEB,chronicle.com,"their decision, the NCAA could hurt Penn State's enrollment, recruiting, and outside relationships and partnerships, "" the source said. "" If you don't attract"
outside,relationship,2012,WEB,....clevelandclinic.org,. Cleveland Clinic strives to make scientific advances that will benefit patient care and support outside relationships that promise public benefit. In order for the discoveries of Cleveland Clinic physicians
outside,relationship,2012,BLOG,liquidhip.com,because he doubted his ability to do either. It didn't help watching several outside relationships he admired break down and fall apart. The ones who suffered the most
outside,relationship,2012,BLOG,polyamory.com (1),because I just wasn't that into her. He hadn't had any outside relationships until recently.. # He met a girl at a bar and started talking
outside,relationship,2009,SPOK,ABC_GMA,"should form a two-handed circle. And that's the way it should stay. Outside relationships, you always got to ask yourself, what good do they bring to"
outside,relationship,2004,MAG,Ebony,"very married Brother who has no intention of leaving his wife, but engages in outside relationships and leads his mistresses to believe that he will soon be ending the marriage"
outside,relationship,2004,MAG,Ebony,did it mean? There are basically two kinds of infidelity-opportunistic infidelity and a long-term outside relationship involving major investments of time and emotion. The opportunistic affair generally involves the
outside,relationship,2004,MAG,Ebony,"Marriages are also likely to dissolve quickly when one partner gets involved in a long-term outside relationship. In many cases, psychologist Smith says, an outside relationship may be"
outside,relationship,2004,MAG,Ebony,"in a long-term outside relationship. In many cases, psychologist Smith says, an outside relationship may be a strong indicator that the person may no longer feel emotionally connected"
outside,relationship,2001,ACAD,Education,"provide financial, technical and programmatic assistance. They can facilitate interschool communication, nurture outside relationships and in many instances be the early inspiration for the project. There are"
outside,relationship,1995,MAG,Prevention,security. Appropriate boundaries that therapists must adhere to include things like not having an outside relationship with a client while she's in treatment; not counseling somebody with whom
outside,relationship,1992,SPOK,CNN_Sonya,"responsible non-monogamy.' Currently, she lives with two other people and has additional outside relationships. Wow! I guess one-on-one isn't for you, a crowd is"
outside,relationship,1992,SPOK,CNN_Sonya,"n't disturb yourself over whatever you're doing including having the fantasies or having the outside relationships, or occasionally lusting for someone else, that's fine SONYA OK,"
outside,relationship,1992,SPOK,CNN_Sonya,": But, I think there are some couples who are able to have the outside relationship, still maintain their love connection, not take time and affection away from"
outside,relationship,1992,SPOK,CNN_Sonya,", you know, the trend these days is that the figures of women having outside relationships is getting higher and I think, perhaps, because women have been able"
outside,relationship,1992,SPOK,CNN_Sonya,"s one way of finding out. It depends on whether she's using the outside relationship as a supplement but really, firmly, is connected to her relationship or"
expansive,relationship,2016,MAG,Fox News,"as rivals faced expropriation and regulatory obstacles. # In 2011, Tillerson announced an expansive relationship with Russia's Rosneft that will spend years and billions of dollars developing technology"
expansive,relationship,2012,BLOG,...ywiththeleadpipe.org,potential new editor to contribute as a guest author with the hopes that a more expansive relationship might follow.  Accomplishments # In the Library with the Lead Pipe has
expansive,relationship,2011,ACAD,Education,"dynamic (Brooks &; Brooks, 1999), and framed by a trusting but expansive relationship (Meier, 2002). Just as teaching is intentional, so must"
outside,power,2019,SPOK,Fox_Baier,"to overthrow the Monroe doctrine, which for centuries has said no outside interference from outside powers in the western hemisphere. In order to really elevate this situation, I"
outside,power,2019,FIC,Analog,"predates that. "" # She sneered. "" Yet it must rely on an outside power source. "" # "" And? "" # "" And isn't that"
outside,power,2019,NEWS,USA TODAY,"really, because of how small the rosters are and how large the influence of outside power brokers is. # This season was a confirmation of it - repeatedly."
outside,power,2018,MAG,The Atlantic,in order to help liberalism write a new story for our own time. # Outside powers have been central to the nuclear crisis -- but for a few peculiar weeks
outside,power,2018,ACAD,Foreign Affairs,"far worse, as the Iraqis and the Libyans know only too well: when outside powers overthrow autocrats sitting atop failing states, open-ended chaos is much more likely to"
outside,power,2017,ACAD,The Middle East Journal,"forces for fear of filling enemy ranks. Local leaders promptly proceeded to play these outside powers against one another, requiring concessions in material support and local autonomy that neither"
outside,power,2017,ACAD,The Middle East Journal,": in the absence of integration into a stable international system, interventionist impulses by outside powers serve not to induce social change or development but only to sustain local political"
outside,power,2017,ACAD,Journal of Film and Video,"his brother's presence and what it has come to signify, ultimately thwarting the outside power interests who attempt to rewrite the town. # Although the narrative structure invites"
outside,power,2017,TV,Africa's Great Civil...,"other. It in fact allowed The king of kongo. To connect with An outside power. It wasn't a local power, it was An outside power which"
outside,power,2017,TV,Africa's Great Civil...,"with An outside power. It wasn't a local power, it was An outside power which, in fact, Meant that kongo became Part of what was emerging"
outside,power,2016,SPOK,PBS_Newshour,But they also play a role in Iraq's efforts to emerge as the dominant outside power in Iraq and to kind of supplant the U.S. in this role. We
outside,power,2016,MAG,Daily Beast,"waves of Iraqi leaders who are increasingly seen as little more than factotums of interfering outside powers, namely the United States or Iran. U.S. policy has been single-mindedly wedded"
outside,power,2015,MAG,NatGeog,"He had the tired half smile of a man who thought in millennia. "" Outside powers still fight over this area -- the Mesopotamian plain. It is the meeting"
outside,power,2015,MAG,PopMech,the weight's motion and further amplifying its damping effect. No active control or outside power source is necessary. The magnetic fip occurs because of a version of Newton
outside,power,2015,MAG,PopScience,"to the treatment plant and get clean water, and you wouldn't need any outside power. "" # Daniel Bond at the University of Min- nesota is exploring the"
outside,power,2015,MAG,USAToday,", but we are still, I think without any question, the most influential outside power. "" # Calling the U.S. "" largely reactive, "" and a """
outside,power,2015,NEWS,NYTimes,"to come to an agreement of their own. "" He needs the help of outside powers, "" he said. "" It starts with backers of Assad. That"
outside,power,2015,ACAD,WorldAffairs,"and continuing with his Munich speech in 2007, Putin has hyped the threat of outside powers. Russia's 2010 Military Doctrine cites NATO enlargement as the greatest military danger"
outside,power,2015,MOV,Requiem for the American Dream,"course, he puts it in terms of defense, "" defending ourselves against an outside power. "" But if you look at it, it's a call for"
outside,power,2014,SPOK,ABC: This Week,"need to support your friends. They can win your enemies by being supported by outside powers, which is the case in both Ukraine and Syria. Syria was also"
outside,power,2014,MAG,America,""" good neighbor "" policies--trade and cultural deals--seemed designed to diminish Asean's ties to outside powers, but in fact its territorial claims seem to reinforce the perception in South"
