lemma_1,lemma_2,year,genre,source,data
back,time,2015,FIC,Ploughshares,"#upon you; it did not help, this turning back of time. You would have needed weeks, months, not a single"
back,time,2012,WEB,amazon.com,"#revealed. # In a supreme irony, the folding back of time, at the end, finds the gansta rap son of Ruth"
back,time,1990,FIC,VirginiaQRev,"#is very nice, how you get up on the back of time and ride and you don't know where it will go or"
area,existence,2012,BLOG,...documentaryfilms.com,#. Perhapse science will evolve beyond the known areas of existence. Who knows what will come # But I do nt blame him for
area,existence,1996,FIC,Tikkun,"#only semi-voluntarily, placed this man in an area of existence too terrible to contemplate. Even when he teased me, smiling kindly,"
area,existence,1992,MAG,ChristCentury,#religious attitude based on that tradition to all areas of existence. Thus religious education should stimulate that sense of wonder and the need to
place,existence,2012,BLOG,mandatory.com,#in a different (and hopefully better) place of existence where we'd have no desire to return to our prior LIFE. #
place,existence,2012,BLOG,...discovermagazine.com,"#.) But in our assumptive God's place of existence, where perhaps time as we know it is not a dimension,."
region,existence,2012,BLOG,lesswrong.com,#that; it becomes the responsibility of your region of existence to give them a happy future. You can't hand them back by
region,existence,1997,ACAD,AmerStudies,"#"" radical mystery "" with "" the problematic regions of existence "" by way of "" Mozart: An Overture. "" Likewise, the"
place,is,2012,WEB,bible.cc,"#which word the LXX., both in the place of Is. 55:3, and in many others, use for that which is in the"
area,time,2018,SPOK,PBS_Newshour,"#from the way I would interpret it, that that area of time has to be shielded from the NDA that existed during her time"
area,time,2017,SPOK,NPR_FreshAir,"#took that to heart. TERRY-GROSS# You know, that area of Times Square has always had a lot of movie marquees, you know"
area,time,2017,ACAD,Sport Marketing Quarterly,"#) noted for public FBS college athletic departments, the areas of time, enrollment, football success, and conference affiliation are useful in"
area,time,2012,WEB,mindtools.com,"#. The following is a quick summary of the main areas of time management that were explored in the quiz, and a guide to"
area,time,2012,WEB,amazon.com,"#between authors and philosophical themes, stretching over a vast area of time and subject. This rich book gives one a path through much"
area,time,2009,ACAD,Education,"#was teaching. The tension emerged most clearly in the area of time management, with professors struggling to find time for their scholarly pursuits"
area,time,2003,SPOK,CNN_Politics,"#, or is it just a close -- a specified area of Times Square? HINOJOSA: No, no, no, no."
area,time,1996,SPOK,CNN_Talkback,"#I left court, they were just focusing on the area of time when O.J. Simpson said he recut his hand while in a Chicago"
area,time,1993,MAG,PsychToday,#? SR: My personal focus these days is this area of time and health. I'm currently working on a book on the
area,time,1990,NEWS,NYTimes,"#next convention is because efforts to create legislation in the areas of time management, cost reduction and limitations in the recruiting process have been"
area,time,1990,ACAD,CanadaLaw,#classic case demonstrating the United States' inability in this area of time competition is the inception and production of the VCR. VCRs used
setting,time,2012,WEB,webexhibits.org,"#Government decided not proceed with the bill, and the setting of time zones and daylight saving remains the responsibility of the state and territory"
setting,time,2012,BLOG,...rapher.wordpress.com,"#very simple, it only takes some minutes to adjust settings of time and date, image size etc. The data is stored on"
setting,time,2011,MAG,TownCountry,"#, it takes on a mythic quality, the legendary setting of times long gone that were impossibly fun, and probably irreproducible. And"
place,time,2012,WEB,...omiccollapseblog.com,"#of them and the comments they have written in this place of time, where they will be remembered by me and by you!"
place,time,1994,FIC,MassachRev,"#places, and no place at all, just the place of time and the sun fading, coffee in an unfamiliar cup, that"
region,time,1995,TV,Sliders,"#You need to maintain quantum coherence over a macroscopic compact region of time and space. The bridge, Conrad. We need to know"
site,action,2019,ACAD,eLife,"#2016 (11)). The anatomic site of action (primary tumor or metastatic site or both), the particular stromal cell"
site,action,2019,ACAD,eLife,"#, from where it is offloaded to its site of action: the cell cortex (Figure 5A) (Markus and Lee, 2011b"
site,action,2019,ACAD,PLoS ONE,#aggression in rodents: from central release to sites of action. Horm Behav. 2012; 61:293-303. doi: **27;538;TOOLONG 22100184 # 39. Caldwell
site,action,2019,ACAD,J Intl Soc Prev Comm Dent,"#which allows the light chain transportation to its site of action, that is, the protein complex. The light chain enzyme then cleaves"
site,action,2018,ACAD,Studies in the Novel,"#the choral narrator, who is neither the site of action nor a source of knowledge. Indeed, where first-hand descriptions are made,"
site,action,2018,ACAD,Nature Reviews Microbiology,"#bacterial peptidoglycan layer is depicted, showing the sites of action of several peptidoglycan-degrading enzymes including N -acetylmuramoyl-L -alanine amidase (AmiD) and type"
site,action,2017,ACAD,Neuron,"#membrane potential diffusion of second messenger to the site of action diffusion of Ca2+ to the nucleus, spread of the membrane potential to the"
site,action,2017,ACAD,Neuron,"#zone diffusion of second messenger away from the site of action diffusion of cGMP away from cationic channels in rod photoreceptor cells, attenuation of"
site,action,2017,ACAD,Neuron,"#or diffusion of the target molecule to the site of action translocation of kinesin-bound GluR2 to dendrites, diffusion of Ca2+/CaM to the nucleus,"
site,action,2017,ACAD,Neuron,#diffusion of the target molecule away from the site of action removal of AMPARs from the postsynaptic density synthesis of target molecule availability and activation
site,action,2012,WEB,ncbi.nlm.nih.gov,#to determine whether the sclera is a potential site of action for mAChR antagonists.  METHODS: # Cell lines of human scleral fibroblasts
site,action,2012,WEB,ncbi.nlm.nih.gov,#finding indicates that the sclera is a potential site of action for the used mAChR antagonists in
site,action,2012,WEB,reuters.com,#new avenues for assessing the efficacy and possible site of action of new treatments
site,action,2012,WEB,agbioforum.org,#Number of different herbicide active ingredients and herbicide sites of action used on at least 10% of hectares from 1995 to 2005 in soybean in
site,action,2012,WEB,ncbi.nlm.nih.gov,"#three mechanisms are described below, and their sites of action in the cell are outlined in Figure 12-6. The first two mechanisms are"
site,action,2012,BLOG,healthcanal.com,"#against HCV. "" Our molecules use several sites of action in inhibiting the viral protease. Amongst these one which had not previously been"
site,action,2012,BLOG,fdalawblog.net,"#this NCE while exerting therapeutic activity at the site of action, and reviewers should appreciate that neither fluticasone furoate nor fluticasone pripionate is ever"
site,action,2009,ACAD,DrugIssues,"#have been largely identified both at the initial site of action and in the circuitry involved. In human imaging studies, decreases in dopaminergic"
site,action,2009,ACAD,DrugIssues,"#have been largely identified both at the initial site of action (receptor, reuptake site, etc.) as well as the circuitry involved"
