lemma_1,lemma_2,year,genre,source,data
power,expansive,2004,ACAD,Environment,"between the two: Nuclear power is compact and quiet, whereas wind power is expansive and obvious. Reflecting on this difference, resistance to nuclear power accumulated slowly only"
feeling,hurt,2018,FIC,Ploughshares,"like a lover in a movie. When he didn't, her feelings were hurt -- absurdly, she knew: rarely did anything she saw in the movies seem"
feeling,hurt,2012,WEB,squidoo.com,". Doing things apart helps you to appreciate one another. If your feelings are hurt anytime he doesn't include you, be careful, he may begin to feel"
feeling,hurt,2012,BLOG,firebrandal.com,"to give Chip a little bit different perspective on his whole' my feelings are hurt' routine. The fact is, outside of this passing mention in my response"
feeling,hurt,2012,BLOG,...ekgirl.wordpress.com,"n't a geek! # I didn't mean to imply that my feelings were hurt -- I was just pointing out where I found it, and that it was"
feeling,hurt,2006,SPOK,CNN_Dobbs,"you want documentation? Rosa! Please! I'm hurt. My feelings are hurt -- Dan. DAN STEIN, PRESIDENT, FAIR: There's no question this"
feeling,hurt,2003,SPOK,CNN_Talkback,"don't need to get into the special interests, oh, my feelings are hurt politics that Dee has started down the road of. We're the last people"
feeling,agonizing,2012,WEB,psychologytoday.com,"other communication network. Talking to someone who doesn't reciprocate your romantic feelings is agonizing, especially when it seems that the ex has moved on before you. So"
effect,powerful,2019,MAG,Medical Xpress,"Having an unhealthy microbiome prior to breast cancer increased both, and the effect was powerful and sustained. "" Disrupting the microbiome resulted in long-term inflammation within the tissue and"
effect,powerful,2014,MAG,MensHealth,"(even groceries count). It may sound simple, but the effect is powerful; each time you practice the movements, you reinforce neurologic pathways that lead to"
effect,powerful,2014,NEWS,CSMonitor,"movement to transform the public education system. A generation later, its effects are powerful. The excoriation of American schooling is what most people remember, but its actual"
effect,powerful,2012,WEB,amazon.com,", melancholy vocals, with only muted, atmospheric background accompaniment. The effect is powerful. Despite that song's understated tones (and others'), the new"
effect,powerful,2012,WEB,darkendeavors.com,for several natural camera shots of the group when singing. The visual effect was powerful and subtle; it furthered the impression given by each member playing several different instruments
effect,powerful,2002,ACAD,ArmedForces,"negative finding here must be considered tentative. Third, the hasty marriage effect is powerful and clearly evident for WWII, but not for later wars. And finally,"
glee,brilliant,2012,WEB,imdb.com,"then released a statement voicing her approval: "" I thought the Madonna episode of Glee was brilliant on every level. The dialogue and the entire script was genius."
capital,liquid,2012,BLOG,...aftkpam.blogspot.com,"of capital sitting on the sidelines will probably go to another economy. Capital is liquid, after all. Maybe some will come back--if the President comes up with a"
capital,liquid,1996,ACAD,LatinAmResRev,"specifically Brazilian levers that give them additional bargaining strength. First, financial capital is liquid, being easily drained away to foreign economies. In dealing with capital in general"
amount,small,2016,MAG,Business Insider,"mystery company has been wiped out over the past year. # The write off amount is small relative to Yahoo's overall business, which generated over $1 billion in"
amount,small,2015,FIC,KenyonRev,", they say, shaking their heads. a na va pas comment? That amount is small. Mille francs. Mille francs! You joke. You pay six"
amount,small,2015,ACAD,ACPJrnlClub,"Any amount of weight gain is not welcome in obese patients, although the actual amount was small (0.42 kg). This is probably not a clinically significant increase"
amount,small,2014,NEWS,Austin,"than $16 million in repayments for performing unnecessary procedures. Although a spokeswoman said the amount was small because Trueblood had been pushed out of business, she had actually opened"
amount,small,2012,WEB,wiki.answers.com,"to get the number of teaspoons. You would want to do this if the amount is smaller than a tablespoon, or you don't have a tablespoon. #"
