lemma_1,lemma_2,year,genre,source,data
time,back,2018,TV,The Alienist,"sorry to disappoint you. Dr. Dillman, was there a patient here some time back who suffered from a facial tic, one with intermittent and violent contractions around the"
time,back,2016,SPOK,NBC: Today Show,of two boys. One is only four -- BRIT-MORIN# This is my first time back post -- DYLAN-DREYER# -- four months old? BRIT-MORIN# Two under two. Two under
time,back,2016,FIC,Nature,"hoped to intercede as little as possible. Logically, this area colonized some time back aroused less interest in Baroni's dog. He hardly sniffed around, and the"
time,back,2013,MAG,MotherJones,"range and stabbed while driving, both times by other addicts. By the time Back arrested him, he was drifting from trailer to trailer in Laurel County, welcomed"
time,back,2012,WEB,...rongwiththeworld.net,s political views). I remember listening to a Jeremiah Wright speech some time back (I think it was at the National Press Club) where he went into
time,back,2012,WEB,usatoday.com,"657400  Reinstated Broncos LB will have' to earn his playing time back' # Lindsay H. Jones, USA TODAY Sports Share # Comments # Denver Broncos"
time,back,2012,WEB,...discovermagazine.com,Lukacs is making a mistake resembling that which I accused Paul Davies of some time back -- demanding that properties of as-yet-known physical theories conform to... # Cosmic Variance is
time,back,2012,WEB,...ehouse.blogs.cnn.com,generate a profit for an estimated 20 years. The Alberta government will in time back development of up-graders and refineries in Alberta don't worry about that.... Keystone is
time,back,2012,WEB,...msaying.blogspot.com,", i'm sure, will pass - though whether i'll get the time back remains to be seen. but the business os trying to get a tape player"
time,back,2012,BLOG,freethoughtblogs.com,mental health and illness. Sadie is the blogger that moved to Amsterdam some time back isn't she? Unless I'm thinking of someone else. Either way I
time,back,2012,BLOG,mysticsaint.info,"his are of great value. # Martin Luther King, Jr. long time back said, "" Nothing in the world is more dangerous than sincere ignorance and conscientious"
time,back,2012,BLOG,blogs.windows.com,ability to change the time on several images but telling it to set the time back 1h or 5m. It's very useful for me if I am in a
time,back,2010,SPOK,ABC_Nightline,as well. MARIANNE-KIRBY-1C# Hi. JUJU-CHANG-1-ABC-# (Voiceover) The panelists meet for the first time back stage. CRYSTAL-RENN-1PLU# I think this will be probably one of the proudest days of
time,back,2008,MAG,SportingNews,"back in the NFL Is typically no place for old men. By the time backs hit 30, legs are tired and bodies are aching. But thanks to a"
time,back,2005,MAG,OutdoorLife,enjoys. But with the exception of an abortive attempt to hunt elk some time back -- a comedy of errors that deserves its own story -- we have never chased
time,back,2004,TV,CSI: Miami,"found the blood on the console. And Alexx said he was shot three times back to front, left to right. The trajectory's inconsistent. There is no"
time,back,1998,SPOK,CNN_King,"years young. He continues to co-host ABC's "" 20/20. "" Some time back wrote a wonderful book called "" Fifty to Forever ""; and the seemingly ageless"
time,back,1997,TV,Power Rangers Turbo,"DIVATOX: Clockster, eh? Do you know what to do? Reverse time back back, back, back until the freeze key unexplodes back into one piece."
time,back,1995,SPOK,Ind_Geraldo,"haven't seen Wendy in years. Me and Vikki were married quite some time back -- about five years ago. RIVERA: Now, Vikki, you've been"
time,back,1994,MAG,Skiing,""" ur final destination-a ski hill called Whitewater-required yet another i megadrive, this time back soutEi, toward the U.S. 1 border. We arrived in Nelson so late even"
time,back,1994,NEWS,Atlanta,"# Watching the special "" Gangs in the' Burbs "" on TV some time back produced a chilling association. Yes, even sleepy little towns like Hapeville are not"
time,site,2016,MAG,A.V. Club,"crime fighter. "" # The entire piece, which is over on the Times site, is more than worth everyone's time, though you might want to make"
time,site,2012,WEB,apartmenttherapy.com,"n't reprinting articles, just commenting on them (and driving folks to the Times site as a result). And isn't that what lots of other blogs do"
time,site,2012,WEB,apartmenttherapy.com,"a NY-er or anywhere near there, I would never ever visit the NY Times site if it weren't for AT. Doesn't hurt me if I never see"
time,site,2012,WEB,apartmenttherapy.com,"AT or other aggregators provide little or no incentive for people to peruse the Times site because they sift through it for them, they undermine the Times potential to profit"
